d900	V1st900	V900	
3.724000E-1	3.744140E-3	7.644350E-6
4.468800E+0	3.765120E-3	7.778460E-6
8.565200E+0	3.950150E-3	8.091390E-6
1.303400E+1	4.303010E-3	8.486270E-6
1.675800E+1	4.673030E-3	8.791740E-6
2.085440E+1	5.056410E-3	8.694890E-6
2.495080E+1	5.397830E-3	8.486270E-6
2.904720E+1	5.716350E-3	8.031780E-6
3.314360E+1	5.985290E-3	7.510210E-6
3.686760E+1	6.216080E-3	6.645950E-6
4.133640E+1	6.389650E-3	5.632670E-6
4.506040E+1	6.513630E-3	4.492730E-6
4.952920E+1	6.576570E-3	3.047300E-6
5.362560E+1	6.580380E-3	1.452870E-6
5.772200E+1	6.521250E-3	-3.650800E-7
6.181840E+1	6.408720E-3	-2.816330E-6
6.591480E+1	6.271390E-3	-4.209610E-6
6.963880E+1	6.109270E-3	-5.789130E-6
7.373520E+1	5.901370E-3	-7.860420E-6
7.745920E+1	5.634340E-3	-1.007320E-5
8.155560E+1	5.321530E-3	-1.230100E-5
8.565200E+1	4.955320E-3	-1.488630E-5
8.974840E+1	4.577670E-3	-1.759090E-5
9.384480E+1	4.179030E-3	-2.033280E-5
9.794120E+1	3.774660E-3	-2.314160E-5
1.016652E+2	3.372210E-3	-2.598770E-5
1.057616E+2	2.954500E-3	-2.910210E-5
1.098580E+2	2.573030E-3	-3.211220E-5
1.135820E+2	2.223980E-3	-3.489130E-5
1.180508E+2	1.886380E-3	-3.774490E-5
1.221472E+2	1.585010E-3	-4.059840E-5
1.262436E+2	1.348500E-3	-4.297520E-5
1.303400E+2	1.157770E-3	-4.525510E-5
1.340640E+2	1.020440E-3	-4.721460E-5
1.381604E+2	9.365120E-4	-4.915170E-5
1.422568E+2	9.098090E-4	-5.085040E-5
1.463532E+2	9.365120E-4	-5.207230E-5
1.500772E+2	1.018530E-3	-5.320480E-5
1.541736E+2	1.155860E-3	-5.417340E-5
1.582700E+2	1.346600E-3	-5.482910E-5
1.623664E+2	1.598370E-3	-5.511960E-5
1.660904E+2	1.871120E-3	-5.512710E-5
1.701868E+2	2.178210E-3	-5.503020E-5
1.739108E+2	2.527250E-3	-5.468000E-5
1.780072E+2	2.895370E-3	-5.413620E-5
1.824760E+2	3.345500E-3	-5.341340E-5
1.865724E+2	3.751770E-3	-5.275030E-5
1.902964E+2	4.167590E-3	-5.193080E-5
1.943928E+2	4.589110E-3	-5.075360E-5
1.984892E+2	4.985840E-3	-4.978500E-5
2.025856E+2	5.380660E-3	-4.876430E-5
2.066820E+2	5.720170E-3	-4.772120E-5
2.104060E+2	6.032970E-3	-4.637260E-5
2.148748E+2	6.298090E-3	-4.506880E-5
2.185988E+2	6.521250E-3	-4.368300E-5
2.226952E+2	6.692920E-3	-4.243870E-5
2.264192E+2	6.813080E-3	-4.104550E-5
2.305156E+2	6.879840E-3	-3.956280E-5
2.342396E+2	6.891280E-3	-3.804290E-5
2.383360E+2	6.843600E-3	-3.648570E-5
2.424324E+2	6.740600E-3	-3.494350E-5
2.465288E+2	6.574660E-3	-3.346820E-5
2.506252E+2	6.353410E-3	-3.195580E-5
2.543492E+2	6.080660E-3	-3.029420E-5
2.588180E+2	5.781200E-3	-2.874450E-5
2.625420E+2	5.432160E-3	-2.722450E-5
2.666384E+2	5.044970E-3	-2.574930E-5
2.707348E+2	4.659680E-3	-2.447530E-5
2.752036E+2	4.194290E-3	-2.306710E-5
2.789276E+2	3.765120E-3	-2.177820E-5
2.830240E+2	3.349320E-3	-2.075000E-5
2.867480E+2	2.939240E-3	-1.972180E-5
2.908444E+2	2.542510E-3	-1.863400E-5
2.945684E+2	2.155320E-3	-1.755370E-5
2.986648E+2	1.789100E-3	-1.653300E-5
3.027612E+2	1.466760E-3	-1.543030E-5
3.068576E+2	1.188290E-3	-1.445420E-5
3.109540E+2	9.574930E-4	-1.311310E-5
3.146780E+2	7.877390E-4	-1.207000E-5
3.187744E+2	6.713900E-4	-1.059480E-5
3.224984E+2	6.122630E-4	-9.261130E-6
3.265948E+2	6.065410E-4	-7.890220E-6
3.306912E+2	6.599460E-4	-6.340470E-6
3.347876E+2	7.743870E-4	-4.775850E-6
3.388840E+2	9.517710E-4	-3.106910E-6
3.426080E+2	1.167300E-3	-1.460320E-6
3.467044E+2	1.424800E-3	2.235190E-8
3.508008E+2	1.745230E-3	1.631680E-6
3.548972E+2	2.084750E-3	2.995150E-6
3.589936E+2	2.468120E-3	4.529980E-6
3.600044E+2	2.851500E-3	5.789130E-6
