d100	V1st100	V100	
3.724000E-1	5.079300E-3	-1.946850E-5
4.096400E+0	5.096470E-3	-1.938650E-5
8.192800E+0	5.229980E-3	-1.952810E-5
1.228920E+1	5.485560E-3	-1.961000E-5
1.638560E+1	5.781200E-3	-1.981870E-5
2.010960E+1	6.038700E-3	-2.007940E-5
2.420600E+1	6.258040E-3	-2.044450E-5
2.830240E+1	6.443050E-3	-2.067550E-5
3.202640E+1	6.582290E-3	-2.097350E-5
3.612280E+1	6.662400E-3	-2.126410E-5
4.021920E+1	6.679560E-3	-2.153230E-5
4.431560E+1	6.635700E-3	-2.183780E-5
4.841200E+1	6.536510E-3	-2.205380E-5
5.213600E+1	6.387740E-3	-2.217300E-5
5.623240E+1	6.212260E-3	-2.209850E-5
6.032880E+1	6.015810E-3	-2.226250E-5
6.405280E+1	5.764040E-3	-2.245620E-5
6.852160E+1	5.453140E-3	-2.260520E-5
7.261800E+1	5.090740E-3	-2.257540E-5
7.634200E+1	4.722630E-3	-2.254560E-5
8.081080E+1	4.299190E-3	-2.265730E-5
8.490720E+1	3.896730E-3	-2.273930E-5
8.863120E+1	3.488560E-3	-2.305970E-5
9.272760E+1	3.068940E-3	-2.338000E-5
9.682400E+1	2.676030E-3	-2.378240E-5
1.005480E+2	2.296460E-3	-2.418470E-5
1.046444E+2	1.951230E-3	-2.466150E-5
1.087408E+2	1.655590E-3	-2.504150E-5
1.124648E+2	1.396190E-3	-2.543640E-5
1.165612E+2	1.173030E-3	-2.557050E-5
1.206576E+2	9.956430E-4	-2.585360E-5
1.243816E+2	8.716620E-4	-2.639010E-5
1.284780E+2	8.049050E-4	-2.691160E-5
1.322020E+2	7.915530E-4	-2.713510E-5
1.362984E+2	8.335150E-4	-2.723200E-5
1.403948E+2	9.365120E-4	-2.712770E-5
1.444912E+2	1.098640E-3	-2.715750E-5
1.485876E+2	1.308450E-3	-2.723200E-5
1.526840E+2	1.552590E-3	-2.712770E-5
1.567804E+2	1.855860E-3	-2.695630E-5
1.605044E+2	2.182020E-3	-2.677750E-5
1.646008E+2	2.548230E-3	-2.653160E-5
1.686972E+2	2.931610E-3	-2.629320E-5
1.724212E+2	3.326430E-3	-2.603990E-5
1.765176E+2	3.744140E-3	-2.586110E-5
1.806140E+2	4.158050E-3	-2.575680E-5
1.847104E+2	4.564320E-3	-2.559290E-5
1.884344E+2	4.941970E-3	-2.547370E-5
1.925308E+2	5.308180E-3	-2.528740E-5
1.966272E+2	5.638150E-3	-2.518310E-5
2.007236E+2	5.943330E-3	-2.495210E-5
2.048200E+2	6.202730E-3	-2.487020E-5
2.089164E+2	6.416350E-3	-2.472860E-5
2.130128E+2	6.572750E-3	-2.446040E-5
2.171092E+2	6.670030E-3	-2.417730E-5
2.208332E+2	6.713900E-3	-2.390900E-5
2.249296E+2	6.700550E-3	-2.365570E-5
2.290260E+2	6.629970E-3	-2.349920E-5
2.331224E+2	6.498370E-3	-2.324590E-5
2.372188E+2	6.317170E-3	-2.311180E-5
2.409428E+2	6.090190E-3	-2.287340E-5
2.450392E+2	5.826980E-3	-2.279890E-5
2.491356E+2	5.502730E-3	-2.264240E-5
2.532320E+2	5.146060E-3	-2.250090E-5
2.569560E+2	4.781750E-3	-2.241890E-5
2.610524E+2	4.402190E-3	-2.235930E-5
2.647764E+2	3.995930E-3	-2.244130E-5
2.688728E+2	3.583920E-3	-2.262750E-5
2.729692E+2	3.177660E-3	-2.286590E-5
2.770656E+2	2.777110E-3	-2.314160E-5
2.811620E+2	2.380390E-3	-2.356630E-5
2.852584E+2	2.027530E-3	-2.378980E-5
2.889824E+2	1.708990E-3	-2.415490E-5
2.934512E+2	1.407630E-3	-2.434860E-5
2.971752E+2	1.171120E-3	-2.440080E-5
3.016440E+2	9.765700E-4	-2.437100E-5
3.053680E+2	8.468670E-4	-2.434860E-5
3.094644E+2	7.743870E-4	-2.397610E-5
3.135608E+2	7.572210E-4	-2.372280E-5
3.172848E+2	7.972750E-4	-2.349920E-5
3.213812E+2	8.945500E-4	-2.331300E-5
3.251052E+2	1.045230E-3	-2.301500E-5
3.292016E+2	1.245510E-3	-2.267970E-5
3.332980E+2	1.503000E-3	-2.219540E-5
3.373944E+2	1.789100E-3	-2.169620E-5
3.411184E+2	2.119080E-3	-2.109270E-5
3.452148E+2	2.481480E-3	-2.045940E-5
3.493112E+2	2.851500E-3	-2.001980E-5
3.534076E+2	3.286380E-3	-1.963240E-5
3.575040E+2	3.702180E-3	-1.943870E-5
3.600044E+2	4.125620E-3	-1.920770E-5
