d700	V1st700	V700	
3.724000E-1	3.788010E-3	3.427290E-7
4.468800E+0	3.807080E-3	4.470370E-7
8.565200E+0	3.986390E-3	6.333030E-7
1.266160E+1	4.301100E-3	7.301610E-7
1.638560E+1	4.669220E-3	7.972160E-7
2.048200E+1	5.058320E-3	6.258520E-7
2.457840E+1	5.395920E-3	5.662480E-7
2.830240E+1	5.703000E-3	2.980250E-7
3.239880E+1	5.979570E-3	-2.905740E-7
3.649520E+1	6.214170E-3	-9.909340E-7
4.059160E+1	6.395370E-3	-1.750890E-6
4.468800E+1	6.525070E-3	-2.697120E-6
4.878440E+1	6.597550E-3	-3.673150E-6
5.250840E+1	6.608990E-3	-4.880160E-6
5.697720E+1	6.559400E-3	-6.340470E-6
6.107360E+1	6.456400E-3	-7.376100E-6
6.517000E+1	6.309540E-3	-8.724690E-6
6.926640E+1	6.141690E-3	-1.007320E-5
7.336280E+1	5.928070E-3	-1.166020E-5
7.745920E+1	5.664860E-3	-1.325460E-5
8.118320E+1	5.348240E-3	-1.508750E-5
8.565200E+1	4.980120E-3	-1.701720E-5
8.937600E+1	4.613910E-3	-1.902140E-5
9.347240E+1	4.213360E-3	-2.095860E-5
9.756880E+1	3.793730E-3	-2.329060E-5
1.012928E+2	3.389370E-3	-2.549600E-5
1.053892E+2	2.979290E-3	-2.787270E-5
1.094856E+2	2.595920E-3	-2.999620E-5
1.135820E+2	2.218260E-3	-3.220910E-5
1.176784E+2	1.901630E-3	-3.430270E-5
1.214024E+2	1.623160E-3	-3.633670E-5
1.254988E+2	1.365670E-3	-3.833350E-5
1.295952E+2	1.161580E-3	-4.012910E-5
1.336916E+2	1.008990E-3	-4.185010E-5
1.381604E+2	9.059940E-4	-4.333280E-5
1.422568E+2	8.735690E-4	-4.477820E-5
1.463532E+2	9.021800E-4	-4.567970E-5
1.504496E+2	9.822920E-4	-4.654400E-5
1.541736E+2	1.117710E-3	-4.723690E-5
1.582700E+2	1.316080E-3	-4.761690E-5
1.623664E+2	1.569760E-3	-4.787770E-5
1.664628E+2	1.842510E-3	-4.798200E-5
1.705592E+2	2.155320E-3	-4.784040E-5
1.742832E+2	2.510090E-3	-4.749020E-5
1.783796E+2	2.885830E-3	-4.697610E-5
1.824760E+2	3.288280E-3	-4.651420E-5
1.865724E+2	3.728880E-3	-4.593310E-5
1.906688E+2	4.148510E-3	-4.536680E-5
1.943928E+2	4.556690E-3	-4.474840E-5
1.984892E+2	4.943880E-3	-4.410770E-5
2.025856E+2	5.315810E-3	-4.335520E-5
2.066820E+2	5.683930E-3	-4.256540E-5
2.107784E+2	5.979570E-3	-4.180540E-5
2.148748E+2	6.265670E-3	-4.091880E-5
2.189712E+2	6.490740E-3	-3.977890E-5
2.226952E+2	6.660490E-3	-3.882520E-5
2.267916E+2	6.778750E-3	-3.781940E-5
2.305156E+2	6.843600E-3	-3.669430E-5
2.346120E+2	6.855040E-3	-3.553210E-5
2.387084E+2	6.807360E-3	-3.429530E-5
2.428048E+2	6.698640E-3	-3.311060E-5
2.469012E+2	6.515530E-3	-3.179930E-5
2.509976E+2	6.300000E-3	-3.054760E-5
2.550940E+2	6.036790E-3	-2.925110E-5
2.591904E+2	5.729710E-3	-2.796960E-5
2.629144E+2	5.380660E-3	-2.674030E-5
2.670108E+2	4.989650E-3	-2.546620E-5
2.711072E+2	4.608180E-3	-2.431880E-5
2.748312E+2	4.200010E-3	-2.326080E-5
2.789276E+2	3.774660E-3	-2.234440E-5
2.830240E+2	3.347410E-3	-2.151740E-5
2.871204E+2	2.904910E-3	-2.059350E-5
2.912168E+2	2.508180E-3	-1.972180E-5
2.953132E+2	2.111450E-3	-1.883520E-5
2.990372E+2	1.760490E-3	-1.803800E-5
3.031336E+2	1.453410E-3	-1.715140E-5
3.072300E+2	1.182560E-3	-1.636160E-5
3.109540E+2	9.651220E-4	-1.528130E-5
3.150504E+2	8.029970E-4	-1.445420E-5
3.191468E+2	6.885570E-4	-1.320250E-5
3.228708E+2	6.332430E-4	-1.228610E-5
3.269672E+2	6.389660E-4	-1.121320E-5
3.310636E+2	7.019080E-4	-1.014030E-5
3.351600E+2	8.239780E-4	-8.873700E-6
3.392564E+2	1.014720E-3	-7.510210E-6
3.433528E+2	1.235970E-3	-6.273420E-6
3.470768E+2	1.499180E-3	-5.133480E-6
3.511732E+2	1.831060E-3	-3.926490E-6
3.556420E+2	2.203000E-3	-2.704580E-6
3.593660E+2	2.559680E-3	-1.840300E-6
3.600044E+2	2.937330E-3	-9.536820E-7
