d800	V1st800	V800	
3.724000E-1	3.770840E-3	4.112750E-6
4.096400E+0	3.786100E-3	4.150000E-6
8.565200E+0	3.955870E-3	4.433120E-6
1.228920E+1	4.266770E-3	4.641740E-6
1.638560E+1	4.646330E-3	4.924860E-6
2.048200E+1	5.018260E-3	4.932310E-6
2.457840E+1	5.380660E-3	4.835460E-6
2.830240E+1	5.689650E-3	4.433120E-6
3.239880E+1	5.964310E-3	3.971190E-6
3.686760E+1	6.212260E-3	3.084550E-6
4.059160E+1	6.393460E-3	2.093630E-6
4.468800E+1	6.519350E-3	1.057990E-6
4.878440E+1	6.586100E-3	-1.490130E-7
5.250840E+1	6.599460E-3	-1.430520E-6
5.660480E+1	6.557490E-3	-2.898290E-6
6.070120E+1	6.462130E-3	-4.567240E-6
6.479760E+1	6.319080E-3	-6.288320E-6
6.889400E+1	6.162670E-3	-7.510210E-6
7.261800E+1	5.968120E-3	-9.156820E-6
7.671440E+1	5.701090E-3	-1.121320E-5
8.081080E+1	5.397830E-3	-1.317270E-5
8.453480E+1	5.039240E-3	-1.540050E-5
8.900360E+1	4.663500E-3	-1.768780E-5
9.310000E+1	4.249600E-3	-2.014650E-5
9.719640E+1	3.850950E-3	-2.246360E-5
1.009204E+2	3.448500E-3	-2.498940E-5
1.053892E+2	3.011720E-3	-2.774610E-5
1.091132E+2	2.622620E-3	-3.048040E-5
1.132096E+2	2.237330E-3	-3.329690E-5
1.173060E+2	1.920710E-3	-3.587480E-5
1.214024E+2	1.636510E-3	-3.828880E-5
1.251264E+2	1.394280E-3	-4.030790E-5
1.292228E+2	1.188290E-3	-4.228970E-5
1.333192E+2	1.033790E-3	-4.424180E-5
1.370432E+2	9.346050E-4	-4.587350E-5
1.411396E+2	8.926430E-4	-4.722950E-5
1.456084E+2	9.098090E-4	-4.864510E-5
1.497048E+2	9.880140E-4	-4.973290E-5
1.538012E+2	1.117710E-3	-5.044810E-5
1.575252E+2	1.298910E-3	-5.100690E-5
1.616216E+2	1.539240E-3	-5.123790E-5
1.657180E+2	1.829150E-3	-5.140180E-5
1.698144E+2	2.138150E-3	-5.137200E-5
1.739108E+2	2.491010E-3	-5.102930E-5
1.780072E+2	2.876300E-3	-5.051520E-5
1.821036E+2	3.274930E-3	-4.991170E-5
1.858276E+2	3.679290E-3	-4.934540E-5
1.899240E+2	4.104640E-3	-4.871210E-5
1.940204E+2	4.505190E-3	-4.795220E-5
1.977444E+2	4.894290E-3	-4.716990E-5
2.018408E+2	5.291010E-3	-4.623850E-5
2.059372E+2	5.649600E-3	-4.520290E-5
2.100336E+2	5.966220E-3	-4.408530E-5
2.141300E+2	6.233250E-3	-4.307200E-5
2.178540E+2	6.465940E-3	-4.185010E-5
2.219504E+2	6.649050E-3	-4.074000E-5
2.260468E+2	6.780650E-3	-3.963730E-5
2.297708E+2	6.856950E-3	-3.831110E-5
2.338672E+2	6.877930E-3	-3.694770E-5
2.379636E+2	6.837870E-3	-3.552460E-5
2.420600E+2	6.740600E-3	-3.419090E-5
2.461564E+2	6.578480E-3	-3.274550E-5
2.502528E+2	6.362940E-3	-3.129270E-5
2.543492E+2	6.105450E-3	-2.985460E-5
2.584456E+2	5.785020E-3	-2.832720E-5
2.629144E+2	5.395920E-3	-2.677010E-5
2.670108E+2	5.012540E-3	-2.551090E-5
2.707348E+2	4.627260E-3	-2.422940E-5
2.748312E+2	4.219080E-3	-2.307460E-5
2.789276E+2	3.782290E-3	-2.197190E-5
2.826516E+2	3.366490E-3	-2.090640E-5
2.867480E+2	2.941150E-3	-1.984100E-5
2.908444E+2	2.544420E-3	-1.886500E-5
2.949408E+2	2.130520E-3	-1.791130E-5
2.990372E+2	1.766210E-3	-1.706190E-5
3.031336E+2	1.451500E-3	-1.615300E-5
3.072300E+2	1.174930E-3	-1.506510E-5
3.109540E+2	9.536780E-4	-1.412640E-5
3.150504E+2	7.915530E-4	-1.281510E-5
3.191468E+2	6.752050E-4	-1.168260E-5
3.232432E+2	6.179850E-4	-1.032660E-5
3.273396E+2	6.256140E-4	-8.873700E-6
3.314360E+2	6.980930E-4	-7.592170E-6
3.355324E+2	8.239780E-4	-6.221260E-6
3.396288E+2	1.010900E-3	-4.790750E-6
3.433528E+2	1.234060E-3	-3.464530E-6
3.474492E+2	1.504910E-3	-2.257540E-6
3.515456E+2	1.823430E-3	-8.270180E-7
3.556420E+2	2.185840E-3	6.258520E-7
3.597384E+2	2.565400E-3	1.959520E-6
3.600044E+2	2.946870E-3	2.890840E-6
