d400	V1st400	V400	
3.724000E-1	3.860490E-3	-9.790120E-6
4.468800E+0	3.881470E-3	-9.737970E-6
8.192800E+0	4.039790E-3	-9.633660E-6
1.228920E+1	4.352600E-3	-9.574050E-6
1.638560E+1	4.722630E-3	-9.641110E-6
2.010960E+1	5.094560E-3	-9.715620E-6
2.420600E+1	5.439790E-3	-9.961480E-6
2.793000E+1	5.748780E-3	-1.027440E-5
3.202640E+1	6.019620E-3	-1.064690E-5
3.612280E+1	6.250410E-3	-1.104180E-5
4.021920E+1	6.441150E-3	-1.160060E-5
4.431560E+1	6.574660E-3	-1.209240E-5
4.841200E+1	6.645230E-3	-1.267350E-5
5.213600E+1	6.658580E-3	-1.332170E-5
5.623240E+1	6.614710E-3	-1.390280E-5
6.032880E+1	6.517440E-3	-1.465540E-5
6.442520E+1	6.362940E-3	-1.539300E-5
6.852160E+1	6.193190E-3	-1.584750E-5
7.261800E+1	5.994830E-3	-1.666710E-5
7.634200E+1	5.741150E-3	-1.753880E-5
8.043840E+1	5.432160E-3	-1.844780E-5
8.453480E+1	5.083110E-3	-1.945360E-5
8.863120E+1	4.703550E-3	-2.048920E-5
9.272760E+1	4.285840E-3	-2.157700E-5
9.682400E+1	3.877650E-3	-2.261260E-5
1.005480E+2	3.459950E-3	-2.378980E-5
1.046444E+2	3.049870E-3	-2.508620E-5
1.087408E+2	2.653140E-3	-2.647950E-5
1.128372E+2	2.265950E-3	-2.781310E-5
1.165612E+2	1.939780E-3	-2.903500E-5
1.206576E+2	1.638420E-3	-3.021970E-5
1.247540E+2	1.382840E-3	-3.130760E-5
1.288504E+2	1.165400E-3	-3.238050E-5
1.325744E+2	1.003270E-3	-3.344590E-5
1.366708E+2	8.869210E-4	-3.413880E-5
1.407672E+2	8.316080E-4	-3.466780E-5
1.444912E+2	8.297000E-4	-3.565870E-5
1.485876E+2	8.888280E-4	-3.621750E-5
1.530564E+2	1.014720E-3	-3.645590E-5
1.571528E+2	1.184470E-3	-3.661980E-5
1.608768E+2	1.403820E-3	-3.664960E-5
1.649732E+2	1.672750E-3	-3.667200E-5
1.690696E+2	1.972210E-3	-3.654530E-5
1.731660E+2	2.338420E-3	-3.629200E-5
1.772624E+2	2.710360E-3	-3.589710E-5
1.813588E+2	3.107090E-3	-3.559910E-5
1.854552E+2	3.513350E-3	-3.530110E-5
1.891792E+2	3.927260E-3	-3.500310E-5
1.932756E+2	4.337340E-3	-3.468270E-5
1.969996E+2	4.728350E-3	-3.439210E-5
2.010960E+2	5.107910E-3	-3.410900E-5
2.051924E+2	5.491290E-3	-3.376630E-5
2.092888E+2	5.804090E-3	-3.343100E-5
2.130128E+2	6.080660E-3	-3.300630E-5
2.174816E+2	6.349590E-3	-3.252200E-5
2.215780E+2	6.547960E-3	-3.209730E-5
2.256744E+2	6.685290E-3	-3.147890E-5
2.293984E+2	6.771120E-3	-3.092760E-5
2.334948E+2	6.799730E-3	-3.028670E-5
2.375912E+2	6.774930E-3	-2.963850E-5
2.413152E+2	6.691010E-3	-2.898290E-5
2.454116E+2	6.544140E-3	-2.813350E-5
2.495080E+2	6.351500E-3	-2.751510E-5
2.532320E+2	6.116900E-3	-2.683710E-5
2.573284E+2	5.840330E-3	-2.607710E-5
2.610524E+2	5.517990E-3	-2.525760E-5
2.651488E+2	5.161320E-3	-2.456470E-5
2.688728E+2	4.791290E-3	-2.373020E-5
2.729692E+2	4.383120E-3	-2.307460E-5
2.770656E+2	3.973040E-3	-2.244870E-5
2.807896E+2	3.543870E-3	-2.197930E-5
2.852584E+2	3.135700E-3	-2.162920E-5
2.889824E+2	2.740870E-3	-2.124170E-5
2.930788E+2	2.336520E-3	-2.092130E-5
2.971752E+2	1.966490E-3	-2.060100E-5
3.012716E+2	1.619350E-3	-2.007940E-5
3.053680E+2	1.323710E-3	-1.961750E-5
3.094644E+2	1.091010E-3	-1.908850E-5
3.135608E+2	9.021800E-4	-1.878300E-5
3.172848E+2	7.762950E-4	-1.847760E-5
3.213812E+2	6.980930E-4	-1.781450E-5
3.258500E+2	6.866490E-4	-1.698000E-5
3.299464E+2	7.362400E-4	-1.650320E-5
3.336704E+2	8.487740E-4	-1.583260E-5
3.381392E+2	1.014720E-3	-1.508000E-5
3.418632E+2	1.226430E-3	-1.432010E-5
3.459596E+2	1.499180E-3	-1.355270E-5
3.500560E+2	1.796730E-3	-1.286720E-5
3.545248E+2	2.168670E-3	-1.206250E-5
3.582488E+2	2.525340E-3	-1.155590E-5
3.600044E+2	2.918260E-3	-1.102690E-5
