d800	V1st800	V800	
3.724000E-1	7.453470E-3	1.358040E-3
4.468800E+0	7.448700E-3	1.357560E-3
8.192800E+0	7.417710E-3	1.357320E-3
1.228920E+1	7.373840E-3	1.356370E-3
1.638560E+1	7.342850E-3	1.354940E-3
2.010960E+1	7.343320E-3	1.353270E-3
2.420600E+1	7.372890E-3	1.351360E-3
2.830240E+1	7.421520E-3	1.349700E-3
3.202640E+1	7.495430E-3	1.347790E-3
3.612280E+1	7.599860E-3	1.345400E-3
4.021920E+1	7.740050E-3	1.342540E-3
4.431560E+1	7.908400E-3	1.339680E-3
4.841200E+1	8.093890E-3	1.337060E-3
5.250840E+1	8.296070E-3	1.333720E-3
5.660480E+1	8.523050E-3	1.329910E-3
6.070120E+1	8.741440E-3	1.326090E-3
6.442520E+1	8.957450E-3	1.322040E-3
6.852160E+1	9.174880E-3	1.317990E-3
7.261800E+1	9.377540E-3	1.313690E-3
7.671440E+1	9.567320E-3	1.309400E-3
8.043840E+1	9.725630E-3	1.304870E-3
8.453480E+1	9.864390E-3	1.300100E-3
8.863120E+1	9.980740E-3	1.295100E-3
9.235520E+1	1.006470E-2	1.289850E-3
9.645160E+1	1.011760E-2	1.284850E-3
1.005480E+2	1.013670E-2	1.279360E-3
1.046444E+2	1.011850E-2	1.273880E-3
1.087408E+2	1.006560E-2	1.268630E-3
1.124648E+2	9.975970E-3	1.263630E-3
1.165612E+2	9.843410E-3	1.257900E-3
1.206576E+2	9.692730E-3	1.252900E-3
1.247540E+2	9.515350E-3	1.248130E-3
1.288504E+2	9.299810E-3	1.243360E-3
1.329468E+2	9.068550E-3	1.239070E-3
1.366708E+2	8.827270E-3	1.235250E-3
1.407672E+2	8.565490E-3	1.231200E-3
1.448636E+2	8.294170E-3	1.227390E-3
1.485876E+2	8.019980E-3	1.224050E-3
1.526840E+2	7.740050E-3	1.220710E-3
1.567804E+2	7.474930E-3	1.218560E-3
1.608768E+2	7.218870E-3	1.216180E-3
1.646008E+2	6.985220E-3	1.214030E-3
1.686972E+2	6.781610E-3	1.212600E-3
1.724212E+2	6.593260E-3	1.211650E-3
1.768900E+2	6.430180E-3	1.211410E-3
1.806140E+2	6.307630E-3	1.211410E-3
1.847104E+2	6.217990E-3	1.211890E-3
1.888068E+2	6.171260E-3	1.212370E-3
1.929032E+2	6.165530E-3	1.213320E-3
1.969996E+2	6.199870E-3	1.214750E-3
2.007236E+2	6.273780E-3	1.216420E-3
2.048200E+2	6.387740E-3	1.218560E-3
2.089164E+2	6.557020E-3	1.221430E-3
2.130128E+2	6.742510E-3	1.224290E-3
2.171092E+2	6.964240E-3	1.227390E-3
2.208332E+2	7.217910E-3	1.231200E-3
2.253020E+2	7.515940E-3	1.235970E-3
2.290260E+2	7.803470E-3	1.240260E-3
2.331224E+2	8.120600E-3	1.245030E-3
2.372188E+2	8.454860E-3	1.250040E-3
2.413152E+2	8.796750E-3	1.255520E-3
2.454116E+2	9.127680E-3	1.261000E-3
2.491356E+2	9.446680E-3	1.266730E-3
2.532320E+2	9.778560E-3	1.272450E-3
2.573284E+2	1.009420E-2	1.278170E-3
2.614248E+2	1.037650E-2	1.283890E-3
2.655212E+2	1.064160E-2	1.290090E-3
2.696176E+2	1.087530E-2	1.296290E-3
2.737140E+2	1.092150E-2	1.301530E-3
2.778104E+2	1.092150E-2	1.307730E-3
2.819068E+2	1.092150E-2	1.312980E-3
2.860032E+2	1.092150E-2	1.318940E-3
2.900996E+2	1.092150E-2	1.324180E-3
2.941960E+2	1.092150E-2	1.328710E-3
2.982924E+2	1.092150E-2	1.333010E-3
3.023888E+2	1.092150E-2	1.337770E-3
3.061128E+2	1.092150E-2	1.341590E-3
3.102092E+2	1.092150E-2	1.344690E-3
3.143056E+2	1.072790E-2	1.348030E-3
3.187744E+2	1.048710E-2	1.351360E-3
3.228708E+2	1.024300E-2	1.353750E-3
3.265948E+2	9.976450E-3	1.355890E-3
3.306912E+2	9.697970E-3	1.357560E-3
3.344152E+2	9.429040E-3	1.359230E-3
3.385116E+2	9.146750E-3	1.360190E-3
3.426080E+2	8.862560E-3	1.361140E-3
3.467044E+2	8.601730E-3	1.361620E-3
3.504284E+2	8.358060E-3	1.361620E-3
3.548972E+2	8.127750E-3	1.361850E-3
3.586212E+2	7.921760E-3	1.361380E-3
3.600044E+2	7.756260E-3	1.361140E-3
