d-1000	V1st-1000	V-1000	
3.724000E-1	5.502730E-3	1.189240E-3
4.468800E+0	5.503210E-3	1.189720E-3
8.192800E+0	5.513220E-3	1.190190E-3
1.228920E+1	5.548980E-3	1.191150E-3
1.638560E+1	5.618600E-3	1.192820E-3
2.010960E+1	5.723980E-3	1.194250E-3
2.420600E+1	5.857500E-3	1.196630E-3
2.830240E+1	5.999120E-3	1.199730E-3
3.202640E+1	6.171260E-3	1.202830E-3
3.612280E+1	6.406810E-3	1.206410E-3
4.021920E+1	6.683380E-3	1.210700E-3
4.431560E+1	6.971390E-3	1.215230E-3
4.878440E+1	7.327110E-3	1.221430E-3
5.288080E+1	7.654700E-3	1.226910E-3
5.697720E+1	8.009970E-3	1.233350E-3
6.107360E+1	8.370460E-3	1.239780E-3
6.479760E+1	8.717120E-3	1.246460E-3
6.889400E+1	9.077130E-3	1.253850E-3
7.299040E+1	9.398520E-3	1.260530E-3
7.708680E+1	9.709420E-3	1.267920E-3
8.118320E+1	9.996000E-3	1.275310E-3
8.527960E+1	1.026060E-2	1.283180E-3
8.937600E+1	1.048860E-2	1.290810E-3
9.347240E+1	1.068070E-2	1.298200E-3
9.756880E+1	1.083140E-2	1.305350E-3
1.012928E+2	1.092150E-2	1.312260E-3
1.053892E+2	1.092150E-2	1.318700E-3
1.094856E+2	1.092150E-2	1.325140E-3
1.132096E+2	1.092150E-2	1.331100E-3
1.176784E+2	1.092150E-2	1.337060E-3
1.214024E+2	1.089530E-2	1.342070E-3
1.254988E+2	1.077040E-2	1.346600E-3
1.292228E+2	1.061210E-2	1.350650E-3
1.333192E+2	1.042320E-2	1.354220E-3
1.374156E+2	1.019010E-2	1.357560E-3
1.418844E+2	9.930670E-3	1.360660E-3
1.459808E+2	9.662690E-3	1.363050E-3
1.497048E+2	9.383260E-3	1.364480E-3
1.541736E+2	9.103360E-3	1.366150E-3
1.578976E+2	8.828700E-3	1.367340E-3
1.619940E+2	8.538310E-3	1.368050E-3
1.660904E+2	8.270320E-3	1.368530E-3
1.701868E+2	8.012350E-3	1.369010E-3
1.742832E+2	7.776290E-3	1.368770E-3
1.783796E+2	7.565530E-3	1.368050E-3
1.824760E+2	7.384810E-3	1.367580E-3
1.862000E+2	7.234600E-3	1.366860E-3
1.902964E+2	7.108240E-3	1.365670E-3
1.943928E+2	7.016210E-3	1.364240E-3
1.981168E+2	6.961850E-3	1.362570E-3
2.025856E+2	6.942780E-3	1.360660E-3
2.063096E+2	6.960900E-3	1.358520E-3
2.104060E+2	7.010970E-3	1.356370E-3
2.141300E+2	7.088210E-3	1.354460E-3
2.182264E+2	7.194550E-3	1.352080E-3
2.223228E+2	7.336170E-3	1.349220E-3
2.264192E+2	7.493050E-3	1.346360E-3
2.301432E+2	7.666140E-3	1.343500E-3
2.346120E+2	7.872640E-3	1.339920E-3
2.383360E+2	8.071960E-3	1.336580E-3
2.424324E+2	8.278430E-3	1.333010E-3
2.465288E+2	8.480130E-3	1.329190E-3
2.506252E+2	8.688030E-3	1.324900E-3
2.547216E+2	8.875430E-3	1.320370E-3
2.584456E+2	9.047570E-3	1.315600E-3
2.625420E+2	9.203020E-3	1.310120E-3
2.666384E+2	9.329380E-3	1.304630E-3
2.703624E+2	9.429040E-3	1.298910E-3
2.748312E+2	9.493410E-3	1.293190E-3
2.789276E+2	9.527270E-3	1.287230E-3
2.826516E+2	9.521540E-3	1.280790E-3
2.867480E+2	9.482440E-3	1.274350E-3
2.904720E+2	9.406630E-3	1.267920E-3
2.945684E+2	9.296480E-3	1.261240E-3
2.986648E+2	9.154860E-3	1.254800E-3
3.027612E+2	8.987490E-3	1.248370E-3
3.068576E+2	8.792460E-3	1.242170E-3
3.105816E+2	8.568820E-3	1.236210E-3
3.146780E+2	8.326110E-3	1.230490E-3
3.187744E+2	8.078630E-3	1.225720E-3
3.224984E+2	7.814470E-3	1.220230E-3
3.265948E+2	7.529290E-3	1.214750E-3
3.306912E+2	7.247000E-3	1.209980E-3
3.347876E+2	6.961850E-3	1.205450E-3
3.388840E+2	6.705310E-3	1.201640E-3
3.426080E+2	6.461170E-3	1.198540E-3
3.467044E+2	6.229430E-3	1.195920E-3
3.508008E+2	6.037270E-3	1.193770E-3
3.548972E+2	5.864170E-3	1.191860E-3
3.589936E+2	5.723980E-3	1.190430E-3
3.600044E+2	5.632910E-3	1.189720E-3
