d-100	V1st-100	V-100	
3.724000E-1	6.570850E-3	1.287230E-3
4.468800E+0	6.568940E-3	1.287230E-3
8.192800E+0	6.558920E-3	1.287470E-3
1.228920E+1	6.554160E-3	1.287470E-3
1.638560E+1	6.577040E-3	1.287710E-3
2.048200E+1	6.637130E-3	1.288180E-3
2.457840E+1	6.734400E-3	1.288420E-3
2.867480E+1	6.847890E-3	1.288900E-3
3.277120E+1	6.978540E-3	1.289610E-3
3.686760E+1	7.147820E-3	1.290090E-3
4.059160E+1	7.351910E-3	1.290570E-3
4.468800E+1	7.590320E-3	1.291040E-3
4.878440E+1	7.836400E-3	1.291520E-3
5.288080E+1	8.102480E-3	1.292000E-3
5.697720E+1	8.392390E-3	1.292710E-3
6.070120E+1	8.688510E-3	1.292950E-3
6.479760E+1	8.969840E-3	1.293670E-3
6.889400E+1	9.250220E-3	1.294380E-3
7.299040E+1	9.524880E-3	1.295100E-3
7.708680E+1	9.772360E-3	1.295340E-3
8.081080E+1	9.993140E-3	1.295340E-3
8.490720E+1	1.020440E-2	1.295810E-3
8.900360E+1	1.037460E-2	1.296050E-3
9.310000E+1	1.051960E-2	1.296290E-3
9.719640E+1	1.062260E-2	1.296530E-3
1.009204E+2	1.068980E-2	1.296530E-3
1.050168E+2	1.071940E-2	1.296530E-3
1.091132E+2	1.070890E-2	1.296530E-3
1.132096E+2	1.065690E-2	1.297000E-3
1.169336E+2	1.056870E-2	1.297720E-3
1.210300E+2	1.044950E-2	1.298200E-3
1.251264E+2	1.029740E-2	1.298670E-3
1.288504E+2	1.011660E-2	1.299150E-3
1.329468E+2	9.905400E-3	1.299630E-3
1.370432E+2	9.666980E-3	1.300340E-3
1.411396E+2	9.419980E-3	1.300580E-3
1.452360E+2	9.137690E-3	1.301060E-3
1.489600E+2	8.864940E-3	1.301530E-3
1.530564E+2	8.596480E-3	1.302010E-3
1.567804E+2	8.328500E-3	1.302490E-3
1.608768E+2	8.062900E-3	1.302730E-3
1.649732E+2	7.792030E-3	1.303200E-3
1.690696E+2	7.567440E-3	1.303920E-3
1.727936E+2	7.359530E-3	1.304400E-3
1.768900E+2	7.170230E-3	1.305110E-3
1.809864E+2	7.010490E-3	1.305590E-3
1.850828E+2	6.881740E-3	1.306060E-3
1.891792E+2	6.787810E-3	1.306540E-3
1.932756E+2	6.736790E-3	1.306540E-3
1.973720E+2	6.723910E-3	1.307260E-3
2.014684E+2	6.749180E-3	1.307490E-3
2.051924E+2	6.813560E-3	1.307730E-3
2.092888E+2	6.918940E-3	1.307490E-3
2.133852E+2	7.047210E-3	1.307020E-3
2.174816E+2	7.214100E-3	1.306540E-3
2.215780E+2	7.406740E-3	1.306060E-3
2.256744E+2	7.635620E-3	1.305590E-3
2.293984E+2	7.863100E-3	1.304870E-3
2.334948E+2	8.109150E-3	1.303920E-3
2.372188E+2	8.368550E-3	1.303200E-3
2.413152E+2	8.628430E-3	1.302250E-3
2.450392E+2	8.889260E-3	1.301060E-3
2.491356E+2	9.147700E-3	1.299870E-3
2.532320E+2	9.421410E-3	1.298910E-3
2.577008E+2	9.687010E-3	1.297720E-3
2.617972E+2	9.900150E-3	1.297240E-3
2.655212E+2	1.009040E-2	1.296530E-3
2.696176E+2	1.025540E-2	1.295340E-3
2.737140E+2	1.038220E-2	1.294620E-3
2.778104E+2	1.048480E-2	1.293670E-3
2.819068E+2	1.054050E-2	1.292710E-3
2.856308E+2	1.055870E-2	1.291520E-3
2.897272E+2	1.053770E-2	1.290570E-3
2.938236E+2	1.048090E-2	1.289850E-3
2.975476E+2	1.038700E-2	1.289140E-3
3.016440E+2	1.025780E-2	1.288420E-3
3.057404E+2	1.010090E-2	1.287470E-3
3.094644E+2	9.913500E-3	1.287230E-3
3.135608E+2	9.692730E-3	1.286990E-3
3.176572E+2	9.460030E-3	1.286510E-3
3.213812E+2	9.208740E-3	1.286040E-3
3.254776E+2	8.934080E-3	1.286040E-3
3.295740E+2	8.657040E-3	1.286040E-3
3.332980E+2	8.389060E-3	1.286040E-3
3.373944E+2	8.100570E-3	1.285800E-3
3.414908E+2	7.839740E-3	1.285560E-3
3.455872E+2	7.586030E-3	1.285560E-3
3.496836E+2	7.364780E-3	1.285560E-3
3.534076E+2	7.165940E-3	1.285560E-3
3.575040E+2	6.979970E-3	1.286040E-3
3.600044E+2	6.825000E-3	1.286040E-3
