d-200	V1st-200	V-200	
0.000000E+0	6.432560E-3	1.276740E-3
4.096400E+0	6.433520E-3	1.276260E-3
8.192800E+0	6.426840E-3	1.276740E-3
1.228920E+1	6.426840E-3	1.277220E-3
1.638560E+1	6.453070E-3	1.277450E-3
2.010960E+1	6.515530E-3	1.278170E-3
2.420600E+1	6.611380E-3	1.279120E-3
2.830240E+1	6.720570E-3	1.279840E-3
3.202640E+1	6.848840E-3	1.280550E-3
3.612280E+1	7.022410E-3	1.281980E-3
4.021920E+1	7.232700E-3	1.282700E-3
4.431560E+1	7.483990E-3	1.283650E-3
4.841200E+1	7.746250E-3	1.284850E-3
5.213600E+1	8.016170E-3	1.286040E-3
5.623240E+1	8.303700E-3	1.287230E-3
6.032880E+1	8.609830E-3	1.288420E-3
6.442520E+1	8.929310E-3	1.289140E-3
6.852160E+1	9.221140E-3	1.289850E-3
7.261800E+1	9.505810E-3	1.291040E-3
7.671440E+1	9.768070E-3	1.292000E-3
8.081080E+1	1.000650E-2	1.292950E-3
8.490720E+1	1.021870E-2	1.293910E-3
8.900360E+1	1.040890E-2	1.294380E-3
9.310000E+1	1.055630E-2	1.295570E-3
9.682400E+1	1.066500E-2	1.297240E-3
1.009204E+2	1.073840E-2	1.298200E-3
1.050168E+2	1.077420E-2	1.299390E-3
1.087408E+2	1.077280E-2	1.300580E-3
1.128372E+2	1.073130E-2	1.301530E-3
1.169336E+2	1.065160E-2	1.302250E-3
1.206576E+2	1.053820E-2	1.303200E-3
1.251264E+2	1.038080E-2	1.304400E-3
1.292228E+2	1.018530E-2	1.305590E-3
1.333192E+2	9.978350E-3	1.307020E-3
1.370432E+2	9.745660E-3	1.308210E-3
1.411396E+2	9.491030E-3	1.308930E-3
1.452360E+2	9.222090E-3	1.309880E-3
1.489600E+2	8.947430E-3	1.310590E-3
1.530564E+2	8.658470E-3	1.311550E-3
1.575252E+2	8.351860E-3	1.312020E-3
1.616216E+2	8.083400E-3	1.312740E-3
1.653456E+2	7.833540E-3	1.313460E-3
1.694420E+2	7.600340E-3	1.314170E-3
1.735384E+2	7.390530E-3	1.314410E-3
1.772624E+2	7.201220E-3	1.315120E-3
1.813588E+2	7.045780E-3	1.315600E-3
1.854552E+2	6.922750E-3	1.315840E-3
1.891792E+2	6.830250E-3	1.316080E-3
1.932756E+2	6.770160E-3	1.315840E-3
1.973720E+2	6.750610E-3	1.315600E-3
2.014684E+2	6.770160E-3	1.315840E-3
2.055648E+2	6.828810E-3	1.315360E-3
2.096612E+2	6.928950E-3	1.315360E-3
2.137576E+2	7.055310E-3	1.314890E-3
2.174816E+2	7.211710E-3	1.314410E-3
2.215780E+2	7.402450E-3	1.313220E-3
2.253020E+2	7.608920E-3	1.312260E-3
2.293984E+2	7.832110E-3	1.311550E-3
2.334948E+2	8.078160E-3	1.310360E-3
2.375912E+2	8.340420E-3	1.308930E-3
2.413152E+2	8.596960E-3	1.307730E-3
2.457840E+2	8.878290E-3	1.306060E-3
2.495080E+2	9.131970E-3	1.304630E-3
2.536044E+2	9.378970E-3	1.302960E-3
2.577008E+2	9.614530E-3	1.301300E-3
2.614248E+2	9.818610E-3	1.299630E-3
2.655212E+2	1.000790E-2	1.297960E-3
2.696176E+2	1.016910E-2	1.296530E-3
2.740864E+2	1.029690E-2	1.294860E-3
2.781828E+2	1.038890E-2	1.293430E-3
2.819068E+2	1.043900E-2	1.292000E-3
2.860032E+2	1.044950E-2	1.289850E-3
2.900996E+2	1.041900E-2	1.288420E-3
2.941960E+2	1.035360E-2	1.286750E-3
2.982924E+2	1.024730E-2	1.285560E-3
3.023888E+2	1.011040E-2	1.284370E-3
3.061128E+2	9.944980E-3	1.283410E-3
3.102092E+2	9.746610E-3	1.282220E-3
3.139332E+2	9.527740E-3	1.281030E-3
3.184020E+2	9.279790E-3	1.280320E-3
3.221260E+2	9.019430E-3	1.279360E-3
3.262224E+2	8.745730E-3	1.278880E-3
3.303188E+2	8.448180E-3	1.277930E-3
3.344152E+2	8.179250E-3	1.277220E-3
3.381392E+2	7.913650E-3	1.276740E-3
3.426080E+2	7.631330E-3	1.276020E-3
3.463320E+2	7.392910E-3	1.275550E-3
3.504284E+2	7.177380E-3	1.275550E-3
3.545248E+2	6.983310E-3	1.275070E-3
3.582488E+2	6.808310E-3	1.275070E-3
3.600044E+2	6.677660E-3	1.275310E-3
