d-800	V1st-800	V-800	
3.724000E-1	5.712540E-3	1.211890E-3
4.468800E+0	5.713490E-3	1.211890E-3
8.565200E+0	5.719210E-3	1.212130E-3
1.228920E+1	5.746870E-3	1.213320E-3
1.675800E+1	5.814580E-3	1.215230E-3
2.048200E+1	5.915670E-3	1.216900E-3
2.457840E+1	6.040600E-3	1.218800E-3
2.830240E+1	6.172210E-3	1.220710E-3
3.239880E+1	6.344830E-3	1.223090E-3
3.649520E+1	6.559880E-3	1.226430E-3
4.021920E+1	6.812130E-3	1.230010E-3
4.431560E+1	7.088210E-3	1.233590E-3
4.803960E+1	7.381470E-3	1.237400E-3
5.213600E+1	7.704760E-3	1.241690E-3
5.623240E+1	8.044780E-3	1.246700E-3
6.032880E+1	8.392390E-3	1.251700E-3
6.442520E+1	8.737620E-3	1.257190E-3
6.814920E+1	9.089050E-3	1.262910E-3
7.224560E+1	9.401380E-3	1.268160E-3
7.634200E+1	9.691300E-3	1.273880E-3
8.006600E+1	9.975020E-3	1.279360E-3
8.453480E+1	1.023540E-2	1.285320E-3
8.863120E+1	1.046330E-2	1.291280E-3
9.272760E+1	1.064640E-2	1.297240E-3
9.645160E+1	1.079180E-2	1.302250E-3
1.005480E+2	1.091060E-2	1.308210E-3
1.046444E+2	1.092150E-2	1.314170E-3
1.091132E+2	1.092150E-2	1.319180E-3
1.128372E+2	1.092150E-2	1.323710E-3
1.169336E+2	1.092150E-2	1.328480E-3
1.210300E+2	1.084000E-2	1.332770E-3
1.247540E+2	1.071600E-2	1.336580E-3
1.288504E+2	1.055060E-2	1.340160E-3
1.329468E+2	1.035120E-2	1.343020E-3
1.370432E+2	1.012470E-2	1.346360E-3
1.407672E+2	9.888710E-3	1.349220E-3
1.448636E+2	9.630740E-3	1.351600E-3
1.485876E+2	9.356560E-3	1.353510E-3
1.526840E+2	9.085710E-3	1.355180E-3
1.567804E+2	8.804380E-3	1.356370E-3
1.605044E+2	8.528770E-3	1.357560E-3
1.646008E+2	8.249820E-3	1.358280E-3
1.690696E+2	7.986130E-3	1.358990E-3
1.727936E+2	7.759120E-3	1.359230E-3
1.768900E+2	7.538350E-3	1.358990E-3
1.809864E+2	7.354770E-3	1.358520E-3
1.850828E+2	7.202180E-3	1.358040E-3
1.888068E+2	7.078200E-3	1.357560E-3
1.929032E+2	6.985220E-3	1.356370E-3
1.969996E+2	6.927040E-3	1.354700E-3
2.010960E+2	6.907970E-3	1.353510E-3
2.051924E+2	6.926570E-3	1.352080E-3
2.089164E+2	6.979500E-3	1.350170E-3
2.130128E+2	7.063900E-3	1.347790E-3
2.171092E+2	7.183100E-3	1.344930E-3
2.212056E+2	7.329490E-3	1.342540E-3
2.253020E+2	7.497820E-3	1.340400E-3
2.293984E+2	7.688550E-3	1.337540E-3
2.334948E+2	7.893150E-3	1.334440E-3
2.372188E+2	8.113440E-3	1.330860E-3
2.413152E+2	8.325640E-3	1.327760E-3
2.454116E+2	8.537350E-3	1.324420E-3
2.491356E+2	8.751450E-3	1.320610E-3
2.532320E+2	8.963170E-3	1.316550E-3
2.573284E+2	9.156760E-3	1.312500E-3
2.614248E+2	9.328900E-3	1.307730E-3
2.655212E+2	9.477670E-3	1.302730E-3
2.692452E+2	9.595450E-3	1.297960E-3
2.733416E+2	9.686050E-3	1.292950E-3
2.774380E+2	9.740890E-3	1.288420E-3
2.811620E+2	9.760920E-3	1.283410E-3
2.852584E+2	9.745180E-3	1.277930E-3
2.893548E+2	9.695110E-3	1.272920E-3
2.930788E+2	9.609760E-3	1.267440E-3
2.971752E+2	9.481010E-3	1.261960E-3
3.012716E+2	9.327950E-3	1.256710E-3
3.053680E+2	9.143410E-3	1.251700E-3
3.094644E+2	8.937900E-3	1.247180E-3
3.131884E+2	8.708060E-3	1.242880E-3
3.172848E+2	8.450090E-3	1.238120E-3
3.213812E+2	8.183060E-3	1.234060E-3
3.254776E+2	7.902680E-3	1.229770E-3
3.292016E+2	7.624180E-3	1.225960E-3
3.332980E+2	7.357150E-3	1.222620E-3
3.370220E+2	7.080110E-3	1.219280E-3
3.414908E+2	6.815940E-3	1.216660E-3
3.455872E+2	6.560830E-3	1.214270E-3
3.496836E+2	6.358180E-3	1.212600E-3
3.537800E+2	6.164100E-3	1.211650E-3
3.578764E+2	6.008180E-3	1.210700E-3
3.600044E+2	5.889920E-3	1.210460E-3
