d-500	V1st-500	V-500	
3.724000E-1	6.079230E-3	1.244550E-3
4.468800E+0	6.078270E-3	1.244790E-3
8.565200E+0	6.077320E-3	1.245270E-3
1.228920E+1	6.094960E-3	1.246220E-3
1.675800E+1	6.142170E-3	1.247410E-3
2.048200E+1	6.224660E-3	1.248840E-3
2.495080E+1	6.347690E-3	1.250270E-3
2.867480E+1	6.468800E-3	1.251700E-3
3.277120E+1	6.629970E-3	1.253370E-3
3.686760E+1	6.829290E-3	1.255280E-3
4.096400E+1	7.076770E-3	1.257670E-3
4.506040E+1	7.344750E-3	1.260290E-3
4.878440E+1	7.631810E-3	1.263150E-3
5.288080E+1	7.933680E-3	1.266010E-3
5.697720E+1	8.258400E-3	1.268870E-3
6.107360E+1	8.595050E-3	1.271970E-3
6.517000E+1	8.917390E-3	1.275310E-3
6.889400E+1	9.226380E-3	1.278650E-3
7.299040E+1	9.533940E-3	1.281980E-3
7.708680E+1	9.808120E-3	1.285320E-3
8.118320E+1	1.007130E-2	1.288900E-3
8.565200E+1	1.031500E-2	1.292710E-3
8.974840E+1	1.051340E-2	1.296050E-3
9.347240E+1	1.067170E-2	1.299390E-3
9.756880E+1	1.079420E-2	1.303200E-3
1.016652E+2	1.088200E-2	1.306540E-3
1.057616E+2	1.092150E-2	1.309880E-3
1.098580E+2	1.092150E-2	1.313220E-3
1.135820E+2	1.089100E-2	1.316080E-3
1.176784E+2	1.081280E-2	1.318700E-3
1.217748E+2	1.069890E-2	1.321560E-3
1.258712E+2	1.054290E-2	1.324180E-3
1.299676E+2	1.036460E-2	1.326330E-3
1.336916E+2	1.014810E-2	1.328480E-3
1.377880E+2	9.919700E-3	1.330140E-3
1.418844E+2	9.665070E-3	1.332050E-3
1.459808E+2	9.393750E-3	1.333720E-3
1.497048E+2	9.118620E-3	1.335630E-3
1.538012E+2	8.843960E-3	1.337060E-3
1.578976E+2	8.562620E-3	1.338250E-3
1.616216E+2	8.285580E-3	1.339200E-3
1.657180E+2	8.024750E-3	1.339920E-3
1.698144E+2	7.787730E-3	1.339920E-3
1.739108E+2	7.561240E-3	1.340400E-3
1.776348E+2	7.366210E-3	1.340400E-3
1.817312E+2	7.200750E-3	1.340400E-3
1.858276E+2	7.062460E-3	1.340400E-3
1.895516E+2	6.959940E-3	1.339920E-3
1.936480E+2	6.888900E-3	1.339440E-3
1.973720E+2	6.855040E-3	1.338490E-3
2.014684E+2	6.857900E-3	1.337540E-3
2.055648E+2	6.904160E-3	1.336340E-3
2.096612E+2	6.980450E-3	1.335150E-3
2.137576E+2	7.089170E-3	1.333720E-3
2.178540E+2	7.234600E-3	1.332050E-3
2.219504E+2	7.417230E-3	1.329910E-3
2.260468E+2	7.611780E-3	1.328000E-3
2.301432E+2	7.820190E-3	1.325850E-3
2.342396E+2	8.050020E-3	1.323230E-3
2.379636E+2	8.284150E-3	1.320610E-3
2.420600E+2	8.529250E-3	1.318220E-3
2.461564E+2	8.764330E-3	1.315360E-3
2.498804E+2	8.995590E-3	1.312500E-3
2.539768E+2	9.223040E-3	1.309400E-3
2.580732E+2	9.435710E-3	1.306060E-3
2.621696E+2	9.629790E-3	1.302960E-3
2.658936E+2	9.793820E-3	1.299870E-3
2.699900E+2	9.926380E-3	1.296530E-3
2.740864E+2	1.002990E-2	1.293190E-3
2.781828E+2	1.009610E-2	1.289850E-3
2.819068E+2	1.012760E-2	1.286510E-3
2.860032E+2	1.012330E-2	1.283180E-3
2.900996E+2	1.008180E-2	1.279840E-3
2.941960E+2	9.999810E-3	1.276020E-3
2.979200E+2	9.883940E-3	1.272450E-3
3.020164E+2	9.738500E-3	1.269350E-3
3.057404E+2	9.565890E-3	1.266250E-3
3.102092E+2	9.349410E-3	1.262910E-3
3.139332E+2	9.117660E-3	1.260050E-3
3.180296E+2	8.876860E-3	1.257190E-3
3.221260E+2	8.599820E-3	1.254800E-3
3.262224E+2	8.310380E-3	1.252420E-3
3.303188E+2	8.031430E-3	1.250510E-3
3.340428E+2	7.758650E-3	1.248840E-3
3.381392E+2	7.482080E-3	1.247410E-3
3.426080E+2	7.195030E-3	1.246220E-3
3.467044E+2	6.955650E-3	1.245030E-3
3.504284E+2	6.748230E-3	1.244310E-3
3.545248E+2	6.557490E-3	1.243840E-3
3.586212E+2	6.387260E-3	1.243360E-3
3.600044E+2	6.270920E-3	1.243840E-3
