d-300	V1st-300	V-300	
7.448000E-1	6.324800E-3	1.265770E-3
4.841200E+0	6.323840E-3	1.265770E-3
8.565200E+0	6.318600E-3	1.266490E-3
1.266160E+1	6.326230E-3	1.267200E-3
1.675800E+1	6.362940E-3	1.267920E-3
2.048200E+1	6.435420E-3	1.268630E-3
2.457840E+1	6.538900E-3	1.269590E-3
2.867480E+1	6.655250E-3	1.270540E-3
3.239880E+1	6.793050E-3	1.271970E-3
3.649520E+1	6.977110E-3	1.273160E-3
4.059160E+1	7.201700E-3	1.274350E-3
4.431560E+1	7.444890E-3	1.275790E-3
4.841200E+1	7.712390E-3	1.277220E-3
5.250840E+1	8.016170E-3	1.279120E-3
5.660480E+1	8.327070E-3	1.281030E-3
6.070120E+1	8.627470E-3	1.282940E-3
6.479760E+1	8.939800E-3	1.284610E-3
6.889400E+1	9.232580E-3	1.286040E-3
7.261800E+1	9.513440E-3	1.287710E-3
7.671440E+1	9.790000E-3	1.289850E-3
8.081080E+1	1.002650E-2	1.291760E-3
8.453480E+1	1.023730E-2	1.293910E-3
8.863120E+1	1.042900E-2	1.295810E-3
9.272760E+1	1.058730E-2	1.297720E-3
9.682400E+1	1.071170E-2	1.299390E-3
1.009204E+2	1.079330E-2	1.301530E-3
1.046444E+2	1.083670E-2	1.303440E-3
1.087408E+2	1.083950E-2	1.305110E-3
1.128372E+2	1.080090E-2	1.306780E-3
1.169336E+2	1.071980E-2	1.308450E-3
1.210300E+2	1.060630E-2	1.309880E-3
1.251264E+2	1.045230E-2	1.311550E-3
1.292228E+2	1.027450E-2	1.312980E-3
1.329468E+2	1.007090E-2	1.314410E-3
1.370432E+2	9.826720E-3	1.316080E-3
1.411396E+2	9.577810E-3	1.317270E-3
1.452360E+2	9.303630E-3	1.318460E-3
1.493324E+2	9.026110E-3	1.319650E-3
1.530564E+2	8.753840E-3	1.320610E-3
1.571528E+2	8.472980E-3	1.321320E-3
1.612492E+2	8.177820E-3	1.322520E-3
1.653456E+2	7.915080E-3	1.323230E-3
1.694420E+2	7.687120E-3	1.323710E-3
1.731660E+2	7.473980E-3	1.324180E-3
1.772624E+2	7.267500E-3	1.324660E-3
1.813588E+2	7.102520E-3	1.325140E-3
1.854552E+2	6.967100E-3	1.325140E-3
1.895516E+2	6.868390E-3	1.324660E-3
1.936480E+2	6.802590E-3	1.323710E-3
1.977444E+2	6.779220E-3	1.323710E-3
2.014684E+2	6.794480E-3	1.323950E-3
2.055648E+2	6.849800E-3	1.323710E-3
2.096612E+2	6.940390E-3	1.322990E-3
2.137576E+2	7.066760E-3	1.322040E-3
2.178540E+2	7.220770E-3	1.321080E-3
2.215780E+2	7.404830E-3	1.319650E-3
2.256744E+2	7.617500E-3	1.318220E-3
2.297708E+2	7.833540E-3	1.317030E-3
2.334948E+2	8.068140E-3	1.315600E-3
2.375912E+2	8.319910E-3	1.313930E-3
2.416876E+2	8.577410E-3	1.312020E-3
2.457840E+2	8.839670E-3	1.309880E-3
2.498804E+2	9.085240E-3	1.307730E-3
2.536044E+2	9.325090E-3	1.305590E-3
2.577008E+2	9.553490E-3	1.303200E-3
2.617972E+2	9.760920E-3	1.301060E-3
2.662660E+2	9.959280E-3	1.298910E-3
2.699900E+2	1.010380E-2	1.296530E-3
2.740864E+2	1.021870E-2	1.294620E-3
2.781828E+2	1.029780E-2	1.292000E-3
2.819068E+2	1.034270E-2	1.289610E-3
2.860032E+2	1.034930E-2	1.287230E-3
2.900996E+2	1.031880E-2	1.285320E-3
2.941960E+2	1.024540E-2	1.283410E-3
2.982924E+2	1.013570E-2	1.281750E-3
3.020164E+2	9.997430E-3	1.279360E-3
3.061128E+2	9.826720E-3	1.277450E-3
3.102092E+2	9.623110E-3	1.275550E-3
3.143056E+2	9.385170E-3	1.273880E-3
3.180296E+2	9.151040E-3	1.272920E-3
3.221260E+2	8.880200E-3	1.271260E-3
3.265948E+2	8.581700E-3	1.269590E-3
3.303188E+2	8.305610E-3	1.268870E-3
3.344152E+2	8.033810E-3	1.267920E-3
3.385116E+2	7.754360E-3	1.267200E-3
3.426080E+2	7.479700E-3	1.266730E-3
3.467044E+2	7.235560E-3	1.266250E-3
3.504284E+2	7.024790E-3	1.265770E-3
3.548972E+2	6.819280E-3	1.265530E-3
3.589936E+2	6.646190E-3	1.265530E-3
3.600044E+2	6.531270E-3	1.265770E-3
