d-400	V1st-400	V-400	
0.000000E+0	6.193190E-3	1.255760E-3
4.096400E+0	6.193670E-3	1.255520E-3
8.192800E+0	6.191280E-3	1.255760E-3
1.228920E+1	6.202250E-3	1.256710E-3
1.638560E+1	6.244690E-3	1.257430E-3
2.048200E+1	6.319550E-3	1.258620E-3
2.420600E+1	6.421600E-3	1.259570E-3
2.830240E+1	6.536040E-3	1.260530E-3
3.202640E+1	6.685760E-3	1.262200E-3
3.649520E+1	6.874110E-3	1.263860E-3
4.021920E+1	7.102040E-3	1.265530E-3
4.431560E+1	7.355240E-3	1.267680E-3
4.841200E+1	7.629420E-3	1.270060E-3
5.213600E+1	7.917460E-3	1.272210E-3
5.623240E+1	8.236940E-3	1.274350E-3
6.032880E+1	8.568820E-3	1.276740E-3
6.442520E+1	8.884010E-3	1.279600E-3
6.852160E+1	9.203020E-3	1.282220E-3
7.261800E+1	9.504380E-3	1.285080E-3
7.671440E+1	9.775220E-3	1.287470E-3
8.043840E+1	1.001890E-2	1.289850E-3
8.453480E+1	1.024540E-2	1.292240E-3
8.863120E+1	1.044570E-2	1.294860E-3
9.235520E+1	1.061490E-2	1.297720E-3
9.682400E+1	1.073990E-2	1.300340E-3
1.009204E+2	1.083190E-2	1.302730E-3
1.050168E+2	1.088100E-2	1.305590E-3
1.087408E+2	1.088860E-2	1.308210E-3
1.128372E+2	1.085430E-2	1.311070E-3
1.169336E+2	1.078130E-2	1.313460E-3
1.210300E+2	1.065930E-2	1.316080E-3
1.254988E+2	1.050620E-2	1.318220E-3
1.295952E+2	1.032360E-2	1.320370E-3
1.333192E+2	1.011570E-2	1.322520E-3
1.374156E+2	9.877260E-3	1.324180E-3
1.415120E+2	9.631690E-3	1.325850E-3
1.452360E+2	9.345110E-3	1.327520E-3
1.497048E+2	9.069030E-3	1.328710E-3
1.538012E+2	8.777680E-3	1.329670E-3
1.578976E+2	8.496820E-3	1.330380E-3
1.616216E+2	8.226450E-3	1.331100E-3
1.657180E+2	7.967530E-3	1.332050E-3
1.698144E+2	7.734810E-3	1.332530E-3
1.735384E+2	7.518320E-3	1.333010E-3
1.776348E+2	7.319960E-3	1.333240E-3
1.813588E+2	7.158310E-3	1.333240E-3
1.854552E+2	7.025750E-3	1.333240E-3
1.895516E+2	6.923710E-3	1.333010E-3
1.932756E+2	6.858380E-3	1.332530E-3
1.977444E+2	6.826910E-3	1.332050E-3
2.018408E+2	6.836440E-3	1.331340E-3
2.059372E+2	6.889850E-3	1.330860E-3
2.100336E+2	6.978540E-3	1.329910E-3
2.141300E+2	7.096320E-3	1.328240E-3
2.182264E+2	7.249390E-3	1.326570E-3
2.223228E+2	7.439170E-3	1.324660E-3
2.264192E+2	7.641820E-3	1.322990E-3
2.305156E+2	7.868350E-3	1.321080E-3
2.346120E+2	8.126800E-3	1.319180E-3
2.387084E+2	8.369980E-3	1.317030E-3
2.428048E+2	8.614600E-3	1.314650E-3
2.469012E+2	8.866370E-3	1.312020E-3
2.509976E+2	9.116710E-3	1.309160E-3
2.550940E+2	9.366100E-3	1.305830E-3
2.591904E+2	9.579720E-3	1.302730E-3
2.632868E+2	9.770930E-3	1.299870E-3
2.673832E+2	9.932580E-3	1.297240E-3
2.711072E+2	1.006470E-2	1.294380E-3
2.752036E+2	1.016190E-2	1.292000E-3
2.793000E+2	1.022540E-2	1.289140E-3
2.833964E+2	1.025160E-2	1.286280E-3
2.874928E+2	1.024010E-2	1.283890E-3
2.912168E+2	1.019010E-2	1.281030E-3
2.953132E+2	1.009950E-2	1.278170E-3
2.994096E+2	9.972630E-3	1.275070E-3
3.035060E+2	9.815280E-3	1.272690E-3
3.072300E+2	9.625020E-3	1.270060E-3
3.113264E+2	9.414730E-3	1.267920E-3
3.157952E+2	9.170110E-3	1.265530E-3
3.195192E+2	8.929790E-3	1.263860E-3
3.236156E+2	8.655130E-3	1.262200E-3
3.277120E+2	8.368550E-3	1.261000E-3
3.314360E+2	8.094850E-3	1.259570E-3
3.355324E+2	7.810620E-3	1.257900E-3
3.396288E+2	7.547890E-3	1.256710E-3
3.433528E+2	7.293250E-3	1.255760E-3
3.474492E+2	7.061510E-3	1.255040E-3
3.515456E+2	6.847410E-3	1.254570E-3
3.552696E+2	6.655720E-3	1.254800E-3
3.597384E+2	6.497410E-3	1.254800E-3
3.600044E+2	6.392510E-3	1.254800E-3
