1st harmonic(V)503007	2nd harmonic(V)503007	Bex(Oe)503007	
2.404490E-1	-7.712140E-5	4.000030E+4
2.404490E-1	-7.709910E-5	4.000030E+4
2.404490E-1	-7.710650E-5	4.000030E+4
2.404490E-1	-7.709910E-5	4.000030E+4
2.404490E-1	-7.711400E-5	4.000030E+4
2.404490E-1	-7.712140E-5	4.000030E+4
2.404490E-1	-7.714380E-5	4.000030E+4
2.404490E-1	-7.718850E-5	4.000030E+4
2.404490E-1	-7.722570E-5	4.000030E+4
2.404490E-1	-7.725550E-5	4.000030E+4
2.404490E-1	-7.727040E-5	4.000030E+4
2.404490E-1	-7.726300E-5	4.000030E+4
2.404490E-1	-7.724810E-5	4.000030E+4
2.404490E-1	-7.722570E-5	4.000030E+4
2.404490E-1	-7.721080E-5	4.000030E+4
2.404490E-1	-7.719590E-5	4.000030E+4
2.404490E-1	-7.717360E-5	4.000030E+4
2.404490E-1	-7.714380E-5	4.000030E+4
2.404490E-1	-7.714380E-5	4.000030E+4
2.404490E-1	-7.715870E-5	4.000030E+4
2.404490E-1	-7.717360E-5	4.000030E+4
2.404490E-1	-7.719590E-5	4.000030E+4
2.404490E-1	-7.718850E-5	4.000030E+4
2.404490E-1	-7.716610E-5	4.000030E+4
2.404490E-1	-7.714380E-5	4.000030E+4
2.404490E-1	-7.711400E-5	4.000030E+4
2.404490E-1	-7.712140E-5	4.000030E+4
2.404490E-1	-7.710650E-5	4.000030E+4
2.404490E-1	-7.710650E-5	4.000030E+4
2.404490E-1	-7.712890E-5	4.000030E+4
2.404490E-1	-7.713630E-5	4.000030E+4
2.404490E-1	-7.712890E-5	4.000030E+4
2.404490E-1	-7.711400E-5	4.000030E+4
2.404490E-1	-7.711400E-5	4.000030E+4
2.404490E-1	-7.712140E-5	4.000030E+4
2.404490E-1	-7.712890E-5	4.000030E+4
2.404490E-1	-7.712890E-5	4.000030E+4
2.404490E-1	-7.713630E-5	4.000045E+4
2.404180E-1	-7.713630E-5	4.000055E+4
2.404180E-1	-7.712140E-5	4.000054E+4
2.404180E-1	-7.710650E-5	4.000049E+4
2.404180E-1	-7.709160E-5	4.000054E+4
2.404180E-1	-7.709160E-5	4.000054E+4
2.404180E-1	-7.712140E-5	4.000058E+4
2.404180E-1	-7.715870E-5	4.000045E+4
2.404180E-1	-7.717360E-5	4.000045E+4
2.404180E-1	-7.713630E-5	4.000055E+4
2.404180E-1	-7.708420E-5	4.000049E+4
2.404180E-1	-7.704690E-5	4.000045E+4
2.404180E-1	-7.702460E-5	4.000041E+4
2.404180E-1	-7.701710E-5	4.000055E+4
2.404180E-1	-7.701710E-5	4.000049E+4
2.404180E-1	-7.703950E-5	4.000054E+4
2.404180E-1	-7.706180E-5	4.000045E+4
2.404180E-1	-7.709910E-5	4.000054E+4
2.404180E-1	-7.714380E-5	4.000047E+4
2.404180E-1	-7.712890E-5	4.000043E+4
2.404180E-1	-7.709910E-5	4.000055E+4
2.404180E-1	-7.706180E-5	4.000051E+4
2.404180E-1	-7.703200E-5	4.000051E+4
2.404180E-1	-7.701710E-5	4.000049E+4
2.404180E-1	-7.704690E-5	4.000049E+4
2.404180E-1	-7.706930E-5	4.000036E+4
2.404180E-1	-7.707670E-5	4.000054E+4
2.404180E-1	-7.707670E-5	4.000043E+4
2.404180E-1	-7.706180E-5	4.000055E+4
2.404180E-1	-7.707670E-5	4.000054E+4
2.404180E-1	-7.709910E-5	4.000047E+4
2.404180E-1	-7.709910E-5	4.000051E+4
2.404180E-1	-7.706930E-5	4.000055E+4
2.404180E-1	-7.703950E-5	4.000038E+4
2.404180E-1	-7.704690E-5	4.000047E+4
2.404180E-1	-7.704690E-5	4.000043E+4
2.404180E-1	-7.706180E-5	4.000043E+4
2.404180E-1	-7.706930E-5	4.000049E+4
2.404180E-1	-7.707670E-5	4.000043E+4
2.404180E-1	-7.706180E-5	4.000051E+4
2.404180E-1	-7.703950E-5	4.000047E+4
2.403880E-1	-7.703950E-5	4.000045E+4
2.404180E-1	-7.703200E-5	4.000043E+4
2.404180E-1	-7.701710E-5	4.000041E+4
2.404180E-1	-7.699480E-5	4.000051E+4
2.404180E-1	-7.700970E-5	4.000043E+4
2.404180E-1	-7.701710E-5	4.000045E+4
2.404180E-1	-7.704690E-5	4.000043E+4
2.404180E-1	-7.706180E-5	4.000043E+4
2.403880E-1	-7.706180E-5	4.000049E+4
2.403880E-1	-7.704690E-5	4.000054E+4
2.403880E-1	-7.703950E-5	3.999812E+4
2.403880E-1	-7.701710E-5	3.996548E+4
2.403880E-1	-7.700220E-5	3.991014E+4
2.403880E-1	-7.698730E-5	3.985114E+4
2.403880E-1	-7.695750E-5	3.979128E+4
2.403880E-1	-7.693520E-5	3.973176E+4
2.403880E-1	-7.689790E-5	3.967232E+4
2.403880E-1	-7.683090E-5	3.961268E+4
2.403880E-1	-7.672650E-5	3.955327E+4
2.403880E-1	-7.657750E-5	3.949344E+4
2.403880E-1	-7.644340E-5	3.943405E+4
2.403880E-1	-7.630190E-5	3.937455E+4
2.403880E-1	-7.615280E-5	3.931496E+4
2.403880E-1	-7.604110E-5	3.925518E+4
2.403880E-1	-7.593680E-5	3.919558E+4
2.403880E-1	-7.581010E-5	3.913602E+4
2.403880E-1	-7.564620E-5	3.907627E+4
2.403880E-1	-7.548970E-5	3.901666E+4
2.403880E-1	-7.537050E-5	3.895691E+4
2.403880E-1	-7.528860E-5	3.889727E+4
2.403880E-1	-7.519920E-5	3.883763E+4
2.403880E-1	-7.510980E-5	3.877810E+4
2.403880E-1	-7.501290E-5	3.871830E+4
2.403880E-1	-7.491610E-5	3.865864E+4
2.403880E-1	-7.481170E-5	3.859903E+4
2.403880E-1	-7.473720E-5	3.853918E+4
2.403880E-1	-7.467760E-5	3.847945E+4
2.403880E-1	-7.461060E-5	3.841976E+4
2.403880E-1	-7.454350E-5	3.836004E+4
2.403880E-1	-7.442430E-5	3.830008E+4
2.403880E-1	-7.426040E-5	3.824041E+4
2.403570E-1	-7.408160E-5	3.818045E+4
2.403570E-1	-7.393260E-5	3.812083E+4
2.403570E-1	-7.381340E-5	3.806074E+4
2.403570E-1	-7.370160E-5	3.800100E+4
2.403570E-1	-7.359730E-5	3.794109E+4
2.403570E-1	-7.348550E-5	3.788122E+4
2.403570E-1	-7.340360E-5	3.782134E+4
2.403570E-1	-7.332160E-5	3.776147E+4
2.403570E-1	-7.322480E-5	3.770159E+4
2.403570E-1	-7.313540E-5	3.764171E+4
2.403570E-1	-7.302360E-5	3.758177E+4
2.403570E-1	-7.289690E-5	3.752184E+4
2.403570E-1	-7.279260E-5	3.746197E+4
2.403570E-1	-7.271070E-5	3.740203E+4
2.403570E-1	-7.259890E-5	3.734224E+4
2.403570E-1	-7.250210E-5	3.728227E+4
2.403570E-1	-7.242010E-5	3.722248E+4
2.403570E-1	-7.233070E-5	3.716259E+4
2.403570E-1	-7.221890E-5	3.710260E+4
2.403570E-1	-7.209230E-5	3.704255E+4
2.403570E-1	-7.198050E-5	3.698277E+4
2.403270E-1	-7.185390E-5	3.692273E+4
2.403270E-1	-7.173470E-5	3.686284E+4
2.403270E-1	-7.162290E-5	3.680302E+4
2.403270E-1	-7.151110E-5	3.674313E+4
2.403270E-1	-7.140680E-5	3.668308E+4
2.403270E-1	-7.131740E-5	3.662326E+4
2.403270E-1	-7.122800E-5	3.656320E+4
2.403270E-1	-7.110880E-5	3.650343E+4
2.402960E-1	-7.094490E-5	3.644352E+4
2.402960E-1	-7.079590E-5	3.638354E+4
2.402960E-1	-7.065430E-5	3.632366E+4
2.402960E-1	-7.055750E-5	3.626369E+4
2.402960E-1	-7.047550E-5	3.620368E+4
2.402960E-1	-7.043080E-5	3.614384E+4
2.402960E-1	-7.037120E-5	3.608384E+4
2.402960E-1	-7.028180E-5	3.602396E+4
2.402960E-1	-7.017750E-5	3.596403E+4
2.402960E-1	-7.005080E-5	3.590417E+4
2.402960E-1	-6.991670E-5	3.584425E+4
2.402960E-1	-6.976770E-5	3.578424E+4
2.402960E-1	-6.961870E-5	3.570445E+4
2.402960E-1	-6.946220E-5	3.566450E+4
2.402960E-1	-6.931320E-5	3.560455E+4
2.402960E-1	-6.918660E-5	3.554471E+4
2.402960E-1	-6.905990E-5	3.548469E+4
2.402960E-1	-6.897050E-5	3.542482E+4
2.402960E-1	-6.888110E-5	3.536492E+4
2.402960E-1	-6.878420E-5	3.530498E+4
2.402960E-1	-6.867250E-5	3.524504E+4
2.402960E-1	-6.859050E-5	3.518507E+4
2.402960E-1	-6.850110E-5	3.512523E+4
2.402960E-1	-6.840420E-5	3.506525E+4
2.402960E-1	-6.832230E-5	3.500527E+4
2.402960E-1	-6.822540E-5	3.494537E+4
2.402660E-1	-6.810620E-5	3.488540E+4
2.402660E-1	-6.797210E-5	3.482562E+4
2.402660E-1	-6.780820E-5	3.476564E+4
2.402660E-1	-6.767410E-5	3.470567E+4
2.402660E-1	-6.762190E-5	3.464567E+4
