1st harmonic(V)503007	2nd harmonic(V)503007	Bex(Oe)503007	
-1.719220E-1	1.090530E-3	6.870165E+4
-1.719220E-1	1.090770E-3	6.864191E+4
-1.719220E-1	1.091010E-3	6.858215E+4
-1.719140E-1	1.091250E-3	6.852237E+4
-1.719060E-1	1.091250E-3	6.846270E+4
-1.719060E-1	1.091490E-3	6.840272E+4
-1.718990E-1	1.091730E-3	6.834298E+4
-1.718990E-1	1.092200E-3	6.828317E+4
-1.718910E-1	1.092440E-3	6.822337E+4
-1.718910E-1	1.092920E-3	6.814366E+4
-1.718910E-1	1.093160E-3	6.810381E+4
-1.718840E-1	1.093400E-3	6.804398E+4
-1.718840E-1	1.093630E-3	6.798418E+4
-1.718760E-1	1.093870E-3	6.792437E+4
-1.718760E-1	1.094110E-3	6.786448E+4
-1.718760E-1	1.094590E-3	6.780469E+4
-1.718680E-1	1.094590E-3	6.774496E+4
-1.718680E-1	1.095060E-3	6.768508E+4
-1.718680E-1	1.095300E-3	6.762536E+4
-1.718680E-1	1.095780E-3	6.756549E+4
-1.718680E-1	1.096260E-3	6.750564E+4
-1.718680E-1	1.096730E-3	6.744580E+4
-1.718680E-1	1.096970E-3	6.738610E+4
-1.718680E-1	1.097210E-3	6.732611E+4
-1.718610E-1	1.097690E-3	6.726627E+4
-1.718610E-1	1.097930E-3	6.720645E+4
-1.718610E-1	1.098400E-3	6.714674E+4
-1.718610E-1	1.098640E-3	6.708682E+4
-1.718610E-1	1.098880E-3	6.702711E+4
-1.718530E-1	1.098880E-3	6.696723E+4
-1.718530E-1	1.099120E-3	6.690757E+4
-1.718450E-1	1.099590E-3	6.684767E+4
-1.718450E-1	1.099830E-3	6.678788E+4
-1.718450E-1	1.100070E-3	6.672791E+4
-1.718380E-1	1.100550E-3	6.666813E+4
-1.718380E-1	1.100790E-3	6.660832E+4
-1.718380E-1	1.101260E-3	6.654851E+4
-1.718380E-1	1.101740E-3	6.648866E+4
-1.718380E-1	1.101980E-3	6.642888E+4
-1.718300E-1	1.102220E-3	6.636902E+4
-1.718300E-1	1.102690E-3	6.630915E+4
-1.718300E-1	1.102930E-3	6.624916E+4
-1.718300E-1	1.103410E-3	6.618925E+4
-1.718300E-1	1.103650E-3	6.612946E+4
-1.718380E-1	1.103890E-3	6.606945E+4
-1.718380E-1	1.104120E-3	6.600964E+4
-1.718380E-1	1.104360E-3	6.594981E+4
-1.718380E-1	1.104600E-3	6.589007E+4
-1.718380E-1	1.105080E-3	6.583017E+4
-1.718380E-1	1.105320E-3	6.577036E+4
-1.718380E-1	1.105550E-3	6.571046E+4
-1.718300E-1	1.105790E-3	6.565062E+4
-1.718230E-1	1.106030E-3	6.559087E+4
-1.718230E-1	1.106510E-3	6.553082E+4
-1.718230E-1	1.106750E-3	6.545141E+4
-1.718230E-1	1.106980E-3	6.541142E+4
-1.718230E-1	1.107220E-3	6.535155E+4
-1.718230E-1	1.107700E-3	6.529177E+4
-1.718230E-1	1.108180E-3	6.523196E+4
-1.718300E-1	1.108420E-3	6.517199E+4
-1.718300E-1	1.108890E-3	6.511227E+4
-1.718300E-1	1.109370E-3	6.505248E+4
-1.718300E-1	1.109610E-3	6.499255E+4
-1.718380E-1	1.109850E-3	6.493272E+4
-1.718300E-1	1.110080E-3	6.487295E+4
-1.718300E-1	1.110320E-3	6.481308E+4
-1.718300E-1	1.110560E-3	6.475327E+4
-1.718230E-1	1.111040E-3	6.469337E+4
-1.718150E-1	1.111280E-3	6.463379E+4
-1.718150E-1	1.111510E-3	6.457394E+4
-1.718150E-1	1.111750E-3	6.451409E+4
-1.718150E-1	1.111990E-3	6.445432E+4
-1.718150E-1	1.112230E-3	6.439438E+4
-1.718150E-1	1.112710E-3	6.433456E+4
-1.718070E-1	1.112950E-3	6.427479E+4
-1.718150E-1	1.113420E-3	6.421502E+4
-1.718150E-1	1.113660E-3	6.413507E+4
-1.718070E-1	1.113900E-3	6.409527E+4
-1.718070E-1	1.114140E-3	6.403541E+4
-1.718070E-1	1.114380E-3	6.397558E+4
-1.718070E-1	1.114610E-3	6.391586E+4
-1.718070E-1	1.115090E-3	6.385605E+4
-1.718070E-1	1.115330E-3	6.379621E+4
-1.718000E-1	1.115570E-3	6.373643E+4
-1.718000E-1	1.116040E-3	6.367657E+4
-1.717920E-1	1.116280E-3	6.361680E+4
-1.717920E-1	1.116760E-3	6.355699E+4
-1.717840E-1	1.117000E-3	6.349719E+4
-1.717840E-1	1.117240E-3	6.343722E+4
-1.717840E-1	1.117480E-3	6.337742E+4
-1.717840E-1	1.117710E-3	6.331750E+4
-1.717840E-1	1.117950E-3	6.325779E+4
-1.717840E-1	1.118430E-3	6.319800E+4
-1.717840E-1	1.118670E-3	6.313814E+4
-1.717840E-1	1.118910E-3	6.307819E+4
-1.717840E-1	1.119380E-3	6.301833E+4
-1.717840E-1	1.119620E-3	6.295858E+4
-1.717920E-1	1.120100E-3	6.289871E+4
-1.717920E-1	1.120340E-3	6.283886E+4
-1.718000E-1	1.120570E-3	6.275911E+4
-1.718000E-1	1.121050E-3	6.271934E+4
-1.718000E-1	1.121530E-3	6.265941E+4
-1.718000E-1	1.121770E-3	6.259964E+4
-1.718000E-1	1.122240E-3	6.253977E+4
-1.717920E-1	1.122480E-3	6.247991E+4
-1.717920E-1	1.122720E-3	6.242013E+4
-1.717840E-1	1.122720E-3	6.234040E+4
-1.717840E-1	1.123200E-3	6.230045E+4
-1.717840E-1	1.123440E-3	6.224067E+4
-1.717840E-1	1.123910E-3	6.218078E+4
-1.717840E-1	1.123910E-3	6.212099E+4
-1.717840E-1	1.124390E-3	6.206121E+4
-1.717840E-1	1.124630E-3	6.200132E+4
-1.717770E-1	1.124870E-3	6.194156E+4
-1.717770E-1	1.125100E-3	6.188170E+4
-1.717690E-1	1.125340E-3	6.182195E+4
-1.717690E-1	1.125580E-3	6.176196E+4
-1.717690E-1	1.125820E-3	6.170225E+4
-1.717690E-1	1.126060E-3	6.164238E+4
-1.717690E-1	1.126540E-3	6.158264E+4
-1.717770E-1	1.126770E-3	6.152282E+4
-1.717770E-1	1.127250E-3	6.146298E+4
-1.717770E-1	1.127730E-3	6.140304E+4
-1.717770E-1	1.127970E-3	6.134323E+4
-1.717770E-1	1.128200E-3	6.128355E+4
-1.717770E-1	1.128680E-3	6.122364E+4
-1.717770E-1	1.128920E-3	6.116390E+4
-1.717770E-1	1.129160E-3	6.110399E+4
-1.717690E-1	1.129400E-3	6.102423E+4
-1.717690E-1	1.129870E-3	6.098439E+4
-1.717620E-1	1.130110E-3	6.090476E+4
-1.717620E-1	1.130350E-3	6.086488E+4
-1.717620E-1	1.130590E-3	6.078510E+4
-1.717620E-1	1.131070E-3	6.074503E+4
-1.717620E-1	1.131540E-3	6.068534E+4
-1.717620E-1	1.131780E-3	6.062548E+4
-1.717620E-1	1.132260E-3	6.054565E+4
-1.717620E-1	1.132260E-3	6.050576E+4
-1.717620E-1	1.132500E-3	6.042602E+4
-1.717540E-1	1.132730E-3	6.038610E+4
-1.717540E-1	1.133210E-3	6.030642E+4
-1.717460E-1	1.133450E-3	6.026638E+4
-1.717460E-1	1.133930E-3	6.020664E+4
-1.717460E-1	1.134160E-3	6.012685E+4
-1.717460E-1	1.134640E-3	6.006720E+4
-1.717540E-1	1.134880E-3	6.000718E+4
-1.717540E-1	1.135120E-3	5.994725E+4
-1.717540E-1	1.135360E-3	5.988746E+4
-1.717540E-1	1.135600E-3	5.982761E+4
-1.717460E-1	1.135830E-3	5.976767E+4
-1.717460E-1	1.136070E-3	5.970784E+4
-1.717390E-1	1.136550E-3	5.964838E+4
-1.717310E-1	1.136790E-3	5.958830E+4
-1.717310E-1	1.137260E-3	5.952869E+4
-1.717310E-1	1.137500E-3	5.946867E+4
-1.717310E-1	1.137740E-3	5.940874E+4
-1.717230E-1	1.137980E-3	5.934871E+4
-1.717230E-1	1.138220E-3	5.928898E+4
-1.717230E-1	1.138460E-3	5.922940E+4
-1.717230E-1	1.138930E-3	5.916948E+4
-1.717310E-1	1.139170E-3	5.910957E+4
-1.717310E-1	1.139410E-3	5.904974E+4
-1.717390E-1	1.139890E-3	5.899006E+4
-1.717390E-1	1.140130E-3	5.893044E+4
-1.717390E-1	1.140360E-3	5.887065E+4
-1.717390E-1	1.140600E-3	5.881052E+4
-1.717390E-1	1.141080E-3	5.875081E+4
-1.717390E-1	1.141320E-3	5.869086E+4
-1.717390E-1	1.141560E-3	5.863093E+4
-1.717390E-1	1.141790E-3	5.857128E+4
-1.717390E-1	1.142030E-3	5.851129E+4
-1.717460E-1	1.142510E-3	5.845147E+4
-1.717460E-1	1.142750E-3	5.839187E+4
-1.717540E-1	1.143220E-3	5.833213E+4
-1.717460E-1	1.143700E-3	5.827225E+4
-1.717460E-1	1.143940E-3	5.821216E+4
-1.717310E-1	1.144420E-3	5.815230E+4
-1.717230E-1	1.144890E-3	5.809271E+4
-1.717230E-1	1.145370E-3	5.803274E+4
-1.717160E-1	1.145610E-3	5.797295E+4
-1.717160E-1	1.146090E-3	5.791309E+4
-1.717160E-1	1.146320E-3	5.785322E+4
-1.717160E-1	1.146560E-3	5.779339E+4
-1.717080E-1	1.147040E-3	5.773368E+4
-1.717080E-1	1.147280E-3	5.767381E+4
-1.717080E-1	1.147750E-3	5.761398E+4
-1.717080E-1	1.147750E-3	5.755423E+4
-1.717080E-1	1.148230E-3	5.749432E+4
-1.717080E-1	1.148470E-3	5.743449E+4
-1.717080E-1	1.148710E-3	5.737493E+4
-1.717080E-1	1.149190E-3	5.731500E+4
-1.717080E-1	1.149420E-3	5.725511E+4
-1.717080E-1	1.149900E-3	5.719529E+4
-1.717080E-1	1.150380E-3	5.713549E+4
-1.717000E-1	1.150620E-3	5.707559E+4
-1.717000E-1	1.151090E-3	5.701575E+4
-1.717000E-1	1.151330E-3	5.695604E+4
-1.717080E-1	1.151570E-3	5.689621E+4
-1.717000E-1	1.151810E-3	5.683637E+4
-1.717080E-1	1.152280E-3	5.677616E+4
-1.717080E-1	1.152760E-3	5.671641E+4
-1.717080E-1	1.153000E-3	5.665653E+4
-1.717080E-1	1.153480E-3	5.659662E+4
-1.717000E-1	1.153710E-3	5.653696E+4
-1.717000E-1	1.154190E-3	5.647698E+4
-1.717000E-1	1.154430E-3	5.641717E+4
-1.717000E-1	1.154670E-3	5.635739E+4
-1.717000E-1	1.154910E-3	5.629758E+4
-1.717000E-1	1.155150E-3	5.623777E+4
-1.717000E-1	1.155380E-3	5.617789E+4
-1.716930E-1	1.155860E-3	5.611804E+4
-1.716930E-1	1.156340E-3	5.605824E+4
-1.716930E-1	1.156580E-3	5.599846E+4
-1.716850E-1	1.156810E-3	5.593852E+4
-1.716850E-1	1.157050E-3	5.587876E+4
-1.716850E-1	1.157290E-3	5.581888E+4
-1.716850E-1	1.157530E-3	5.575912E+4
-1.716850E-1	1.158010E-3	5.569922E+4
-1.716850E-1	1.158240E-3	5.563949E+4
-1.716780E-1	1.158720E-3	5.557963E+4
-1.716780E-1	1.159200E-3	5.551980E+4
-1.716780E-1	1.159910E-3	5.545985E+4
-1.716780E-1	1.160150E-3	5.540021E+4
-1.716780E-1	1.160390E-3	5.534040E+4
-1.716780E-1	1.160870E-3	5.528046E+4
-1.716850E-1	1.161340E-3	5.522068E+4
-1.716850E-1	1.161580E-3	5.516094E+4
-1.716850E-1	1.162060E-3	5.510105E+4
-1.716850E-1	1.162300E-3	5.504130E+4
-1.716850E-1	1.162540E-3	5.498142E+4
-1.716850E-1	1.162770E-3	5.492153E+4
-1.716850E-1	1.163250E-3	5.486170E+4
-1.716850E-1	1.163490E-3	5.480191E+4
-1.716930E-1	1.163730E-3	5.474199E+4
-1.716930E-1	1.164210E-3	5.468227E+4
-1.716850E-1	1.164440E-3	5.462249E+4
-1.716850E-1	1.164920E-3	5.456259E+4
-1.716850E-1	1.165160E-3	5.450280E+4
-1.716850E-1	1.165400E-3	5.444305E+4
-1.716850E-1	1.165870E-3	5.438323E+4
-1.716850E-1	1.166110E-3	5.432334E+4
-1.716850E-1	1.166590E-3	5.426358E+4
-1.716850E-1	1.167070E-3	5.420372E+4
-1.716850E-1	1.167300E-3	5.414386E+4
-1.716780E-1	1.167540E-3	5.408397E+4
-1.716780E-1	1.167780E-3	5.402419E+4
-1.716780E-1	1.168020E-3	5.396434E+4
-1.716700E-1	1.168260E-3	5.390454E+4
-1.716700E-1	1.168500E-3	5.384475E+4
-1.716700E-1	1.168740E-3	5.378476E+4
-1.716620E-1	1.169210E-3	5.372506E+4
-1.716620E-1	1.169690E-3	5.366502E+4
-1.716700E-1	1.169930E-3	5.360520E+4
-1.716700E-1	1.170400E-3	5.354516E+4
-1.716700E-1	1.170880E-3	5.348546E+4
-1.716700E-1	1.171120E-3	5.342547E+4
-1.716700E-1	1.171600E-3	5.336571E+4
-1.716700E-1	1.171830E-3	5.330587E+4
-1.716780E-1	1.172310E-3	5.324593E+4
-1.716780E-1	1.172790E-3	5.318615E+4
-1.716780E-1	1.173030E-3	5.312637E+4
-1.716780E-1	1.173500E-3	5.306646E+4
-1.716780E-1	1.173740E-3	5.300669E+4
-1.716780E-1	1.174220E-3	5.294675E+4
-1.716700E-1	1.174220E-3	5.288704E+4
-1.716700E-1	1.174700E-3	5.282723E+4
-1.716700E-1	1.174930E-3	5.276751E+4
-1.716700E-1	1.175170E-3	5.270753E+4
-1.716700E-1	1.175410E-3	5.264773E+4
-1.716700E-1	1.175890E-3	5.258789E+4
-1.716700E-1	1.176130E-3	5.252818E+4
-1.716700E-1	1.176600E-3	5.246836E+4
-1.716700E-1	1.177080E-3	5.240845E+4
-1.716700E-1	1.177320E-3	5.234869E+4
-1.716700E-1	1.177560E-3	5.228877E+4
-1.716700E-1	1.178030E-3	5.222888E+4
-1.716780E-1	1.178510E-3	5.216922E+4
-1.716780E-1	1.178990E-3	5.210932E+4
-1.716780E-1	1.179230E-3	5.204957E+4
-1.716700E-1	1.179700E-3	5.198982E+4
-1.716700E-1	1.179700E-3	5.192989E+4
-1.716620E-1	1.180180E-3	5.187014E+4
-1.716620E-1	1.180420E-3	5.181033E+4
-1.716620E-1	1.180660E-3	5.175039E+4
-1.716550E-1	1.180890E-3	5.169060E+4
-1.716550E-1	1.181130E-3	5.163084E+4
-1.716550E-1	1.181370E-3	5.157091E+4
-1.716550E-1	1.181610E-3	5.151116E+4
-1.716550E-1	1.182090E-3	5.145124E+4
-1.716470E-1	1.182330E-3	5.139144E+4
-1.716470E-1	1.182800E-3	5.133163E+4
-1.716470E-1	1.183040E-3	5.127182E+4
-1.716550E-1	1.183520E-3	5.121202E+4
-1.716550E-1	1.183760E-3	5.115219E+4
-1.716550E-1	1.183990E-3	5.109239E+4
