d300	V1st300	V300	
0.000000E+0	6.212030E-4	1.564630E-5
4.096400E+0	6.150040E-4	1.555690E-5
7.820400E+0	5.596910E-4	1.534830E-5
1.191680E+1	4.516860E-4	1.519920E-5
1.601320E+1	3.135220E-4	1.543770E-5
2.048200E+1	1.682050E-4	1.615300E-5
2.457840E+1	4.172350E-5	1.746430E-5
2.830240E+1	-7.164520E-5	1.925240E-5
3.239880E+1	-1.720200E-4	2.148760E-5
3.649520E+1	-2.574940E-4	2.422940E-5
4.021920E+1	-3.297350E-4	2.762690E-5
4.431560E+1	-3.824250E-4	3.153110E-5
4.841200E+1	-4.158040E-4	3.585240E-5
5.250840E+1	-4.295130E-4	4.094860E-5
5.697720E+1	-4.199760E-4	4.652170E-5
6.070120E+1	-3.925580E-4	5.197550E-5
6.479760E+1	-3.514310E-4	5.745910E-5
6.889400E+1	-2.982640E-4	6.297280E-5
7.299040E+1	-2.335320E-4	6.854580E-5
7.671440E+1	-1.488930E-4	7.498310E-5
8.081080E+1	-4.541900E-5	8.213570E-5
8.490720E+1	7.188370E-5	8.958620E-5
8.900360E+1	2.000340E-4	9.730500E-5
9.310000E+1	3.315230E-4	1.050830E-4
9.719640E+1	4.763620E-4	1.134880E-4
1.012928E+2	6.158390E-4	1.215940E-4
1.053892E+2	7.576980E-4	1.299390E-4
1.094856E+2	8.903780E-4	1.380450E-4
1.132096E+2	1.012330E-3	1.458830E-4
1.173060E+2	1.124510E-3	1.535420E-4
1.214024E+2	1.231560E-3	1.615300E-4
1.258712E+2	1.322630E-3	1.692480E-4
1.299676E+2	1.398330E-3	1.768480E-4
1.340640E+2	1.448880E-3	1.834940E-4
1.381604E+2	1.481660E-3	1.899310E-4
1.422568E+2	1.493340E-3	1.959510E-4
1.459808E+2	1.485590E-3	2.017630E-4
1.500772E+2	1.459130E-3	2.068290E-4
1.541736E+2	1.410250E-3	2.117460E-4
1.582700E+2	1.344810E-3	2.160080E-4
1.619940E+2	1.264220E-3	2.198820E-4
1.660904E+2	1.168850E-3	2.233100E-4
1.701868E+2	1.059300E-3	2.263500E-4
1.742832E+2	9.292400E-4	2.291510E-4
1.783796E+2	7.979910E-4	2.313270E-4
1.821036E+2	6.609000E-4	2.329950E-4
1.862000E+2	5.110540E-4	2.343070E-4
1.902964E+2	3.657360E-4	2.350520E-4
1.943928E+2	2.205380E-4	2.354090E-4
1.981168E+2	8.332780E-5	2.352310E-4
2.022132E+2	-4.887600E-5	2.344860E-4
2.063096E+2	-1.753580E-4	2.331740E-4
2.100336E+2	-2.893230E-4	2.314460E-4
2.145024E+2	-3.864780E-4	2.291810E-4
2.182264E+2	-4.686140E-4	2.262900E-4
2.223228E+2	-5.359690E-4	2.227730E-4
2.264192E+2	-5.804340E-4	2.189590E-4
2.301432E+2	-6.072560E-4	2.144580E-4
2.346120E+2	-6.132160E-4	2.095110E-4
2.387084E+2	-5.971230E-4	2.039080E-4
2.428048E+2	-5.592150E-4	1.979480E-4
2.469012E+2	-5.003250E-4	1.917790E-4
2.509976E+2	-4.203340E-4	1.851030E-4
2.550940E+2	-3.259200E-4	1.784870E-4
2.591904E+2	-2.177960E-4	1.719010E-4
2.629144E+2	-9.191080E-5	1.648670E-4
2.670108E+2	4.506130E-5	1.578040E-4
2.711072E+2	1.888280E-4	1.507110E-4
2.752036E+2	3.398680E-4	1.435290E-4
2.793000E+2	4.924570E-4	1.363760E-4
2.830240E+2	6.427800E-4	1.293130E-4
2.871204E+2	7.954870E-4	1.220710E-4
2.908444E+2	9.437840E-4	1.146800E-4
2.949408E+2	1.084930E-3	1.074680E-4
2.990372E+2	1.222860E-3	1.000470E-4
3.031336E+2	1.343140E-3	9.280490E-5
3.072300E+2	1.449120E-3	8.550330E-5
3.113264E+2	1.532680E-3	7.879780E-5
3.150504E+2	1.598600E-3	7.230090E-5
3.191468E+2	1.644740E-3	6.613180E-5
3.232432E+2	1.673110E-3	5.960490E-5
3.273396E+2	1.678950E-3	5.394240E-5
3.314360E+2	1.661670E-3	4.828000E-5
3.355324E+2	1.621020E-3	4.291560E-5
3.396288E+2	1.563790E-3	3.841540E-5
3.437252E+2	1.488340E-3	3.427290E-5
3.478216E+2	1.396430E-3	3.060720E-5
3.519180E+2	1.284010E-3	2.726920E-5
3.560144E+2	1.155500E-3	2.431880E-5
3.600044E+2	1.029860E-3	2.217300E-5
