d900	V1st900	V900	
0.000000E+0	8.902590E-4	-2.020010E-4
4.096400E+0	8.840600E-4	-2.021500E-4
8.192800E+0	8.297000E-4	-2.024780E-4
1.191680E+1	7.237230E-4	-2.024480E-4
1.601320E+1	5.891360E-4	-2.012560E-4
2.010960E+1	4.519240E-4	-1.988120E-4
2.420600E+1	3.237740E-4	-1.950570E-4
2.830240E+1	2.022990E-4	-1.898420E-4
3.239880E+1	9.799050E-5	-1.836130E-4
3.612280E+1	7.510210E-6	-1.762820E-4
4.021920E+1	-7.510230E-5	-1.669830E-4
4.431560E+1	-1.455550E-4	-1.554800E-4
4.841200E+1	-1.951470E-4	-1.429920E-4
5.250840E+1	-2.224450E-4	-1.302670E-4
5.697720E+1	-2.311480E-4	-1.156040E-4
6.070120E+1	-2.211340E-4	-1.002550E-4
6.479760E+1	-1.986040E-4	-8.633780E-5
6.889400E+1	-1.651060E-4	-7.265850E-5
7.299040E+1	-1.153950E-4	-5.722070E-5
7.708680E+1	-4.816080E-5	-3.981610E-5
8.118320E+1	4.243870E-5	-1.919280E-5
8.527960E+1	1.355420E-4	5.960510E-8
8.937600E+1	2.404460E-4	2.053390E-5
9.347240E+1	3.491660E-4	4.088900E-5
9.719640E+1	4.616990E-4	6.166150E-5
1.012928E+2	5.803150E-4	8.368540E-5
1.053892E+2	6.964240E-4	1.057090E-4
1.094856E+2	8.117000E-4	1.286580E-4
1.135820E+2	9.145770E-4	1.505320E-4
1.176784E+2	1.006490E-3	1.720200E-4
1.214024E+2	1.084340E-3	1.924640E-4
1.254988E+2	1.150850E-3	2.128190E-4
1.292228E+2	1.203540E-3	2.329950E-4
1.333192E+2	1.240740E-3	2.526660E-4
1.374156E+2	1.261240E-3	2.723950E-4
1.411396E+2	1.263860E-3	2.907240E-4
1.452360E+2	1.249080E-3	3.087240E-4
1.489600E+2	1.216420E-3	3.253540E-4
1.530564E+2	1.166110E-3	3.408510E-4
1.571528E+2	1.094590E-3	3.560500E-4
1.612492E+2	1.010900E-3	3.691630E-4
1.653456E+2	9.138620E-4	3.807560E-4
1.690696E+2	8.062160E-4	3.907400E-4
1.731660E+2	6.855760E-4	3.994130E-4
1.772624E+2	5.506310E-4	4.069230E-4
1.813588E+2	4.156850E-4	4.124360E-4
1.854552E+2	2.641700E-4	4.166680E-4
1.895516E+2	1.217130E-4	4.188740E-4
1.932756E+2	-1.394750E-5	4.194400E-4
1.973720E+2	-1.450790E-4	4.183970E-4
2.010960E+2	-2.707260E-4	4.156850E-4
2.051924E+2	-3.892200E-4	4.113930E-4
2.092888E+2	-4.971060E-4	4.055220E-4
2.133852E+2	-5.871090E-4	3.982200E-4
2.174816E+2	-6.662640E-4	3.887730E-4
2.215780E+2	-7.233660E-4	3.787000E-4
2.256744E+2	-7.622280E-4	3.667490E-4
2.297708E+2	-7.805860E-4	3.534280E-4
2.338672E+2	-7.771290E-4	3.385260E-4
2.379636E+2	-7.530490E-4	3.234760E-4
2.416876E+2	-7.070340E-4	3.067870E-4
2.461564E+2	-6.426610E-4	2.898590E-4
2.498804E+2	-5.593340E-4	2.720670E-4
2.539768E+2	-4.593150E-4	2.537980E-4
2.580732E+2	-3.392720E-4	2.343660E-4
2.617972E+2	-2.069480E-4	2.148460E-4
2.658936E+2	-6.055860E-5	1.946700E-4
2.699900E+2	8.523510E-5	1.754770E-4
2.737140E+2	2.524870E-4	1.544370E-4
2.778104E+2	4.152080E-4	1.342010E-4
2.822792E+2	5.902090E-4	1.126230E-4
2.863756E+2	7.629430E-4	9.128500E-5
2.904720E+2	9.241140E-4	7.101940E-5
2.941960E+2	1.079450E-3	5.075360E-5
2.982924E+2	1.227270E-3	3.054760E-5
3.023888E+2	1.361740E-3	1.066930E-5
3.061128E+2	1.479040E-3	-8.225500E-6
3.102092E+2	1.584540E-3	-2.726920E-5
3.143056E+2	1.672750E-3	-4.610440E-5
3.184020E+2	1.738440E-3	-6.344960E-5
3.221260E+2	1.784930E-3	-8.025810E-5
3.265948E+2	1.812700E-3	-9.745410E-5
3.303188E+2	1.816400E-3	-1.132490E-4
3.347876E+2	1.798520E-3	-1.277040E-4
3.388840E+2	1.756560E-3	-1.418300E-4
3.429804E+2	1.700290E-3	-1.535420E-4
3.467044E+2	1.627100E-3	-1.641520E-4
3.511732E+2	1.524930E-3	-1.746720E-4
3.552696E+2	1.411210E-3	-1.831960E-4
3.593660E+2	1.298320E-3	-1.893350E-4
3.600044E+2	1.175290E-3	-1.944610E-4
