d500	V1st500	V500	
3.724000E-1	7.081070E-4	-5.713130E-5
4.096400E+0	7.029810E-4	-5.722070E-5
8.192800E+0	6.481450E-4	-5.742930E-5
1.228920E+1	5.393070E-4	-5.739950E-5
1.601320E+1	4.069820E-4	-5.686310E-5
2.010960E+1	2.682230E-4	-5.549220E-5
2.420600E+1	1.401910E-4	-5.343580E-5
2.793000E+1	2.491490E-5	-5.060460E-5
3.202640E+1	-8.094360E-5	-4.693890E-5
3.612280E+1	-1.692780E-4	-4.270700E-5
4.021920E+1	-2.472420E-4	-3.725310E-5
4.431560E+1	-3.070850E-4	-3.084560E-5
4.841200E+1	-3.477350E-4	-2.366320E-5
5.250840E+1	-3.658550E-4	-1.651060E-5
5.623240E+1	-3.647820E-4	-8.553320E-6
6.070120E+1	-3.438010E-4	6.258520E-7
6.442520E+1	-3.099460E-4	9.149370E-6
6.852160E+1	-2.663150E-4	1.728550E-5
7.261800E+1	-2.083790E-4	2.592810E-5
7.634200E+1	-1.304160E-4	3.585240E-5
8.043840E+1	-3.170990E-5	4.726670E-5
8.453480E+1	7.796330E-5	5.906840E-5
8.863120E+1	1.950270E-4	7.101940E-5
9.235520E+1	3.192440E-4	8.317870E-5
9.645160E+1	4.467980E-4	9.539770E-5
1.005480E+2	5.836520E-4	1.086900E-4
1.046444E+2	7.151400E-4	1.215340E-4
1.087408E+2	8.450780E-4	1.347670E-4
1.124648E+2	9.625000E-4	1.473140E-4
1.165612E+2	1.069200E-3	1.594730E-4
1.202852E+2	1.163730E-3	1.712450E-4
1.243816E+2	1.249560E-3	1.834340E-4
1.284780E+2	1.318220E-3	1.951760E-4
1.322020E+2	1.371150E-3	2.064120E-4
1.362984E+2	1.407030E-3	2.174390E-4
1.403948E+2	1.424080E-3	2.278990E-4
1.444912E+2	1.421940E-3	2.388670E-4
1.485876E+2	1.400120E-3	2.484940E-4
1.523116E+2	1.359830E-3	2.573150E-4
1.564080E+2	1.298910E-3	2.657490E-4
1.605044E+2	1.216780E-3	2.737060E-4
1.646008E+2	1.125940E-3	2.802630E-4
1.686972E+2	1.018170E-3	2.861340E-4
1.724212E+2	9.000340E-4	2.911110E-4
1.765176E+2	7.718840E-4	2.953130E-4
1.806140E+2	6.295480E-4	2.987400E-4
1.847104E+2	4.797000E-4	3.012140E-4
1.888068E+2	3.322380E-4	3.026440E-4
1.929032E+2	1.832260E-4	3.031210E-4
1.969996E+2	4.458450E-5	3.026150E-4
2.007236E+2	-8.773850E-5	3.012440E-4
2.051924E+2	-2.287640E-4	2.986210E-4
2.092888E+2	-3.427290E-4	2.954020E-4
2.133852E+2	-4.404800E-4	2.913790E-4
2.171092E+2	-5.251210E-4	2.864620E-4
2.212056E+2	-5.922350E-4	2.808290E-4
2.253020E+2	-6.398000E-4	2.744220E-4
2.293984E+2	-6.704370E-4	2.665840E-4
2.334948E+2	-6.781850E-4	2.583580E-4
2.375912E+2	-6.642380E-4	2.498650E-4
2.416876E+2	-6.295480E-4	2.409230E-4
2.454116E+2	-5.743540E-4	2.312970E-4
2.495080E+2	-4.978220E-4	2.208960E-4
2.536044E+2	-4.075780E-4	2.106440E-4
2.573284E+2	-3.019590E-4	2.001240E-4
2.614248E+2	-1.745230E-4	1.885900E-4
2.655212E+2	-3.170990E-5	1.764900E-4
2.696176E+2	1.089580E-4	1.652550E-4
2.733416E+2	2.576130E-4	1.537210E-4
2.774380E+2	4.144930E-4	1.418600E-4
2.811620E+2	5.707780E-4	1.300580E-4
2.856308E+2	7.370750E-4	1.173920E-4
2.893548E+2	8.920470E-4	1.054710E-4
2.934512E+2	1.043570E-3	9.328170E-5
2.975476E+2	1.189840E-3	8.085420E-5
3.016440E+2	1.323830E-3	6.854580E-5
3.057404E+2	1.439940E-3	5.671410E-5
3.098368E+2	1.538280E-3	4.524020E-5
3.139332E+2	1.614700E-3	3.466030E-5
3.180296E+2	1.676920E-3	2.360360E-5
3.221260E+2	1.716620E-3	1.311310E-5
3.262224E+2	1.732360E-3	3.486890E-6
3.303188E+2	1.727110E-3	-5.543260E-6
3.340428E+2	1.701720E-3	-1.391770E-5
3.385116E+2	1.651410E-3	-2.211340E-5
3.422356E+2	1.582150E-3	-2.935540E-5
3.467044E+2	1.495730E-3	-3.573320E-5
3.508008E+2	1.390110E-3	-4.151490E-5
3.548972E+2	1.276980E-3	-4.622360E-5
3.586212E+2	1.147990E-3	-5.021710E-5
3.600044E+2	1.018050E-3	-5.319740E-5
