d-300	V1st-300	V-300	
3.724000E-1	3.426090E-4	2.280780E-4
4.468800E+0	3.356950E-4	2.280780E-4
8.565200E+0	2.737060E-4	2.281080E-4
1.266160E+1	1.583110E-4	2.279290E-4
1.638560E+1	2.372280E-5	2.272730E-4
2.048200E+1	-1.033550E-4	2.263500E-4
2.457840E+1	-2.231610E-4	2.248590E-4
2.867480E+1	-3.341460E-4	2.227730E-4
3.277120E+1	-4.272480E-4	2.202400E-4
3.649520E+1	-5.011600E-4	2.174090E-4
4.059160E+1	-5.627910E-4	2.137730E-4
4.468800E+1	-6.036800E-4	2.097790E-4
4.878440E+1	-6.228720E-4	2.054280E-4
5.250840E+1	-6.219190E-4	2.008690E-4
5.660480E+1	-6.002220E-4	1.958320E-4
6.107360E+1	-5.548040E-4	1.899010E-4
6.517000E+1	-4.959140E-4	1.844180E-4
6.926640E+1	-4.340430E-4	1.797690E-4
7.299040E+1	-3.542920E-4	1.744940E-4
7.708680E+1	-2.517720E-4	1.683840E-4
8.081080E+1	-1.331580E-4	1.619470E-4
8.490720E+1	-1.072890E-6	1.552410E-4
8.900360E+1	1.422180E-4	1.482080E-4
9.310000E+1	2.989790E-4	1.408470E-4
9.719640E+1	4.590770E-4	1.333960E-4
1.012928E+2	6.154810E-4	1.261540E-4
1.050168E+2	7.718840E-4	1.187330E-4
1.094856E+2	9.300750E-4	1.111040E-4
1.132096E+2	1.069550E-3	1.038910E-4
1.173060E+2	1.200330E-3	9.676860E-5
1.214024E+2	1.314530E-3	9.009290E-5
1.251264E+2	1.416330E-3	8.332780E-5
1.288504E+2	1.505140E-3	7.650300E-5
1.333192E+2	1.578460E-3	6.973790E-5
1.374156E+2	1.629720E-3	6.336020E-5
1.415120E+2	1.659640E-3	5.731010E-5
1.452360E+2	1.669650E-3	5.161790E-5
1.493324E+2	1.658800E-3	4.592560E-5
1.534288E+2	1.625660E-3	4.050160E-5
1.575252E+2	1.573450E-3	3.576300E-5
1.616216E+2	1.503950E-3	3.150130E-5
1.657180E+2	1.415260E-3	2.765670E-5
1.694420E+2	1.315010E-3	2.425920E-5
1.739108E+2	1.185190E-3	2.080210E-5
1.780072E+2	1.050720E-3	1.809010E-5
1.821036E+2	9.169620E-4	1.597420E-5
1.862000E+2	7.758180E-4	1.439460E-5
1.902964E+2	6.244220E-4	1.329190E-5
1.940204E+2	4.802960E-4	1.275550E-5
1.981168E+2	3.362910E-4	1.266600E-5
2.022132E+2	1.962190E-4	1.317270E-5
2.063096E+2	6.711530E-5	1.424560E-5
2.104060E+2	-5.280990E-5	1.576550E-5
2.145024E+2	-1.574760E-4	1.785170E-5
2.185988E+2	-2.545140E-4	2.062330E-5
2.226952E+2	-3.256820E-4	2.360360E-5
2.264192E+2	-3.807560E-4	2.717980E-5
2.305156E+2	-4.186650E-4	3.129270E-5
2.346120E+2	-4.352350E-4	3.585240E-5
2.383360E+2	-4.340430E-4	4.071020E-5
2.424324E+2	-4.115120E-4	4.634280E-5
2.465288E+2	-3.695510E-4	5.218410E-5
2.506252E+2	-3.086350E-4	5.850220E-5
2.547216E+2	-2.340090E-4	6.493970E-5
2.584456E+2	-1.442440E-4	7.158560E-5
2.625420E+2	-2.920640E-5	7.924480E-5
2.666384E+2	8.976510E-5	8.663580E-5
2.711072E+2	2.156510E-4	9.411620E-5
2.748312E+2	3.459470E-4	1.017160E-4
2.789276E+2	4.874490E-4	1.098520E-4
2.830240E+2	6.243030E-4	1.177490E-4
2.871204E+2	7.574600E-4	1.254990E-4
2.912168E+2	8.959810E-4	1.337540E-4
2.953132E+2	1.023780E-3	1.418600E-4
2.994096E+2	1.139770E-3	1.496680E-4
3.035060E+2	1.240500E-3	1.571490E-4
3.076024E+2	1.323710E-3	1.643010E-4
3.113264E+2	1.392490E-3	1.713050E-4
3.154228E+2	1.443390E-3	1.781290E-4
3.195192E+2	1.474270E-3	1.844770E-4
3.236156E+2	1.486070E-3	1.912420E-4
3.277120E+2	1.475700E-3	1.970840E-4
3.318084E+2	1.445300E-3	2.024180E-4
3.359048E+2	1.395710E-3	2.073650E-4
3.396288E+2	1.327880E-3	2.119250E-4
3.437252E+2	1.243600E-3	2.160380E-4
3.478216E+2	1.145490E-3	2.195840E-4
3.519180E+2	1.022820E-3	2.229220E-4
3.560144E+2	9.000340E-4	2.255150E-4
3.597384E+2	7.725990E-4	2.275120E-4
3.600044E+2	6.325280E-4	2.290910E-4
