d-100	V1st-100	V-100	
3.724000E-1	4.388110E-4	1.607840E-4
4.468800E+0	4.290360E-4	1.608440E-4
8.565200E+0	3.674050E-4	1.609330E-4
1.266160E+1	2.479570E-4	1.609330E-4
1.675800E+1	1.184940E-4	1.607550E-4
2.048200E+1	-1.215940E-5	1.604860E-4
2.495080E+1	-1.329190E-4	1.599500E-4
2.867480E+1	-2.436650E-4	1.592650E-4
3.314360E+1	-3.391520E-4	1.583700E-4
3.686760E+1	-4.164000E-4	1.573870E-4
4.133640E+1	-4.761240E-4	1.562840E-4
4.506040E+1	-5.168950E-4	1.549730E-4
4.915680E+1	-5.370420E-4	1.535130E-4
5.325320E+1	-5.375180E-4	1.519930E-4
5.697720E+1	-5.183260E-4	1.504130E-4
6.107360E+1	-4.797000E-4	1.487150E-4
6.517000E+1	-4.252210E-4	1.469560E-4
6.926640E+1	-3.604910E-4	1.454060E-4
7.336280E+1	-2.836010E-4	1.437670E-4
7.745920E+1	-1.865630E-4	1.419490E-4
8.155560E+1	-7.236050E-5	1.399530E-4
8.527960E+1	5.018730E-5	1.378960E-4
8.937600E+1	1.862060E-4	1.357210E-4
9.347240E+1	3.246090E-4	1.335150E-4
9.719640E+1	4.692100E-4	1.312500E-4
1.012928E+2	6.183420E-4	1.289260E-4
1.050168E+2	7.659230E-4	1.265120E-4
1.091132E+2	9.106430E-4	1.241280E-4
1.132096E+2	1.046780E-3	1.216830E-4
1.173060E+2	1.166110E-3	1.192990E-4
1.210300E+2	1.274590E-3	1.169150E-4
1.251264E+2	1.371630E-3	1.143820E-4
1.292228E+2	1.454240E-3	1.119980E-4
1.333192E+2	1.519090E-3	1.095840E-4
1.374156E+2	1.563080E-3	1.073190E-4
1.411396E+2	1.589190E-3	1.050240E-4
1.452360E+2	1.595150E-3	1.027890E-4
1.493324E+2	1.580480E-3	1.006430E-4
1.538012E+2	1.541620E-3	9.849710E-5
1.575252E+2	1.486190E-3	9.667920E-5
1.616216E+2	1.413000E-3	9.492090E-5
1.660904E+2	1.316670E-3	9.328170E-5
1.701868E+2	1.210820E-3	9.197040E-5
1.739108E+2	1.095060E-3	9.086770E-5
1.780072E+2	9.666720E-4	8.991410E-5
1.821036E+2	8.344690E-4	8.925840E-5
1.858276E+2	6.948750E-4	8.872200E-5
1.899240E+2	5.480090E-4	8.848360E-5
1.940204E+2	4.040020E-4	8.845380E-5
1.977444E+2	2.671500E-4	8.863260E-5
2.018408E+2	1.267200E-4	8.904980E-5
2.059372E+2	8.344690E-7	8.967570E-5
2.100336E+2	-1.169450E-4	9.048030E-5
2.141300E+2	-2.187500E-4	9.143400E-5
2.182264E+2	-3.087540E-4	9.256650E-5
2.223228E+2	-3.765840E-4	9.369900E-5
2.260468E+2	-4.272480E-4	9.506990E-5
2.301432E+2	-4.621760E-4	9.658980E-5
2.346120E+2	-4.764810E-4	9.837790E-5
2.387084E+2	-4.688520E-4	9.998730E-5
2.424324E+2	-4.422680E-4	1.017160E-4
2.469012E+2	-3.922000E-4	1.038020E-4
2.506252E+2	-3.284230E-4	1.059180E-4
2.547216E+2	-2.460500E-4	1.082720E-4
2.588180E+2	-1.494890E-4	1.105370E-4
2.625420E+2	-3.910090E-5	1.129810E-4
2.670108E+2	8.583120E-5	1.156330E-4
2.707348E+2	2.118360E-4	1.181670E-4
2.748312E+2	3.449940E-4	1.208490E-4
2.789276E+2	4.853030E-4	1.235320E-4
2.826516E+2	6.336010E-4	1.263030E-4
2.871204E+2	7.715260E-4	1.290450E-4
2.912168E+2	9.110010E-4	1.318460E-4
2.953132E+2	1.053460E-3	1.347970E-4
2.997820E+2	1.169690E-3	1.373300E-4
3.035060E+2	1.270420E-3	1.397440E-4
3.076024E+2	1.361500E-3	1.423370E-4
3.116988E+2	1.432190E-3	1.446020E-4
3.154228E+2	1.484880E-3	1.466880E-4
3.195192E+2	1.522430E-3	1.490130E-4
3.236156E+2	1.537090E-3	1.509790E-4
3.277120E+2	1.532320E-3	1.528570E-4
3.318084E+2	1.506460E-3	1.546450E-4
3.355324E+2	1.462590E-3	1.563140E-4
3.396288E+2	1.399640E-3	1.578040E-4
3.437252E+2	1.315960E-3	1.592350E-4
3.478216E+2	1.218920E-3	1.603970E-4
3.519180E+2	1.109850E-3	1.614400E-4
3.556420E+2	9.903980E-4	1.623640E-4
3.597384E+2	8.622450E-4	1.629600E-4
3.600044E+2	7.282530E-4	1.634370E-4
