d-500	V1st-500	V-500	
3.724000E-1	2.511760E-4	2.940610E-4
4.096400E+0	2.443810E-4	2.939420E-4
8.192800E+0	1.884710E-4	2.938830E-4
1.228920E+1	8.070520E-5	2.935250E-4
1.601320E+1	-4.708790E-5	2.923630E-4
2.048200E+1	-1.817950E-4	2.902760E-4
2.420600E+1	-3.020780E-4	2.874450E-4
2.830240E+1	-4.088900E-4	2.838090E-4
3.239880E+1	-5.003250E-4	2.793990E-4
3.649520E+1	-5.797190E-4	2.738260E-4
4.059160E+1	-6.376540E-4	2.675370E-4
4.468800E+1	-6.759200E-4	2.603850E-4
4.878440E+1	-6.922520E-4	2.528750E-4
5.250840E+1	-6.883180E-4	2.449470E-4
5.660480E+1	-6.636420E-4	2.364530E-4
6.070120E+1	-6.170310E-4	2.271240E-4
6.442520E+1	-5.598110E-4	2.185120E-4
6.852160E+1	-4.949610E-4	2.103760E-4
7.261800E+1	-4.147310E-4	2.016140E-4
7.634200E+1	-3.031510E-4	1.907360E-4
8.081080E+1	-1.729740E-4	1.794110E-4
8.490720E+1	-3.075620E-5	1.676390E-4
8.900360E+1	1.162300E-4	1.561050E-4
9.272760E+1	2.681040E-4	1.445420E-4
9.682400E+1	4.261750E-4	1.327110E-4
1.005480E+2	5.872290E-4	1.206700E-4
1.046444E+2	7.479230E-4	1.085700E-4
1.083684E+2	9.086170E-4	9.623220E-5
1.128372E+2	1.062640E-3	8.392380E-5
1.169336E+2	1.204970E-3	7.191350E-5
1.210300E+2	1.327520E-3	6.061820E-5
1.247540E+2	1.435410E-3	4.959130E-5
1.288504E+2	1.532680E-3	3.820680E-5
1.329468E+2	1.608620E-3	2.762690E-5
1.370432E+2	1.668700E-3	1.695760E-5
1.411396E+2	1.706250E-3	6.794960E-6
1.452360E+2	1.721150E-3	-2.920640E-6
1.493324E+2	1.715070E-3	-1.204020E-5
1.534288E+2	1.688130E-3	-2.023590E-5
1.571528E+2	1.640920E-3	-2.786530E-5
1.612492E+2	1.575950E-3	-3.483910E-5
1.653456E+2	1.494530E-3	-4.106780E-5
1.694420E+2	1.399050E-3	-4.640240E-5
1.731660E+2	1.289380E-3	-5.114100E-5
1.772624E+2	1.163130E-3	-5.528350E-5
1.813588E+2	1.031530E-3	-5.850220E-5
1.850828E+2	8.935970E-4	-6.097580E-5
1.895516E+2	7.365980E-4	-6.273440E-5
1.932756E+2	5.946200E-4	-6.344960E-5
1.977444E+2	4.410760E-4	-6.330060E-5
2.014684E+2	3.044620E-4	-6.240650E-5
2.055648E+2	1.713050E-4	-6.061820E-5
2.092888E+2	5.435970E-5	-5.820420E-5
2.133852E+2	-5.745910E-5	-5.471730E-5
2.174816E+2	-1.561650E-4	-5.036620E-5
2.215780E+2	-2.357970E-4	-4.538920E-5
2.256744E+2	-2.993360E-4	-3.972670E-5
2.293984E+2	-3.441590E-4	-3.334900E-5
2.334948E+2	-3.711000E-4	-2.616660E-5
2.375912E+2	-3.787300E-4	-1.809010E-5
2.416876E+2	-3.654980E-4	-9.507000E-6
2.457840E+2	-3.323570E-4	-5.960510E-8
2.498804E+2	-2.822890E-4	9.715620E-6
2.536044E+2	-2.186310E-4	1.958020E-5
2.577008E+2	-1.350650E-4	3.051780E-5
2.617972E+2	-3.874330E-5	4.175330E-5
2.655212E+2	6.735370E-5	5.316760E-5
2.696176E+2	1.881130E-4	6.541660E-5
2.737140E+2	3.107800E-4	7.730770E-5
2.778104E+2	4.441760E-4	9.015250E-5
2.819068E+2	5.708970E-4	1.023120E-4
2.860032E+2	7.038150E-4	1.152760E-4
2.900996E+2	8.362570E-4	1.286870E-4
2.941960E+2	9.579700E-4	1.417110E-4
2.982924E+2	1.067880E-3	1.541980E-4
3.020164E+2	1.163850E-3	1.661790E-4
3.064852E+2	1.255160E-3	1.794110E-4
3.102092E+2	1.323950E-3	1.915110E-4
3.143056E+2	1.371630E-3	2.024480E-4
3.184020E+2	1.402620E-3	2.133560E-4
3.224984E+2	1.414070E-3	2.238760E-4
3.265948E+2	1.406200E-3	2.338900E-4
3.303188E+2	1.379380E-3	2.429490E-4
3.344152E+2	1.332890E-3	2.515330E-4
3.381392E+2	1.268630E-3	2.594010E-4
3.422356E+2	1.186500E-3	2.666730E-4
3.463320E+2	1.089820E-3	2.729320E-4
3.504284E+2	9.775240E-4	2.785050E-4
3.545248E+2	8.479390E-4	2.833920E-4
3.586212E+2	7.215780E-4	2.872070E-4
3.600044E+2	5.850830E-4	2.902170E-4
