d700	V1st700	V700	
3.724000E-1	7.994210E-4	-1.308930E-4
4.096400E+0	7.935800E-4	-1.310420E-4
8.192800E+0	7.392210E-4	-1.313700E-4
1.191680E+1	6.319320E-4	-1.313100E-4
1.601320E+1	4.985370E-4	-1.305050E-4
2.010960E+1	3.560800E-4	-1.285380E-4
2.420600E+1	2.294790E-4	-1.256480E-4
2.830240E+1	1.039510E-4	-1.212960E-4
3.239880E+1	-2.384200E-7	-1.163190E-4
3.649520E+1	-9.107640E-5	-1.102090E-4
4.059160E+1	-1.676090E-4	-1.029380E-4
4.431560E+1	-2.293600E-4	-9.429500E-5
4.841200E+1	-2.727530E-4	-8.484770E-5
5.250840E+1	-2.958790E-4	-7.459570E-5
5.623240E+1	-2.998130E-4	-6.324100E-5
6.032880E+1	-2.863430E-4	-5.170730E-5
6.442520E+1	-2.590440E-4	-4.059100E-5
6.852160E+1	-2.205380E-4	-2.947460E-5
7.261800E+1	-1.653440E-4	-1.698740E-5
7.671440E+1	-8.761930E-5	-2.145780E-6
8.081080E+1	5.960500E-7	1.287470E-5
8.453480E+1	9.870580E-5	2.816330E-5
8.863120E+1	2.073060E-4	4.395870E-5
9.235520E+1	3.217480E-4	6.014130E-5
9.682400E+1	4.533550E-4	7.844020E-5
1.009204E+2	5.803150E-4	9.614280E-5
1.050168E+2	7.079880E-4	1.143220E-4
1.091132E+2	8.294620E-4	1.324720E-4
1.128372E+2	9.450950E-4	1.506220E-4
1.173060E+2	1.042730E-3	1.671030E-4
1.210300E+2	1.129750E-3	1.833150E-4
1.251264E+2	1.205930E-3	2.001240E-4
1.288504E+2	1.265890E-3	2.161570E-4
1.329468E+2	1.310950E-3	2.322210E-4
1.370432E+2	1.338010E-3	2.473610E-4
1.411396E+2	1.347310E-3	2.622320E-4
1.452360E+2	1.336820E-3	2.767760E-4
1.493324E+2	1.306060E-3	2.906940E-4
1.538012E+2	1.251350E-3	3.041050E-4
1.575252E+2	1.180540E-3	3.156380E-4
1.616216E+2	1.096970E-3	3.256520E-4
1.657180E+2	1.001840E-3	3.343540E-4
1.694420E+2	8.928810E-4	3.420730E-4
1.735384E+2	7.679500E-4	3.489270E-4
1.776348E+2	6.392040E-4	3.543510E-4
1.813588E+2	5.035440E-4	3.586430E-4
1.854552E+2	3.631130E-4	3.617420E-4
1.895516E+2	2.096900E-4	3.636800E-4
1.936480E+2	6.485030E-5	3.641860E-4
1.977444E+2	-6.890340E-5	3.634110E-4
2.014684E+2	-1.975310E-4	3.613550E-4
2.055648E+2	-3.219860E-4	3.578380E-4
2.096612E+2	-4.264130E-4	3.535170E-4
2.137576E+2	-5.254780E-4	3.474080E-4
2.178540E+2	-6.107130E-4	3.396290E-4
2.223228E+2	-6.706750E-4	3.315530E-4
2.264192E+2	-7.112060E-4	3.220460E-4
2.305156E+2	-7.307570E-4	3.113470E-4
2.346120E+2	-7.278960E-4	2.998130E-4
2.383360E+2	-7.052460E-4	2.879220E-4
2.424324E+2	-6.613770E-4	2.751070E-4
2.465288E+2	-5.966460E-4	2.613680E-4
2.506252E+2	-5.114120E-4	2.469440E-4
2.547216E+2	-4.085320E-4	2.318930E-4
2.588180E+2	-2.911110E-4	2.166940E-4
2.625420E+2	-1.581920E-4	2.009280E-4
2.666384E+2	-1.645100E-5	1.851930E-4
2.707348E+2	1.374490E-4	1.688010E-4
2.748312E+2	3.005280E-4	1.519330E-4
2.789276E+2	4.616990E-4	1.356010E-4
2.826516E+2	6.213230E-4	1.195670E-4
2.867480E+2	7.811820E-4	1.033250E-4
2.908444E+2	9.385380E-4	8.699340E-5
2.945684E+2	1.102220E-3	6.926110E-5
2.990372E+2	1.246340E-3	5.275030E-5
3.027612E+2	1.374610E-3	3.680610E-5
3.068576E+2	1.489290E-3	2.098100E-5
3.109540E+2	1.586560E-3	5.841280E-6
3.146780E+2	1.664410E-3	-8.791740E-6
3.187744E+2	1.721990E-3	-2.273930E-5
3.228708E+2	1.760610E-3	-3.618030E-5
3.269672E+2	1.778850E-3	-4.929330E-5
3.314360E+2	1.773010E-3	-6.288340E-5
3.355324E+2	1.745110E-3	-7.423810E-5
3.392564E+2	1.698020E-3	-8.434100E-5
3.433528E+2	1.632940E-3	-9.346050E-5
3.474492E+2	1.551750E-3	-1.015670E-4
3.511732E+2	1.446730E-3	-1.093150E-4
3.556420E+2	1.327280E-3	-1.158120E-4
3.597384E+2	1.207000E-3	-1.207000E-4
3.600044E+2	1.080160E-3	-1.244550E-4
