d-700	V1st-700	V-700	
3.724000E-1	1.546150E-4	3.529810E-4
4.096400E+0	1.493700E-4	3.530400E-4
8.192800E+0	9.203000E-5	3.531000E-4
1.228920E+1	-1.823910E-5	3.526230E-4
1.638560E+1	-1.568800E-4	3.509540E-4
2.048200E+1	-2.794280E-4	3.482120E-4
2.457840E+1	-3.937500E-4	3.441290E-4
2.830240E+1	-4.947220E-4	3.390030E-4
3.239880E+1	-5.801950E-4	3.328340E-4
3.649520E+1	-6.519590E-4	3.253240E-4
4.021920E+1	-7.041730E-4	3.168300E-4
4.468800E+1	-7.412470E-4	3.060720E-4
4.878440E+1	-7.541220E-4	2.949850E-4
5.288080E+1	-7.438700E-4	2.831240E-4
5.697720E+1	-7.135910E-4	2.710840E-4
6.070120E+1	-6.653110E-4	2.585070E-4
6.479760E+1	-6.017720E-4	2.457220E-4
6.889400E+1	-5.328690E-4	2.342470E-4
7.261800E+1	-4.445330E-4	2.214620E-4
7.671440E+1	-3.350990E-4	2.073360E-4
8.081080E+1	-2.024180E-4	1.915110E-4
8.490720E+1	-5.936650E-5	1.757450E-4
8.900360E+1	9.381820E-5	1.597120E-4
9.310000E+1	2.573750E-4	1.431120E-4
9.719640E+1	4.192610E-4	1.270180E-4
1.012928E+2	6.008190E-4	1.091960E-4
1.053892E+2	7.677120E-4	9.265590E-5
1.091132E+2	9.269750E-4	7.638380E-5
1.132096E+2	1.084220E-3	5.975390E-5
1.173060E+2	1.222620E-3	4.428650E-5
1.214024E+2	1.353510E-3	2.846130E-5
1.254988E+2	1.464730E-3	1.367930E-5
1.292228E+2	1.560460E-3	-8.642710E-7
1.333192E+2	1.641160E-3	-1.540790E-5
1.374156E+2	1.702550E-3	-2.941500E-5
1.411396E+2	1.742850E-3	-4.240890E-5
1.456084E+2	1.764300E-3	-5.635640E-5
1.497048E+2	1.761320E-3	-6.893320E-5
1.538012E+2	1.738320E-3	-7.966210E-5
1.575252E+2	1.694930E-3	-8.994390E-5
1.616216E+2	1.633060E-3	-9.930180E-5
1.657180E+2	1.554500E-3	-1.075570E-4
1.694420E+2	1.461630E-3	-1.147390E-4
1.735384E+2	1.348980E-3	-1.212960E-4
1.776348E+2	1.231680E-3	-1.265420E-4
1.813588E+2	1.104240E-3	-1.308030E-4
1.854552E+2	9.660760E-4	-1.340520E-4
1.895516E+2	8.202830E-4	-1.361680E-4
1.936480E+2	6.731790E-4	-1.371210E-4
1.977444E+2	5.284590E-4	-1.368830E-4
2.018408E+2	3.856440E-4	-1.354520E-4
2.055648E+2	2.542750E-4	-1.328600E-4
2.100336E+2	1.264820E-4	-1.289560E-4
2.141300E+2	1.788150E-5	-1.240980E-4
2.182264E+2	-8.535430E-5	-1.177490E-4
2.223228E+2	-1.646290E-4	-1.109550E-4
2.260468E+2	-2.279290E-4	-1.030270E-4
2.301432E+2	-2.740640E-4	-9.414600E-5
2.342396E+2	-3.025550E-4	-8.428140E-5
2.379636E+2	-3.123300E-4	-7.379100E-5
2.420600E+2	-3.036280E-4	-6.201910E-5
2.461564E+2	-2.759710E-4	-4.911450E-5
2.498804E+2	-2.312670E-4	-3.600140E-5
2.539768E+2	-1.697550E-4	-2.205380E-5
2.584456E+2	-8.583120E-5	-6.258520E-6
2.625420E+2	7.748660E-6	9.238780E-6
2.662660E+2	1.094350E-4	2.491490E-5
2.703624E+2	2.166040E-4	4.056120E-5
2.744588E+2	3.349800E-4	5.710150E-5
2.785552E+2	4.601500E-4	7.453610E-5
2.826516E+2	5.822220E-4	9.155320E-5
2.863756E+2	6.990470E-4	1.081530E-4
2.904720E+2	8.205210E-4	1.260650E-4
2.945684E+2	9.340090E-4	1.437970E-4
2.986648E+2	1.038440E-3	1.616190E-4
3.027612E+2	1.125460E-3	1.781890E-4
3.064852E+2	1.199610E-3	1.945500E-4
3.105816E+2	1.261600E-3	2.112700E-4
3.146780E+2	1.303560E-3	2.267070E-4
3.187744E+2	1.329070E-3	2.427110E-4
3.228708E+2	1.333480E-3	2.574340E-4
3.269672E+2	1.318700E-3	2.715310E-4
3.310636E+2	1.282700E-3	2.850310E-4
3.351600E+2	1.227510E-3	2.973690E-4
3.392564E+2	1.156340E-3	3.082770E-4
3.429804E+2	1.071820E-3	3.178140E-4
3.470768E+2	9.728710E-4	3.263970E-4
3.511732E+2	8.565220E-4	3.340860E-4
3.548972E+2	7.314720E-4	3.405530E-4
3.589936E+2	6.029640E-4	3.456790E-4
3.600044E+2	4.678980E-4	3.495230E-4
