d-900	V1st-900	V-900	
3.724000E-1	6.032010E-5	4.073400E-4
4.468800E+0	5.269070E-5	4.072510E-4
8.565200E+0	-8.821550E-6	4.072210E-4
1.266160E+1	-1.145610E-4	4.064760E-4
1.638560E+1	-2.375850E-4	4.044790E-4
2.048200E+1	-3.615640E-4	4.007830E-4
2.457840E+1	-4.704020E-4	3.956870E-4
2.830240E+1	-5.672020E-4	3.890710E-4
3.239880E+1	-6.501710E-4	3.810250E-4
3.649520E+1	-7.151400E-4	3.719050E-4
4.021920E+1	-7.634200E-4	3.609970E-4
4.468800E+1	-7.966790E-4	3.469600E-4
4.841200E+1	-8.047860E-4	3.336090E-4
5.250840E+1	-7.929840E-4	3.193640E-4
5.660480E+1	-7.605590E-4	3.039560E-4
6.032880E+1	-7.101330E-4	2.881610E-4
6.442520E+1	-6.477870E-4	2.728720E-4
6.852160E+1	-5.750690E-4	2.577030E-4
7.261800E+1	-4.841110E-4	2.413100E-4
7.671440E+1	-3.720540E-4	2.232500E-4
8.043840E+1	-2.428300E-4	2.041470E-4
8.453480E+1	-9.846730E-5	1.842090E-4
8.863120E+1	5.662460E-5	1.640330E-4
9.272760E+1	2.218490E-4	1.432010E-4
9.645160E+1	3.865980E-4	1.229060E-4
1.005480E+2	5.580220E-4	1.020730E-4
1.046444E+2	7.333790E-4	8.073500E-5
1.087408E+2	8.995570E-4	6.005190E-5
1.128372E+2	1.065020E-3	3.871340E-5
1.169336E+2	1.213680E-3	1.865640E-5
1.210300E+2	1.349810E-3	-1.072890E-6
1.251264E+2	1.465330E-3	-1.952060E-5
1.288504E+2	1.567010E-3	-3.778960E-5
1.329468E+2	1.651770E-3	-5.540280E-5
1.366708E+2	1.716980E-3	-7.212210E-5
1.407672E+2	1.765020E-3	-8.887100E-5
1.448636E+2	1.793150E-3	-1.050240E-4
1.489600E+2	1.800780E-3	-1.198060E-4
1.526840E+2	1.788620E-3	-1.336050E-4
1.567804E+2	1.752620E-3	-1.475820E-4
1.608768E+2	1.699690E-3	-1.594430E-4
1.646008E+2	1.632580E-3	-1.697850E-4
1.686972E+2	1.547220E-3	-1.790830E-4
1.727936E+2	1.444470E-3	-1.874870E-4
1.768900E+2	1.325730E-3	-1.947890E-4
1.809864E+2	1.202110E-3	-2.003320E-4
1.850828E+2	1.062880E-3	-2.046830E-4
1.891792E+2	9.247100E-4	-2.074550E-4
1.929032E+2	7.852350E-4	-2.089150E-4
1.969996E+2	6.459990E-4	-2.088850E-4
2.010960E+2	5.083120E-4	-2.073360E-4
2.048200E+2	3.767030E-4	-2.045040E-4
2.089164E+2	2.496260E-4	-2.002430E-4
2.130128E+2	1.388800E-4	-1.947590E-4
2.171092E+2	3.111390E-5	-1.873090E-4
2.212056E+2	-5.507490E-5	-1.791720E-4
2.249296E+2	-1.255280E-4	-1.699640E-4
2.290260E+2	-1.835830E-4	-1.588470E-4
2.331224E+2	-2.217300E-4	-1.469560E-4
2.368464E+2	-2.431880E-4	-1.340520E-4
2.409428E+2	-2.454540E-4	-1.203720E-4
2.450392E+2	-2.281680E-4	-1.043680E-4
2.491356E+2	-1.928820E-4	-8.788750E-5
2.532320E+2	-1.438870E-4	-7.137700E-5
2.569560E+2	-8.082440E-5	-5.432990E-5
2.610524E+2	-1.192100E-6	-3.567360E-5
2.651488E+2	9.858650E-5	-1.466280E-5
2.696176E+2	2.005110E-4	5.245240E-6
2.733416E+2	3.054160E-4	2.500430E-5
2.774380E+2	4.158040E-4	4.544880E-5
2.811620E+2	5.267900E-4	6.598280E-5
2.852584E+2	6.381310E-4	8.681460E-5
2.893548E+2	7.486380E-4	1.084510E-4
2.930788E+2	8.533040E-4	1.301180E-4
2.971752E+2	9.511750E-4	1.521720E-4
3.016440E+2	1.045120E-3	1.758940E-4
3.053680E+2	1.118430E-3	1.978290E-4
3.094644E+2	1.176720E-3	2.191670E-4
3.135608E+2	1.216780E-3	2.389260E-4
3.176572E+2	1.240980E-3	2.590730E-4
3.217536E+2	1.246340E-3	2.785050E-4
3.258500E+2	1.232510E-3	2.967440E-4
3.295740E+2	1.201280E-3	3.133430E-4
3.336704E+2	1.152050E-3	3.290790E-4
3.377668E+2	1.083380E-3	3.440700E-4
3.414908E+2	1.000410E-3	3.573020E-4
3.455872E+2	9.022990E-4	3.690740E-4
3.496836E+2	7.941760E-4	3.791770E-4
3.537800E+2	6.657880E-4	3.883860E-4
3.578764E+2	5.329880E-4	3.955980E-4
3.600044E+2	4.018560E-4	4.009030E-4
