d200	V1st200	V200	
0.000000E+0	5.767380E-4	5.319740E-5
4.096400E+0	5.711350E-4	5.337620E-5
8.192800E+0	5.164180E-4	5.343580E-5
1.191680E+1	4.090090E-4	5.352520E-5
1.601320E+1	2.783560E-4	5.391260E-5
2.010960E+1	1.451980E-4	5.447890E-5
2.383360E+1	1.609340E-5	5.528350E-5
2.793000E+1	-9.834810E-5	5.650540E-5
3.202640E+1	-1.968150E-4	5.796570E-5
3.612280E+1	-2.841970E-4	5.981350E-5
3.984680E+1	-3.532190E-4	6.192970E-5
4.394320E+1	-4.068630E-4	6.455230E-5
4.841200E+1	-4.423880E-4	6.759210E-5
5.250840E+1	-4.535930E-4	7.078100E-5
5.660480E+1	-4.444140E-4	7.417840E-5
6.032880E+1	-4.167580E-4	7.775470E-5
6.442520E+1	-3.736040E-4	8.148000E-5
6.852160E+1	-3.222250E-4	8.496690E-5
7.224560E+1	-2.592820E-4	8.851340E-5
7.634200E+1	-1.727350E-4	9.289430E-5
8.006600E+1	-7.140680E-5	9.748390E-5
8.416240E+1	4.351160E-5	1.022820E-4
8.825880E+1	1.692780E-4	1.073480E-4
9.235520E+1	3.058930E-4	1.126530E-4
9.645160E+1	4.460830E-4	1.179880E-4
1.005480E+2	5.880630E-4	1.233830E-4
1.042720E+2	7.307570E-4	1.288360E-4
1.083684E+2	8.641520E-4	1.341110E-4
1.124648E+2	9.981470E-4	1.395350E-4
1.169336E+2	1.125100E-3	1.450190E-4
1.206576E+2	1.226550E-3	1.498470E-4
1.247540E+2	1.320610E-3	1.548240E-4
1.288504E+2	1.397620E-3	1.595920E-4
1.333192E+2	1.459610E-3	1.643910E-4
1.370432E+2	1.497750E-3	1.685330E-4
1.411396E+2	1.517900E-3	1.726160E-4
1.448636E+2	1.518260E-3	1.765200E-4
1.489600E+2	1.499180E-3	1.801860E-4
1.530564E+2	1.459610E-3	1.835830E-4
1.571528E+2	1.401430E-3	1.866230E-4
1.608768E+2	1.326810E-3	1.893650E-4
1.649732E+2	1.236920E-3	1.918980E-4
1.690696E+2	1.134760E-3	1.939540E-4
1.731660E+2	1.006610E-3	1.959210E-4
1.772624E+2	8.772650E-4	1.974120E-4
1.809864E+2	7.437500E-4	1.986330E-4
1.850828E+2	6.005800E-4	1.994680E-4
1.891792E+2	4.535930E-4	1.999750E-4
1.929032E+2	3.006480E-4	2.001530E-4
1.973720E+2	1.559270E-4	1.999450E-4
2.014684E+2	1.800070E-5	1.993190E-4
2.055648E+2	-1.096730E-4	1.983950E-4
2.096612E+2	-2.264990E-4	1.971430E-4
2.137576E+2	-3.272310E-4	1.955940E-4
2.174816E+2	-4.147310E-4	1.935970E-4
2.215780E+2	-4.850640E-4	1.914210E-4
2.256744E+2	-5.353730E-4	1.889180E-4
2.293984E+2	-5.672020E-4	1.860870E-4
2.334948E+2	-5.792420E-4	1.828980E-4
2.375912E+2	-5.718510E-4	1.795900E-4
2.413152E+2	-5.441940E-4	1.760430E-4
2.454116E+2	-4.957950E-4	1.722290E-4
2.495080E+2	-4.291550E-4	1.682950E-4
2.539768E+2	-3.337880E-4	1.637050E-4
2.577008E+2	-2.322210E-4	1.594140E-4
2.617972E+2	-1.137260E-4	1.550030E-4
2.658936E+2	1.335150E-5	1.505030E-4
2.696176E+2	1.482970E-4	1.458830E-4
2.740864E+2	3.037470E-4	1.408470E-4
2.778104E+2	4.613420E-4	1.358700E-4
2.822792E+2	6.080900E-4	1.312210E-4
2.860032E+2	7.547180E-4	1.264820E-4
2.900996E+2	9.090940E-4	1.214450E-4
2.941960E+2	1.048570E-3	1.166470E-4
2.982924E+2	1.181010E-3	1.117290E-4
3.023888E+2	1.299980E-3	1.069010E-4
3.061128E+2	1.402620E-3	1.023420E-4
3.102092E+2	1.487860E-3	9.799050E-5
3.143056E+2	1.557240E-3	9.360960E-5
3.180296E+2	1.607070E-3	8.940740E-5
3.221260E+2	1.636750E-3	8.535430E-5
3.262224E+2	1.646650E-3	8.142040E-5
3.299464E+2	1.635800E-3	7.793350E-5
3.340428E+2	1.603730E-3	7.447650E-5
3.381392E+2	1.550560E-3	7.116840E-5
3.418632E+2	1.482730E-3	6.818820E-5
3.459596E+2	1.395470E-3	6.547620E-5
3.500560E+2	1.295340E-3	6.306220E-5
3.537800E+2	1.179340E-3	6.082680E-5
3.578764E+2	1.058350E-3	5.900880E-5
3.600044E+2	9.229220E-4	5.728030E-5
