d-1000	V1st-1000	V-1000	
3.724000E-1	1.704700E-5	4.331490E-4
4.468800E+0	1.120570E-5	4.331790E-4
8.192800E+0	-4.148510E-5	4.331490E-4
1.228920E+1	-1.466280E-4	4.323440E-4
1.638560E+1	-2.706070E-4	4.300490E-4
2.010960E+1	-3.883860E-4	4.261150E-4
2.420600E+1	-5.010400E-4	4.202740E-4
2.830240E+1	-5.967650E-4	4.129130E-4
3.202640E+1	-6.785430E-4	4.039720E-4
3.612280E+1	-7.431540E-4	3.934820E-4
4.021920E+1	-7.889310E-4	3.814420E-4
4.431560E+1	-8.178990E-4	3.668390E-4
4.841200E+1	-8.248130E-4	3.521760E-4
5.213600E+1	-8.125340E-4	3.365890E-4
5.623240E+1	-7.797520E-4	3.196320E-4
6.032880E+1	-7.269420E-4	3.017210E-4
6.442520E+1	-6.593500E-4	2.838690E-4
6.852160E+1	-5.891360E-4	2.680740E-4
7.224560E+1	-5.019940E-4	2.509080E-4
7.634200E+1	-3.881470E-4	2.308500E-4
8.043840E+1	-2.481960E-4	2.083490E-4
8.453480E+1	-9.989790E-5	1.861460E-4
8.863120E+1	5.126020E-5	1.647480E-4
9.272760E+1	2.181540E-4	1.420090E-4
9.682400E+1	3.945850E-4	1.184650E-4
1.009204E+2	5.718510E-4	9.501030E-5
1.050168E+2	7.407700E-4	7.274790E-5
1.087408E+2	9.048020E-4	5.072380E-5
1.128372E+2	1.067770E-3	2.819310E-5
1.169336E+2	1.210340E-3	7.271800E-6
1.206576E+2	1.340870E-3	-1.305350E-5
1.247540E+2	1.461630E-3	-3.320000E-5
1.288504E+2	1.566540E-3	-5.298880E-5
1.325744E+2	1.655350E-3	-7.250950E-5
1.366708E+2	1.726520E-3	-9.137440E-5
1.407672E+2	1.782310E-3	-1.111040E-4
1.452360E+2	1.813300E-3	-1.294320E-4
1.489600E+2	1.822120E-3	-1.456150E-4
1.534288E+2	1.809130E-3	-1.614100E-4
1.571528E+2	1.776580E-3	-1.753280E-4
1.616216E+2	1.719480E-3	-1.893650E-4
1.657180E+2	1.646530E-3	-2.013160E-4
1.698144E+2	1.561410E-3	-2.112990E-4
1.735384E+2	1.461750E-3	-2.200910E-4
1.776348E+2	1.347670E-3	-2.276010E-4
1.817312E+2	1.224760E-3	-2.335920E-4
1.854552E+2	1.092320E-3	-2.380020E-4
1.895516E+2	9.533200E-4	-2.408930E-4
1.932756E+2	8.175410E-4	-2.422040E-4
1.973720E+2	6.810460E-4	-2.419960E-4
2.014684E+2	5.421680E-4	-2.401480E-4
2.051924E+2	4.080550E-4	-2.366310E-4
2.092888E+2	2.868190E-4	-2.318030E-4
2.133852E+2	1.715430E-4	-2.252770E-4
2.174816E+2	6.926110E-5	-2.172300E-4
2.215780E+2	-2.014650E-5	-2.077230E-4
2.256744E+2	-9.024190E-5	-1.971430E-4
2.297708E+2	-1.477010E-4	-1.844480E-4
2.338672E+2	-1.853710E-4	-1.710360E-4
2.375912E+2	-2.048020E-4	-1.568800E-4
2.416876E+2	-2.063520E-4	-1.406980E-4
2.457840E+2	-1.902590E-4	-1.239790E-4
2.495080E+2	-1.580720E-4	-1.064540E-4
2.536044E+2	-1.101500E-4	-8.809610E-5
2.577008E+2	-4.804160E-5	-6.890340E-5
2.614248E+2	2.825270E-5	-4.866740E-5
2.655212E+2	1.189710E-4	-2.709040E-5
2.696176E+2	2.119550E-4	-6.347920E-6
2.737140E+2	3.204360E-4	1.695760E-5
2.778104E+2	4.268900E-4	3.919030E-5
2.815344E+2	5.338230E-4	6.148270E-5
2.856308E+2	6.455220E-4	8.520530E-5
2.897272E+2	7.484000E-4	1.080640E-4
2.934512E+2	8.509200E-4	1.324130E-4
2.975476E+2	9.415190E-4	1.558370E-4
3.016440E+2	1.021990E-3	1.794410E-4
3.057404E+2	1.090650E-3	2.027460E-4
3.094644E+2	1.143700E-3	2.253960E-4
3.135608E+2	1.182680E-3	2.483150E-4
3.176572E+2	1.202830E-3	2.694150E-4
3.217536E+2	1.205570E-3	2.900380E-4
3.254776E+2	1.190790E-3	3.097080E-4
3.295740E+2	1.157050E-3	3.288410E-4
3.336704E+2	1.106980E-3	3.461260E-4
3.373944E+2	1.037490E-3	3.626070E-4
3.414908E+2	9.529630E-4	3.773890E-4
3.455872E+2	8.510390E-4	3.908590E-4
3.500560E+2	7.351670E-4	4.025720E-4
3.537800E+2	6.128590E-4	4.121380E-4
3.578764E+2	4.867330E-4	4.197680E-4
3.600044E+2	3.449940E-4	4.260560E-4
