d300	V1st300	V300	
3.724000E-1	3.881470E-3	-1.335890E-5
4.841200E+0	3.912000E-3	-1.328440E-5
9.309999E+0	4.125620E-3	-1.325460E-5
1.303400E+1	4.474670E-3	-1.329930E-5
1.750280E+1	4.859950E-3	-1.335890E-5
2.122680E+1	5.216630E-3	-1.336640E-5
2.532320E+1	5.552320E-3	-1.356010E-5
2.941960E+1	5.859400E-3	-1.392520E-5
3.314360E+1	6.114990E-3	-1.414870E-5
3.724000E+1	6.338150E-3	-1.456590E-5
4.170880E+1	6.509810E-3	-1.496830E-5
4.580520E+1	6.618530E-3	-1.545260E-5
4.990160E+1	6.668120E-3	-1.602630E-5
5.362560E+1	6.658580E-3	-1.642860E-5
5.772200E+1	6.593730E-3	-1.688310E-5
6.181840E+1	6.471660E-3	-1.737490E-5
6.591480E+1	6.319080E-3	-1.806030E-5
7.001120E+1	6.135970E-3	-1.838810E-5
7.410760E+1	5.916630E-3	-1.895440E-5
7.783160E+1	5.640060E-3	-1.960260E-5
8.192800E+1	5.313900E-3	-2.012410E-5
8.602440E+1	4.962950E-3	-2.077980E-5
9.012080E+1	4.552870E-3	-2.139820E-5
9.421720E+1	4.152330E-3	-2.205380E-5
9.831360E+1	3.713620E-3	-2.298520E-5
1.024100E+2	3.303540E-3	-2.393140E-5
1.061340E+2	2.897280E-3	-2.492980E-5
1.106028E+2	2.475750E-3	-2.609950E-5
1.146992E+2	2.103820E-3	-2.717240E-5
1.184232E+2	1.791010E-3	-2.806650E-5
1.225196E+2	1.510630E-3	-2.888600E-5
1.269884E+2	1.251230E-3	-2.975030E-5
1.307124E+2	1.054770E-3	-3.052530E-5
1.348088E+2	9.155310E-4	-3.138210E-5
1.392776E+2	8.316080E-4	-3.190360E-5
1.433740E+2	8.087200E-4	-3.215690E-5
1.470980E+2	8.468670E-4	-3.252950E-5
1.515668E+2	9.441410E-4	-3.293920E-5
1.556632E+2	1.096730E-3	-3.314790E-5
1.597596E+2	1.306540E-3	-3.325960E-5
1.634836E+2	1.546870E-3	-3.326710E-5
1.675800E+2	1.829150E-3	-3.317770E-5
1.713040E+2	2.151500E-3	-3.302870E-5
1.754004E+2	2.508180E-3	-3.266360E-5
1.794968E+2	2.903000E-3	-3.237300E-5
1.835932E+2	3.303540E-3	-3.197810E-5
1.876896E+2	3.725070E-3	-3.166520E-5
1.914136E+2	4.135160E-3	-3.142680E-5
1.955100E+2	4.537610E-3	-3.124050E-5
1.996064E+2	4.943880E-3	-3.102450E-5
2.037028E+2	5.310090E-3	-3.074130E-5
2.074268E+2	5.641970E-3	-3.054760E-5
2.115232E+2	5.939510E-3	-3.033140E-5
2.156196E+2	6.206540E-3	-2.998870E-5
2.197160E+2	6.435420E-3	-2.965340E-5
2.234400E+2	6.601360E-3	-2.948950E-5
2.275364E+2	6.710080E-3	-2.898290E-5
2.316328E+2	6.769210E-3	-2.844640E-5
2.357292E+2	6.769210E-3	-2.797700E-5
2.398256E+2	6.708170E-3	-2.749280E-5
2.439220E+2	6.589920E-3	-2.687440E-5
2.480184E+2	6.408720E-3	-2.635280E-5
2.521148E+2	6.183650E-3	-2.583130E-5
2.558388E+2	5.926160E-3	-2.529480E-5
2.603076E+2	5.571400E-3	-2.470620E-5
2.644040E+2	5.214720E-3	-2.407290E-5
2.685004E+2	4.846600E-3	-2.357380E-5
2.722244E+2	4.461320E-3	-2.304480E-5
2.766932E+2	4.015000E-3	-2.256050E-5
2.804172E+2	3.603000E-3	-2.226250E-5
2.845136E+2	3.200550E-3	-2.201660E-5
2.886100E+2	2.786650E-3	-2.174840E-5
2.927064E+2	2.378480E-3	-2.165150E-5
2.968028E+2	2.019900E-3	-2.147270E-5
3.005268E+2	1.667030E-3	-2.128640E-5
3.049956E+2	1.379020E-3	-2.108530E-5
3.090920E+2	1.125340E-3	-2.090640E-5
3.131884E+2	9.403270E-4	-2.070530E-5
3.169124E+2	8.087200E-4	-2.039980E-5
3.210088E+2	7.267040E-4	-1.959510E-5
3.251052E+2	7.057230E-4	-1.911830E-5
3.288292E+2	7.400550E-4	-1.881280E-5
3.329256E+2	8.392370E-4	-1.832110E-5
3.370220E+2	9.918290E-4	-1.771010E-5
3.411184E+2	1.199730E-3	-1.722590E-5
3.448424E+2	1.441960E-3	-1.662240E-5
3.489388E+2	1.728070E-3	-1.596670E-5
3.530352E+2	2.071400E-3	-1.536320E-5
3.571316E+2	2.428070E-3	-1.474480E-5
3.600044E+2	2.817170E-3	-1.410400E-5
