d-200	V1st-200	V-200	
0.000000E+0	3.937500E-4	1.962190E-4
4.096400E+0	3.870740E-4	1.962190E-4
8.192800E+0	3.317610E-4	1.961900E-4
1.228920E+1	2.225650E-4	1.960110E-4
1.638560E+1	8.022830E-5	1.955640E-4
2.048200E+1	-4.744550E-5	1.948190E-4
2.457840E+1	-1.734500E-4	1.935970E-4
2.867480E+1	-2.890840E-4	1.920170E-4
3.277120E+1	-3.830210E-4	1.902290E-4
3.686760E+1	-4.605070E-4	1.881430E-4
4.096400E+1	-5.222600E-4	1.854910E-4
4.506040E+1	-5.630290E-4	1.826300E-4
4.915680E+1	-5.834140E-4	1.793510E-4
5.325320E+1	-5.823410E-4	1.761620E-4
5.697720E+1	-5.605260E-4	1.726160E-4
6.107360E+1	-5.198750E-4	1.690400E-4
6.517000E+1	-4.656330E-4	1.655230E-4
6.889400E+1	-4.055520E-4	1.622150E-4
7.299040E+1	-3.236550E-4	1.584000E-4
7.708680E+1	-2.238760E-4	1.541980E-4
8.118320E+1	-1.026400E-4	1.496380E-4
8.527960E+1	2.336510E-5	1.451680E-4
8.900360E+1	1.597410E-4	1.406680E-4
9.310000E+1	3.073230E-4	1.359290E-4
9.719640E+1	4.587190E-4	1.312500E-4
1.009204E+2	6.107130E-4	1.265420E-4
1.050168E+2	7.679500E-4	1.215340E-4
1.091132E+2	9.156500E-4	1.167660E-4
1.132096E+2	1.062400E-3	1.117000E-4
1.173060E+2	1.185310E-3	1.071990E-4
1.210300E+2	1.296890E-3	1.028480E-4
1.251264E+2	1.398690E-3	9.828850E-5
1.292228E+2	1.484880E-3	9.378840E-5
1.333192E+2	1.552950E-3	8.949680E-5
1.374156E+2	1.600630E-3	8.535430E-5
1.411396E+2	1.628410E-3	8.142040E-5
1.452360E+2	1.636510E-3	7.760570E-5
1.489600E+2	1.625070E-3	7.411880E-5
1.530564E+2	1.594670E-3	7.087040E-5
1.567804E+2	1.544360E-3	6.756230E-5
1.608768E+2	1.474270E-3	6.464170E-5
1.649732E+2	1.392970E-3	6.213830E-5
1.686972E+2	1.295570E-3	5.987310E-5
1.727936E+2	1.179940E-3	5.790610E-5
1.768900E+2	1.049530E-3	5.611800E-5
1.809864E+2	9.144580E-4	5.465770E-5
1.850828E+2	7.594860E-4	5.349540E-5
1.895516E+2	6.103550E-4	5.272050E-5
1.932756E+2	4.690900E-4	5.236290E-5
1.973720E+2	3.254430E-4	5.227350E-5
2.014684E+2	1.860870E-4	5.254170E-5
2.051924E+2	5.197550E-5	5.313780E-5
2.092888E+2	-6.163170E-5	5.409140E-5
2.133852E+2	-1.652250E-4	5.540280E-5
2.171092E+2	-2.577320E-4	5.698230E-5
2.212056E+2	-3.342650E-4	5.894920E-5
2.253020E+2	-3.917240E-4	6.109520E-5
2.290260E+2	-4.332080E-4	6.365820E-5
2.331224E+2	-4.553810E-4	6.660870E-5
2.368464E+2	-4.583620E-4	6.970810E-5
2.409428E+2	-4.422680E-4	7.307580E-5
2.450392E+2	-4.026910E-4	7.709910E-5
2.491356E+2	-3.448740E-4	8.121180E-5
2.532320E+2	-2.734680E-4	8.538410E-5
2.573284E+2	-1.845370E-4	8.988430E-5
2.610524E+2	-8.118200E-5	9.450360E-5
2.651488E+2	3.695510E-5	9.933160E-5
2.692452E+2	1.591450E-4	1.041890E-4
2.729692E+2	2.920650E-4	1.092260E-4
2.774380E+2	4.315390E-4	1.144410E-4
2.811620E+2	5.672020E-4	1.195080E-4
2.852584E+2	7.091800E-4	1.248130E-4
2.893548E+2	8.425750E-4	1.299090E-4
2.934512E+2	9.788350E-4	1.353030E-4
2.975476E+2	1.097210E-3	1.404000E-4
3.012716E+2	1.204260E-3	1.452870E-4
3.053680E+2	1.301300E-3	1.502340E-4
3.094644E+2	1.380690E-3	1.550030E-4
3.135608E+2	1.445060E-3	1.595920E-4
3.176572E+2	1.487140E-3	1.638840E-4
3.213812E+2	1.510150E-3	1.680860E-4
3.254776E+2	1.513370E-3	1.721390E-4
3.295740E+2	1.495850E-3	1.757450E-4
3.336704E+2	1.457460E-3	1.792020E-4
3.377668E+2	1.400480E-3	1.820930E-4
3.414908E+2	1.327280E-3	1.848950E-4
3.455872E+2	1.237160E-3	1.874280E-4
3.496836E+2	1.134050E-3	1.896330E-4
3.541524E+2	9.974320E-4	1.918380E-4
3.582488E+2	8.655820E-4	1.933290E-4
3.600044E+2	7.178820E-4	1.945500E-4
