d600	V1st600	V600	
7.448000E-1	7.537640E-4	-9.450360E-5
4.468800E+0	7.449430E-4	-9.471220E-5
8.565200E+0	6.833110E-4	-9.518910E-5
1.266160E+1	5.691090E-4	-9.536790E-5
1.638560E+1	4.361890E-4	-9.483150E-5
2.048200E+1	3.041050E-4	-9.346050E-5
2.420600E+1	1.724970E-4	-9.095720E-5
2.867480E+1	5.126020E-5	-8.755970E-5
3.277120E+1	-5.781670E-5	-8.299990E-5
3.686760E+1	-1.431710E-4	-7.790370E-5
4.096400E+1	-2.213730E-4	-7.104920E-5
4.506040E+1	-2.794280E-4	-6.339000E-5
4.878440E+1	-3.170990E-4	-5.507490E-5
5.288080E+1	-3.360530E-4	-4.586600E-5
5.697720E+1	-3.340260E-4	-3.615040E-5
6.070120E+1	-3.150720E-4	-2.592810E-5
6.479760E+1	-2.831240E-4	-1.579530E-5
6.889400E+1	-2.405650E-4	-5.781680E-6
7.299040E+1	-1.789340E-4	5.662470E-6
7.708680E+1	-1.003750E-4	1.832850E-5
8.081080E+1	-7.748660E-6	3.170990E-5
8.490720E+1	1.015670E-4	4.628320E-5
8.937600E+1	2.247100E-4	6.172110E-5
9.310000E+1	3.446360E-4	7.608580E-5
9.719640E+1	4.695670E-4	9.092740E-5
1.012928E+2	6.033220E-4	1.068420E-4
1.053892E+2	7.342140E-4	1.225480E-4
1.094856E+2	8.615290E-4	1.385220E-4
1.135820E+2	9.759700E-4	1.536620E-4
1.173060E+2	1.080520E-3	1.685030E-4
1.217748E+2	1.170050E-3	1.826300E-4
1.254988E+2	1.245510E-3	1.964280E-4
1.295952E+2	1.310240E-3	2.108820E-4
1.336916E+2	1.355420E-3	2.244420E-4
1.377880E+2	1.381400E-3	2.369890E-4
1.418844E+2	1.388560E-3	2.497750E-4
1.459808E+2	1.375330E-3	2.617850E-4
1.497048E+2	1.344690E-3	2.725440E-4
1.538012E+2	1.294500E-3	2.827960E-4
1.578976E+2	1.223690E-3	2.924820E-4
1.619940E+2	1.140720E-3	3.007370E-4
1.657180E+2	1.045710E-3	3.078900E-4
1.698144E+2	9.309090E-4	3.147140E-4
1.739108E+2	8.093160E-4	3.202580E-4
1.776348E+2	6.803310E-4	3.247280E-4
1.821036E+2	5.352530E-4	3.284830E-4
1.858276E+2	3.938690E-4	3.309270E-4
1.899240E+2	2.459310E-4	3.323570E-4
1.936480E+2	1.038320E-4	3.327450E-4
1.977444E+2	-3.170990E-5	3.320300E-4
2.018408E+2	-1.676090E-4	3.300030E-4
2.059372E+2	-2.970710E-4	3.268740E-4
2.100336E+2	-4.029290E-4	3.229990E-4
2.141300E+2	-4.973450E-4	3.181120E-4
2.178540E+2	-5.762610E-4	3.121220E-4
2.219504E+2	-6.382500E-4	3.052970E-4
2.260468E+2	-6.803310E-4	2.975780E-4
2.301432E+2	-7.036960E-4	2.885480E-4
2.342396E+2	-7.051270E-4	2.788030E-4
2.379636E+2	-6.861720E-4	2.687590E-4
2.420600E+2	-6.449260E-4	2.574940E-4
2.461564E+2	-5.844870E-4	2.459310E-4
2.502528E+2	-5.016360E-4	2.332940E-4
2.539768E+2	-4.073400E-4	2.209850E-4
2.580732E+2	-2.958790E-4	2.082600E-4
2.621696E+2	-1.636750E-4	1.944610E-4
2.662660E+2	-2.181540E-5	1.806630E-4
2.699900E+2	1.207590E-4	1.672810E-4
2.740864E+2	2.734680E-4	1.535130E-4
2.778104E+2	4.330890E-4	1.395060E-4
2.819068E+2	5.940240E-4	1.253790E-4
2.860032E+2	7.551950E-4	1.111930E-4
2.900996E+2	9.161270E-4	9.656000E-5
2.938236E+2	1.074200E-3	8.165880E-5
2.979200E+2	1.214270E-3	6.780070E-5
3.020164E+2	1.343970E-3	5.406160E-5
3.061128E+2	1.459840E-3	4.038240E-5
3.102092E+2	1.564390E-3	2.631560E-5
3.146780E+2	1.645690E-3	1.311310E-5
3.187744E+2	1.706130E-3	5.662480E-7
3.224984E+2	1.743560E-3	-1.108650E-5
3.265948E+2	1.759770E-3	-2.193460E-5
3.310636E+2	1.753930E-3	-3.305100E-5
3.347876E+2	1.727230E-3	-4.252810E-5
3.388840E+2	1.677880E-3	-5.173710E-5
3.429804E+2	1.610050E-3	-6.008170E-5
3.470768E+2	1.524810E-3	-6.747290E-5
3.511732E+2	1.426110E-3	-7.388040E-5
3.548972E+2	1.310000E-3	-7.948330E-5
3.589936E+2	1.191500E-3	-8.395360E-5
3.600044E+2	1.056800E-3	-8.782790E-5
