d500	V1st500	V500	
3.724000E-1	3.826160E-3	-7.256890E-6
4.096400E+0	3.843320E-3	-7.100430E-6
8.565200E+0	4.020720E-3	-7.048280E-6
1.266160E+1	4.350690E-3	-7.033380E-6
1.638560E+1	4.726440E-3	-7.033380E-6
2.048200E+1	5.096470E-3	-7.122780E-6
2.457840E+1	5.447420E-3	-7.294150E-6
2.867480E+1	5.760220E-3	-7.718860E-6
3.277120E+1	6.046320E-3	-8.203150E-6
3.686760E+1	6.265670E-3	-8.665080E-6
4.096400E+1	6.435420E-3	-9.276030E-6
4.506040E+1	6.559400E-3	-9.954030E-6
4.878440E+1	6.620440E-3	-1.060220E-5
5.288080E+1	6.628070E-3	-1.144420E-5
5.697720E+1	6.578480E-3	-1.227860E-5
6.070120E+1	6.477390E-3	-1.317270E-5
6.479760E+1	6.326710E-3	-1.428280E-5
6.889400E+1	6.164580E-3	-1.540050E-5
7.299040E+1	5.956680E-3	-1.616790E-5
7.708680E+1	5.693470E-3	-1.704700E-5
8.081080E+1	5.352050E-3	-1.824660E-5
8.527960E+1	4.991560E-3	-1.955790E-5
8.937600E+1	4.617720E-3	-2.068290E-5
9.347240E+1	4.222900E-3	-2.210600E-5
9.719640E+1	3.822340E-3	-2.361100E-5
1.012928E+2	3.395100E-3	-2.533950E-5
1.053892E+2	2.983110E-3	-2.682970E-5
1.091132E+2	2.599730E-3	-2.843900E-5
1.132096E+2	2.229710E-3	-3.023460E-5
1.173060E+2	1.907360E-3	-3.180680E-5
1.214024E+2	1.596460E-3	-3.320750E-5
1.254988E+2	1.348500E-3	-3.460070E-5
1.292228E+2	1.140600E-3	-3.586730E-5
1.333192E+2	9.899210E-4	-3.686570E-5
1.374156E+2	8.888280E-4	-3.802800E-5
1.415120E+2	8.430520E-4	-3.871340E-5
1.456084E+2	8.583110E-4	-3.962990E-5
1.497048E+2	9.326970E-4	-4.024830E-5
1.538012E+2	1.058590E-3	-4.072510E-5
1.575252E+2	1.239780E-3	-4.097100E-5
1.616216E+2	1.466760E-3	-4.111250E-5
1.653456E+2	1.728070E-3	-4.123170E-5
1.698144E+2	2.082840E-3	-4.103800E-5
1.742832E+2	2.452870E-3	-4.071020E-5
1.783796E+2	2.845780E-3	-4.045690E-5
1.824760E+2	3.240600E-3	-4.004710E-5
1.865724E+2	3.650680E-3	-3.968950E-5
1.902964E+2	4.062680E-3	-3.920520E-5
1.943928E+2	4.467040E-3	-3.883270E-5
1.984892E+2	4.865680E-3	-3.842290E-5
2.022132E+2	5.237610E-3	-3.791620E-5
2.063096E+2	5.592380E-3	-3.762570E-5
2.104060E+2	5.897550E-3	-3.716370E-5
2.145024E+2	6.193190E-3	-3.647080E-5
2.185988E+2	6.418260E-3	-3.590460E-5
2.226952E+2	6.599460E-3	-3.519680E-5
2.267916E+2	6.721530E-3	-3.458580E-5
2.305156E+2	6.790190E-3	-3.386310E-5
2.346120E+2	6.803540E-3	-3.304360E-5
2.387084E+2	6.753950E-3	-3.217180E-5
2.431772E+2	6.637600E-3	-3.125540E-5
2.472736E+2	6.467850E-3	-3.053270E-5
2.513700E+2	6.248500E-3	-2.959380E-5
2.554664E+2	5.973850E-3	-2.864010E-5
2.591904E+2	5.670580E-3	-2.771630E-5
2.632868E+2	5.313900E-3	-2.671040E-5
2.673832E+2	4.949600E-3	-2.589090E-5
2.711072E+2	4.568130E-3	-2.498190E-5
2.752036E+2	4.163770E-3	-2.426670E-5
2.793000E+2	3.726970E-3	-2.350670E-5
2.833964E+2	3.294010E-3	-2.276910E-5
2.878652E+2	2.838150E-3	-2.216560E-5
2.919616E+2	2.431880E-3	-2.174840E-5
2.960580E+2	2.059950E-3	-2.121940E-5
2.997820E+2	1.714710E-3	-2.062330E-5
3.042508E+2	1.407630E-3	-2.010920E-5
3.079748E+2	1.148230E-3	-1.944610E-5
3.120712E+2	9.384190E-4	-1.884260E-5
3.161676E+2	7.915530E-4	-1.832850E-5
3.202640E+2	6.980930E-4	-1.740470E-5
3.247328E+2	6.637610E-4	-1.665220E-5
3.288292E+2	6.961860E-4	-1.589220E-5
3.329256E+2	7.915530E-4	-1.493100E-5
3.370220E+2	9.384190E-4	-1.411150E-5
3.411184E+2	1.150140E-3	-1.332910E-5
3.452148E+2	1.411450E-3	-1.236800E-5
3.493112E+2	1.710900E-3	-1.143670E-5
3.534076E+2	2.038970E-3	-1.059480E-5
3.571316E+2	2.389920E-3	-9.805020E-6
3.600044E+2	2.761860E-3	-9.141920E-6
