1st harmonic(V)503007	2nd harmonic(V)503007	Bex(Oe)503007	
1.933300E-1	9.864640E-4	6.904058E+4
1.933300E-1	9.867030E-4	6.898085E+4
1.933300E-1	9.868220E-4	6.892135E+4
1.933300E-1	9.869410E-4	6.886173E+4
1.933300E-1	9.871800E-4	6.880192E+4
1.933300E-1	9.872990E-4	6.874224E+4
1.933300E-1	9.875370E-4	6.868237E+4
1.933300E-1	9.876560E-4	6.862255E+4
1.933300E-1	9.878950E-4	6.856287E+4
1.933300E-1	9.881330E-4	6.850319E+4
1.933300E-1	9.883720E-4	6.844346E+4
1.933300E-1	9.884910E-4	6.838350E+4
1.933300E-1	9.886100E-4	6.832377E+4
1.933300E-1	9.887290E-4	6.826404E+4
1.933300E-1	9.888490E-4	6.820417E+4
1.933300E-1	9.890870E-4	6.814436E+4
1.933300E-1	9.892060E-4	6.808456E+4
1.933300E-1	9.893250E-4	6.802473E+4
1.933300E-1	9.895640E-4	6.796498E+4
1.933300E-1	9.898020E-4	6.790513E+4
1.933300E-1	9.899210E-4	6.784531E+4
1.933300E-1	9.900410E-4	6.778559E+4
1.932990E-1	9.902790E-4	6.772573E+4
1.932990E-1	9.905170E-4	6.766591E+4
1.932990E-1	9.908750E-4	6.760610E+4
1.932990E-1	9.909940E-4	6.754620E+4
1.932990E-1	9.911130E-4	6.748649E+4
1.932690E-1	9.909940E-4	6.742651E+4
1.932690E-1	9.909940E-4	6.736673E+4
1.932380E-1	9.909940E-4	6.730687E+4
1.932080E-1	9.911130E-4	6.724720E+4
1.932080E-1	9.912330E-4	6.718730E+4
1.932080E-1	9.914710E-4	6.712745E+4
1.932080E-1	9.917100E-4	6.706773E+4
1.931770E-1	9.918290E-4	6.700787E+4
1.931770E-1	9.919480E-4	6.694806E+4
1.931770E-1	9.920670E-4	6.688821E+4
1.931470E-1	9.923060E-4	6.682835E+4
1.931470E-1	9.924250E-4	6.676866E+4
1.931470E-1	9.926630E-4	6.670879E+4
1.931470E-1	9.927820E-4	6.664897E+4
1.931470E-1	9.929020E-4	6.658907E+4
1.931470E-1	9.930210E-4	6.652923E+4
1.931470E-1	9.931400E-4	6.646945E+4
1.931470E-1	9.932590E-4	6.640958E+4
1.931470E-1	9.933780E-4	6.634977E+4
1.931470E-1	9.933780E-4	6.628991E+4
1.931470E-1	9.937360E-4	6.622975E+4
1.931470E-1	9.938550E-4	6.616984E+4
1.931470E-1	9.940940E-4	6.611012E+4
1.931160E-1	9.943320E-4	6.605016E+4
1.931160E-1	9.944510E-4	6.599034E+4
1.931160E-1	9.944510E-4	6.593061E+4
1.931160E-1	9.944510E-4	6.587069E+4
1.931160E-1	9.945710E-4	6.581093E+4
1.931160E-1	9.945710E-4	6.575100E+4
1.931160E-1	9.948090E-4	6.569122E+4
1.931160E-1	9.949280E-4	6.563137E+4
1.931160E-1	9.951670E-4	6.557160E+4
1.930860E-1	9.954050E-4	6.551179E+4
1.930860E-1	9.956430E-4	6.545204E+4
1.930860E-1	9.958820E-4	6.539228E+4
1.930860E-1	9.961200E-4	6.533237E+4
1.930860E-1	9.963590E-4	6.527248E+4
1.930860E-1	9.964780E-4	6.521276E+4
1.930860E-1	9.965970E-4	6.515296E+4
1.930860E-1	9.967160E-4	6.509300E+4
1.930860E-1	9.969550E-4	6.503312E+4
1.930860E-1	9.971930E-4	6.497342E+4
1.930860E-1	9.973120E-4	6.491354E+4
1.930860E-1	9.975510E-4	6.485376E+4
1.930550E-1	9.977890E-4	6.479390E+4
1.930550E-1	9.979080E-4	6.473413E+4
1.930550E-1	9.980280E-4	6.467427E+4
1.930550E-1	9.982660E-4	6.461448E+4
1.930550E-1	9.985040E-4	6.455463E+4
1.930550E-1	9.986240E-4	6.449479E+4
1.930250E-1	9.988620E-4	6.443509E+4
1.930250E-1	9.988620E-4	6.437507E+4
1.930250E-1	9.991010E-4	6.431531E+4
1.930250E-1	9.992200E-4	6.425546E+4
1.930250E-1	9.993390E-4	6.419564E+4
1.930250E-1	9.996970E-4	6.413591E+4
1.930250E-1	1.000050E-3	6.407598E+4
1.930250E-1	1.000410E-3	6.401617E+4
1.930250E-1	1.000650E-3	6.395637E+4
1.930250E-1	1.001010E-3	6.389656E+4
1.930250E-1	1.001370E-3	6.383677E+4
1.930250E-1	1.001600E-3	6.377705E+4
1.930250E-1	1.001840E-3	6.371718E+4
1.930250E-1	1.002200E-3	6.365719E+4
1.930250E-1	1.002440E-3	6.359745E+4
1.930250E-1	1.002800E-3	6.353762E+4
1.930250E-1	1.003030E-3	6.347786E+4
1.930250E-1	1.003270E-3	6.341795E+4
1.930250E-1	1.003510E-3	6.335816E+4
1.930250E-1	1.003630E-3	6.329831E+4
1.930250E-1	1.003870E-3	6.323854E+4
1.930250E-1	1.003990E-3	6.317857E+4
1.930250E-1	1.004230E-3	6.311880E+4
1.929940E-1	1.004350E-3	6.305888E+4
1.929940E-1	1.004580E-3	6.299908E+4
1.929640E-1	1.004940E-3	6.293926E+4
1.929640E-1	1.005060E-3	6.287944E+4
1.929640E-1	1.005180E-3	6.281968E+4
1.929640E-1	1.005300E-3	6.275986E+4
1.929640E-1	1.005420E-3	6.269997E+4
1.929640E-1	1.005540E-3	6.264017E+4
1.929640E-1	1.005660E-3	6.258028E+4
1.929640E-1	1.005780E-3	6.250062E+4
1.929640E-1	1.005900E-3	6.246086E+4
1.929640E-1	1.006010E-3	6.240084E+4
1.929640E-1	1.006130E-3	6.234089E+4
1.929330E-1	1.006250E-3	6.228112E+4
1.929330E-1	1.006370E-3	6.222137E+4
1.929330E-1	1.006490E-3	6.216162E+4
1.929030E-1	1.006610E-3	6.210181E+4
1.929030E-1	1.006730E-3	6.202198E+4
1.929030E-1	1.006970E-3	6.198214E+4
1.929030E-1	1.007330E-3	6.192223E+4
1.929030E-1	1.007680E-3	6.186245E+4
1.929030E-1	1.007800E-3	6.180264E+4
1.929030E-1	1.007920E-3	6.174285E+4
1.929030E-1	1.008160E-3	6.168291E+4
1.929030E-1	1.008400E-3	6.162314E+4
1.929030E-1	1.008640E-3	6.156331E+4
1.929030E-1	1.008760E-3	6.150358E+4
1.929030E-1	1.008990E-3	6.144369E+4
1.929030E-1	1.009110E-3	6.138377E+4
1.929030E-1	1.009230E-3	6.130402E+4
1.929030E-1	1.009470E-3	6.126416E+4
1.929030E-1	1.009590E-3	6.120434E+4
1.928720E-1	1.009710E-3	6.114450E+4
1.928720E-1	1.009830E-3	6.108479E+4
1.928720E-1	1.009830E-3	6.102491E+4
1.928720E-1	1.010070E-3	6.096509E+4
1.928720E-1	1.010310E-3	6.090530E+4
1.928720E-1	1.010540E-3	6.084543E+4
1.928720E-1	1.010780E-3	6.078565E+4
1.928720E-1	1.010900E-3	6.072574E+4
1.928720E-1	1.011140E-3	6.066598E+4
1.928720E-1	1.011260E-3	6.060620E+4
1.928720E-1	1.011380E-3	6.054632E+4
1.928720E-1	1.011500E-3	6.048647E+4
1.928420E-1	1.011740E-3	6.040675E+4
1.928420E-1	1.011860E-3	6.036691E+4
1.928420E-1	1.012090E-3	6.030700E+4
1.928110E-1	1.012330E-3	6.024718E+4
1.928110E-1	1.012450E-3	6.018737E+4
1.927800E-1	1.012570E-3	6.012748E+4
1.927800E-1	1.012690E-3	6.006766E+4
1.927800E-1	1.012930E-3	6.000791E+4
1.927800E-1	1.013170E-3	5.994799E+4
1.927800E-1	1.013410E-3	5.988800E+4
1.927500E-1	1.013640E-3	5.982816E+4
1.927500E-1	1.013760E-3	5.976837E+4
1.927190E-1	1.014000E-3	5.970860E+4
1.927190E-1	1.014000E-3	5.964864E+4
1.926890E-1	1.014120E-3	5.958894E+4
1.926890E-1	1.014240E-3	5.952914E+4
1.926890E-1	1.014480E-3	5.946923E+4
1.926890E-1	1.014600E-3	5.940935E+4
1.926580E-1	1.014840E-3	5.934958E+4
1.926580E-1	1.015070E-3	5.928977E+4
1.926580E-1	1.015190E-3	5.922996E+4
1.926890E-1	1.015430E-3	5.917018E+4
1.926890E-1	1.015790E-3	5.911038E+4
1.926580E-1	1.015910E-3	5.905052E+4
1.926580E-1	1.016270E-3	5.899067E+4
1.926580E-1	1.016390E-3	5.893088E+4
1.926580E-1	1.016620E-3	5.887108E+4
1.926580E-1	1.016740E-3	5.881105E+4
1.926580E-1	1.016980E-3	5.875125E+4
1.926580E-1	1.017340E-3	5.869144E+4
1.926580E-1	1.017580E-3	5.863186E+4
1.926580E-1	1.017700E-3	5.857191E+4
1.926580E-1	1.017940E-3	5.851209E+4
1.926580E-1	1.018050E-3	5.845213E+4
1.926580E-1	1.018290E-3	5.839244E+4
1.926890E-1	1.018530E-3	5.833269E+4
1.926580E-1	1.018650E-3	5.827275E+4
1.926580E-1	1.018890E-3	5.821309E+4
1.926580E-1	1.019130E-3	5.815316E+4
1.926580E-1	1.019370E-3	5.809327E+4
1.926580E-1	1.019720E-3	5.803346E+4
1.926580E-1	1.020080E-3	5.797378E+4
1.926580E-1	1.020320E-3	5.791388E+4
1.926580E-1	1.020440E-3	5.785386E+4
1.926280E-1	1.020560E-3	5.779412E+4
1.925970E-1	1.020560E-3	5.773440E+4
1.925970E-1	1.020680E-3	5.767443E+4
1.925970E-1	1.020920E-3	5.761471E+4
1.925670E-1	1.021040E-3	5.755477E+4
1.925670E-1	1.021150E-3	5.749502E+4
1.925670E-1	1.021270E-3	5.743534E+4
1.925670E-1	1.021390E-3	5.737535E+4
1.925670E-1	1.021630E-3	5.729558E+4
1.925360E-1	1.021750E-3	5.725570E+4
1.925360E-1	1.021990E-3	5.717592E+4
1.925360E-1	1.022110E-3	5.713609E+4
1.925360E-1	1.022230E-3	5.705636E+4
1.925360E-1	1.022580E-3	5.701630E+4
1.925360E-1	1.022700E-3	5.693662E+4
1.925360E-1	1.022820E-3	5.687680E+4
1.925060E-1	1.022940E-3	5.681701E+4
