d1000	V1st1000	V1000	
7.448000E-1	3.717440E-3	1.108650E-5
4.841200E+0	3.749860E-3	1.126530E-5
8.937600E+0	3.931080E-3	1.157830E-5
1.266160E+1	4.251510E-3	1.197310E-5
1.675800E+1	4.632980E-3	1.217430E-5
2.085440E+1	5.003010E-3	1.227120E-5
2.457840E+1	5.344420E-3	1.224140E-5
2.867480E+1	5.672480E-3	1.183900E-5
3.277120E+1	5.949050E-3	1.116100E-5
3.686760E+1	6.172210E-3	1.027440E-5
4.096400E+1	6.353410E-3	9.313280E-6
4.468800E+1	6.481200E-3	7.994530E-6
4.878440E+1	6.551770E-3	6.467130E-6
5.288080E+1	6.567030E-3	4.619390E-6
5.697720E+1	6.521250E-3	2.652420E-6
6.070120E+1	6.425890E-3	3.427290E-7
6.479760E+1	6.294280E-3	-1.654040E-6
6.889400E+1	6.135970E-3	-3.680600E-6
7.299040E+1	5.931880E-3	-5.751880E-6
7.671440E+1	5.664860E-3	-8.076490E-6
8.118320E+1	5.346330E-3	-1.063200E-5
8.490720E+1	5.010630E-3	-1.355270E-5
8.900360E+1	4.644420E-3	-1.647340E-5
9.310000E+1	4.264860E-3	-1.931950E-5
9.682400E+1	3.864300E-3	-2.250090E-5
1.009204E+2	3.444690E-3	-2.598030E-5
1.050168E+2	3.044140E-3	-2.925850E-5
1.091132E+2	2.645510E-3	-3.264870E-5
1.128372E+2	2.290740E-3	-3.578540E-5
1.169336E+2	1.966490E-3	-3.885500E-5
1.210300E+2	1.676570E-3	-4.186500E-5
1.247540E+2	1.434330E-3	-4.454730E-5
1.288504E+2	1.228340E-3	-4.708790E-5
1.329468E+2	1.071940E-3	-4.958380E-5
1.370432E+2	9.727520E-4	-5.161040E-5
1.407672E+2	9.288830E-4	-5.347300E-5
1.448636E+2	9.365120E-4	-5.523140E-5
1.485876E+2	1.003270E-3	-5.655760E-5
1.526840E+2	1.129160E-3	-5.760070E-5
1.571528E+2	1.310360E-3	-5.836060E-5
1.608768E+2	1.535420E-3	-5.878530E-5
1.649732E+2	1.798640E-3	-5.900140E-5
1.690696E+2	2.103820E-3	-5.901630E-5
1.727936E+2	2.441420E-3	-5.865120E-5
1.768900E+2	2.811450E-3	-5.801050E-5
1.809864E+2	3.198640E-3	-5.719830E-5
1.847104E+2	3.604900E-3	-5.634900E-5
1.888068E+2	4.024540E-3	-5.544000E-5
1.925308E+2	4.428890E-3	-5.451610E-5
1.966272E+2	4.827530E-3	-5.341340E-5
2.007236E+2	5.224260E-3	-5.217660E-5
2.048200E+2	5.594280E-3	-5.086530E-5
2.089164E+2	5.922350E-3	-4.936780E-5
2.130128E+2	6.202730E-3	-4.804160E-5
2.171092E+2	6.458310E-3	-4.641730E-5
2.212056E+2	6.650950E-3	-4.491230E-5
2.249296E+2	6.790190E-3	-4.318380E-5
2.290260E+2	6.876020E-3	-4.151490E-5
2.331224E+2	6.906540E-3	-3.989810E-5
2.372188E+2	6.877930E-3	-3.819190E-5
2.413152E+2	6.780650E-3	-3.648570E-5
2.454116E+2	6.629970E-3	-3.473480E-5
2.495080E+2	6.427790E-3	-3.297650E-5
2.532320E+2	6.189380E-3	-3.148640E-5
2.573284E+2	5.895640E-3	-2.979500E-5
2.614248E+2	5.544690E-3	-2.817080E-5
2.651488E+2	5.159410E-3	-2.657630E-5
2.696176E+2	4.777940E-3	-2.508620E-5
2.733416E+2	4.371670E-3	-2.373770E-5
2.774380E+2	3.944430E-3	-2.248600E-5
2.815344E+2	3.496180E-3	-2.117470E-5
2.856308E+2	3.070850E-3	-2.015390E-5
2.893548E+2	2.666490E-3	-1.902140E-5
2.934512E+2	2.267850E-3	-1.788900E-5
2.975476E+2	1.886380E-3	-1.660000E-5
3.016440E+2	1.541150E-3	-1.532600E-5
3.061128E+2	1.232150E-3	-1.399970E-5
3.098368E+2	9.975510E-4	-1.280020E-5
3.139332E+2	8.087200E-4	-1.153360E-5
3.176572E+2	6.790200E-4	-1.011790E-5
3.217536E+2	6.046330E-4	-8.568230E-6
3.258500E+2	5.855600E-4	-6.958870E-6
3.299464E+2	6.256140E-4	-5.342100E-6
3.336704E+2	7.228890E-4	-3.576290E-6
3.377668E+2	8.811990E-4	-1.788150E-6
3.414908E+2	1.083380E-3	1.490130E-8
3.455872E+2	1.327520E-3	1.579530E-6
3.496836E+2	1.636510E-3	3.464530E-6
3.537800E+2	1.972210E-3	5.193080E-6
3.575040E+2	2.338420E-3	6.645950E-6
3.600044E+2	2.708450E-3	7.994530E-6
