d800	V1st800	V800	
3.724000E-1	8.428130E-4	-1.673110E-4
4.096400E+0	8.361380E-4	-1.674900E-4
8.192800E+0	7.799900E-4	-1.678480E-4
1.228920E+1	6.662640E-4	-1.677580E-4
1.638560E+1	5.321540E-4	-1.667750E-4
2.048200E+1	3.967300E-4	-1.646290E-4
2.420600E+1	2.716800E-4	-1.612020E-4
2.830240E+1	1.549730E-4	-1.566120E-4
3.202640E+1	4.768390E-5	-1.507710E-4
3.649520E+1	-4.732630E-5	-1.436780E-4
4.059160E+1	-1.287470E-4	-1.348560E-4
4.468800E+1	-1.928820E-4	-1.246640E-4
4.841200E+1	-2.356780E-4	-1.142630E-4
5.250840E+1	-2.596400E-4	-1.032660E-4
5.660480E+1	-2.659580E-4	-9.059950E-5
6.032880E+1	-2.552290E-4	-7.733750E-5
6.442520E+1	-2.304320E-4	-6.437350E-5
6.852160E+1	-1.957430E-4	-5.206490E-5
7.224560E+1	-1.455550E-4	-3.841540E-5
7.634200E+1	-7.820180E-5	-2.309690E-5
8.043840E+1	6.079700E-6	-6.109510E-6
8.416240E+1	9.930180E-5	1.114610E-5
8.825880E+1	2.067100E-4	2.962360E-5
9.235520E+1	3.216290E-4	4.860780E-5
9.645160E+1	4.405990E-4	6.794980E-5
1.005480E+2	5.686320E-4	8.887100E-5
1.046444E+2	6.922520E-4	1.092560E-4
1.087408E+2	8.070510E-4	1.291340E-4
1.128372E+2	9.181540E-4	1.494000E-4
1.165612E+2	1.014840E-3	1.685630E-4
1.206576E+2	1.099950E-3	1.872490E-4
1.247540E+2	1.174580E-3	2.065310E-4
1.288504E+2	1.233230E-3	2.250680E-4
1.329468E+2	1.276740E-3	2.435160E-4
1.370432E+2	1.301420E-3	2.606230E-4
1.407672E+2	1.308570E-3	2.769550E-4
1.452360E+2	1.295570E-3	2.942400E-4
1.489600E+2	1.265410E-3	3.090220E-4
1.530564E+2	1.215820E-3	3.233270E-4
1.571528E+2	1.149780E-3	3.359930E-4
1.608768E+2	1.067530E-3	3.476160E-4
1.649732E+2	9.701290E-4	3.579870E-4
1.690696E+2	8.639130E-4	3.668090E-4
1.731660E+2	7.323060E-4	3.750940E-4
1.772624E+2	6.052290E-4	3.811440E-4
1.809864E+2	4.708790E-4	3.859720E-4
1.850828E+2	3.296160E-4	3.894880E-4
1.891792E+2	1.835830E-4	3.915450E-4
1.932756E+2	3.063700E-5	3.921410E-4
1.973720E+2	-1.046660E-4	3.910980E-4
2.014684E+2	-2.374660E-4	3.884750E-4
2.055648E+2	-3.677630E-4	3.840940E-4
2.100336E+2	-4.721900E-4	3.787300E-4
2.137576E+2	-5.682740E-4	3.715470E-4
2.182264E+2	-6.438530E-4	3.632920E-4
2.219504E+2	-6.996430E-4	3.542620E-4
2.260468E+2	-7.381480E-4	3.438610E-4
2.301432E+2	-7.571020E-4	3.322080E-4
2.338672E+2	-7.555520E-4	3.197810E-4
2.379636E+2	-7.332600E-4	3.059530E-4
2.420600E+2	-6.895100E-4	2.912300E-4
2.457840E+2	-6.264490E-4	2.759710E-4
2.498804E+2	-5.446710E-4	2.600870E-4
2.539768E+2	-4.451290E-4	2.435750E-4
2.577008E+2	-3.336690E-4	2.271240E-4
2.617972E+2	-1.966960E-4	2.087660E-4
2.658936E+2	-5.710150E-5	1.913620E-4
2.696176E+2	8.714250E-5	1.742850E-4
2.737140E+2	2.441420E-4	1.562840E-4
2.774380E+2	4.071020E-4	1.381350E-4
2.815344E+2	5.730430E-4	1.197160E-4
2.856308E+2	7.346910E-4	1.016860E-4
2.897272E+2	8.966960E-4	8.338740E-5
2.934512E+2	1.051910E-3	6.517810E-5
2.975476E+2	1.202350E-3	4.661110E-5
3.016440E+2	1.335630E-3	2.896800E-5
3.053680E+2	1.454480E-3	1.174220E-5
3.094644E+2	1.562600E-3	-5.632670E-6
3.135608E+2	1.652840E-3	-2.282870E-5
3.176572E+2	1.720320E-3	-3.892210E-5
3.213812E+2	1.768000E-3	-5.462790E-5
3.254776E+2	1.794350E-3	-6.908220E-5
3.295740E+2	1.800190E-3	-8.297010E-5
3.336704E+2	1.784210E-3	-9.685800E-5
3.377668E+2	1.746190E-3	-1.095840E-4
3.418632E+2	1.690400E-3	-1.206700E-4
3.455872E+2	1.618750E-3	-1.303860E-4
3.496836E+2	1.527560E-3	-1.394460E-4
3.537800E+2	1.419430E-3	-1.475220E-4
3.578764E+2	1.296410E-3	-1.542580E-4
3.600044E+2	1.170880E-3	-1.593840E-4
