d200	V1st200	V200	
3.724000E-1	3.915820E-3	-1.665220E-5
4.468800E+0	3.932980E-3	-1.668940E-5
8.565200E+0	4.102740E-3	-1.669690E-5
1.266160E+1	4.417450E-3	-1.683840E-5
1.638560E+1	4.791290E-3	-1.679370E-5
2.048200E+1	5.151780E-3	-1.693530E-5
2.420600E+1	5.487470E-3	-1.707680E-5
2.830240E+1	5.809810E-3	-1.720350E-5
3.239880E+1	6.073030E-3	-1.754620E-5
3.612280E+1	6.290470E-3	-1.773990E-5
4.021920E+1	6.469760E-3	-1.805290E-5
4.431560E+1	6.601360E-3	-1.835090E-5
4.841200E+1	6.666210E-3	-1.866380E-5
5.213600E+1	6.677660E-3	-1.897670E-5
5.623240E+1	6.631880E-3	-1.936420E-5
6.032880E+1	6.532700E-3	-1.986340E-5
6.405280E+1	6.385830E-3	-2.017630E-5
6.814920E+1	6.204630E-3	-2.073510E-5
7.224560E+1	6.006270E-3	-2.086170E-5
7.634200E+1	5.737330E-3	-2.095860E-5
8.043840E+1	5.428340E-3	-2.115230E-5
8.416240E+1	5.086930E-3	-2.142800E-5
8.825880E+1	4.716900E-3	-2.177820E-5
9.235520E+1	4.320170E-3	-2.221770E-5
9.645160E+1	3.906280E-3	-2.279890E-5
1.005480E+2	3.484740E-3	-2.330550E-5
1.042720E+2	3.068940E-3	-2.399840E-5
1.083684E+2	2.653140E-3	-2.476580E-5
1.124648E+2	2.285020E-3	-2.542150E-5
1.165612E+2	1.945500E-3	-2.594300E-5
1.202852E+2	1.649860E-3	-2.656140E-5
1.243816E+2	1.384740E-3	-2.725430E-5
1.284780E+2	1.163490E-3	-2.771630E-5
1.322020E+2	9.937360E-4	-2.820060E-5
1.362984E+2	8.735690E-4	-2.893820E-5
1.403948E+2	8.125340E-4	-2.940760E-5
1.444912E+2	8.049050E-4	-2.963110E-5
1.485876E+2	8.564030E-4	-2.976520E-5
1.526840E+2	9.651220E-4	-2.995890E-5
1.571528E+2	1.150140E-3	-3.002600E-5
1.608768E+2	1.367580E-3	-3.001110E-5
1.649732E+2	1.634610E-3	-2.977260E-5
1.690696E+2	1.930240E-3	-2.959380E-5
1.727936E+2	2.265950E-3	-2.926600E-5
1.768900E+2	2.635970E-3	-2.905740E-5
1.809864E+2	3.021260E-3	-2.875940E-5
1.850828E+2	3.452320E-3	-2.846130E-5
1.891792E+2	3.864300E-3	-2.824530E-5
1.929032E+2	4.266770E-3	-2.818570E-5
1.969996E+2	4.657780E-3	-2.802920E-5
2.007236E+2	5.037340E-3	-2.791740E-5
2.048200E+2	5.394010E-3	-2.776840E-5
2.089164E+2	5.727800E-3	-2.764920E-5
2.126404E+2	6.006270E-3	-2.747040E-5
2.167368E+2	6.271390E-3	-2.728410E-5
2.208332E+2	6.471660E-3	-2.704570E-5
2.249296E+2	6.614710E-3	-2.679240E-5
2.290260E+2	6.710080E-3	-2.641990E-5
2.331224E+2	6.750140E-3	-2.607710E-5
2.375912E+2	6.723430E-3	-2.568230E-5
2.413152E+2	6.641420E-3	-2.545130E-5
2.454116E+2	6.500270E-3	-2.511600E-5
2.495080E+2	6.309540E-3	-2.474350E-5
2.536044E+2	6.065400E-3	-2.439330E-5
2.577008E+2	5.783110E-3	-2.404310E-5
2.617972E+2	5.437880E-3	-2.361100E-5
2.658936E+2	5.081210E-3	-2.328320E-5
2.696176E+2	4.715000E-3	-2.305220E-5
2.737140E+2	4.299190E-3	-2.272440E-5
2.778104E+2	3.889100E-3	-2.243380E-5
2.819068E+2	3.458040E-3	-2.231460E-5
2.860032E+2	3.036510E-3	-2.227740E-5
2.900996E+2	2.637880E-3	-2.233700E-5
2.938236E+2	2.260220E-3	-2.245620E-5
2.979200E+2	1.911170E-3	-2.259770E-5
3.016440E+2	1.596460E-3	-2.248600E-5
3.061128E+2	1.314170E-3	-2.245620E-5
3.098368E+2	1.085290E-3	-2.250090E-5
3.139332E+2	9.193460E-4	-2.245620E-5
3.180296E+2	8.029970E-4	-2.226990E-5
3.221260E+2	7.381480E-4	-2.159930E-5
3.262224E+2	7.362400E-4	-2.129390E-5
3.303188E+2	7.934610E-4	-2.109270E-5
3.344152E+2	9.079020E-4	-2.075740E-5
3.381392E+2	1.075750E-3	-2.024330E-5
3.422356E+2	1.306540E-3	-1.978140E-5
3.463320E+2	1.560220E-3	-1.930460E-5
3.500560E+2	1.861580E-3	-1.885750E-5
3.541524E+2	2.204910E-3	-1.825400E-5
3.582488E+2	2.573030E-3	-1.780700E-5
3.600044E+2	2.981200E-3	-1.739720E-5
